category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26920,Water Stops,DBCB-2518,Dumbbell with Center Bulb,,E:\IMAGES\ITEMS\product\D\B\bometals-inc-dbcb-2518-dumbbell-with-center-bulb- 2.jpg,BoMetals Inc,Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.,,,,Head Pressure: 10',Dumbbell with Center Bulb
26920,Water Stops,DBCB-614,Dumbbell with Center Bulb,,E:\IMAGES\ITEMS\product\D\B\bometals-inc-dbcb-614-dumbbell-with-center-bulb- 2.jpg,BoMetals Inc,Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.,,,,Head Pressure: 100',Dumbbell with Center Bulb
26920,Water Stops,DBCB-638,Dumbbell with Center Bulb,,E:\IMAGES\ITEMS\product\D\B\bometals-inc-dbcb-638-dumbbell-with-center-bulb- 2.jpg,BoMetals Inc,Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.,,,,Head Pressure: 100',Dumbbell with Center Bulb
26920,Water Stops,DBCB-938,Dumbbell with Center Bulb,,E:\IMAGES\ITEMS\product\D\B\bometals-inc-dbcb-938-dumbbell-with-center-bulb- 2.jpg,BoMetals Inc,Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.,,,,Head Pressure: 150',Dumbbell with Center Bulb
26920,Water Stops,DBCB-938L,Dumbbell with Center Bulb,,E:\IMAGES\ITEMS\product\D\B\bometals-inc-dbcb-938l-dumbbell-with-center-bulb- 2.jpg,BoMetals Inc,Dumbbell with center bulb PVC waterstops are used in expansion joints where longitudinal and transverse movement is anticipated.,,,,Head Pressure: 150',Dumbbell with Center Bulb
26920,Water Stops,RCB-4316,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-4316-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 65',Ribbed Center Bulb
26920,Water Stops,RCB-4316CA,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-4316ca-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 65',Ribbed Center Bulb
26920,Water Stops,RCB-4316LB,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-4316lb-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 65',Ribbed Center Bulb
26920,Water Stops,RCB-4316NT,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-4316nt-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 65',Ribbed Center Bulb
26920,Water Stops,RCB-6316,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-6316-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 100',Ribbed Center Bulb
26920,Water Stops,RCB-6316NT,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-6316nt-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 100',Ribbed Center Bulb
26920,Water Stops,RCB-6316T,Ribbed Center Bulb,,E:\IMAGES\ITEMS\product\R\C\bometals-inc-rcb-6316t-ribbed-center-bulb- 2.jpg,BoMetals Inc,Ribbed center bulb PVC waterstops are used in expansion joints where normal movement between members is anticipated and is also available in split shapes.,,,,Head Pressure: 100',Ribbed Center Bulb
