store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21674","Knives",38074,"830037",,"Leatherman Wave Multi Tool","","Leatherman Wave Multi Tool","The Leatherman Wave multi-tool is hands down our most popular model, made famous by its outside-accessible blades that can be deployed with just one hand. When we redesigned it in 2004, we gave the new Wave larger knives, stronger pliers, longer wire cutt",/\8\3\830037-Leatherman-Wave-Multi.jpg,/\8\3\830037-Leatherman-Wave-Multi.jpg,http://www.48ws.com/images/product/8/3/830037-Leatherman-Wave-Multi.jpg,leatherman-tool-group-830037-,leatherman-tool-group-830037-,,No layout updates.,Block after Info Column,,"Leatherman Wave Multi Tool","Leatherman Wave Multi Tool",Use config,"http://www.leatherman.com/10.html",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Leatherman Wave multi-tool is hands down our most popular model, made famous by its outside-accessible blades that can be deployed with just one hand. When we redesigned it in 2004, we gave the new Wave larger knives, stronger pliers, longer wire cutters, and all-locking blades. Perfect for any job, adventure, or everyday task, the Wave multi-tool is an international best-seller.","<b>Tools:</b><br>
<li>420HC Clip Point Knife</li>
<li>420HC Sheepsfoot Serrated Knife</li>
<li>8 in | 19 cm Ruler</li>
<li>Bottle Opener</li>
<li>Can Opener</li>
<li>Diamond-coated File</li>
<li>Hard-wire Cutters</li>
<li>INCLUDED BITS: Phillips and Flat Tip Eyeglasses Screwdriver Bit, Phillips #1-2 and 3/16&quot; Bit</li>
<li>Large Bit Driver</li>
<li>Large Screwdriver</li>
<li>Needlenose Pliers</li>
<li>Regular Pliers</li>
<li>Saw</li>
<liScissors></li>
<li>Small Bit Driver</li>
<li>Wire Cutters</li>
<li>Wire Stripper</li>
<li>Wood/Metal File</li>","<b>Measurements:</b><br>
2.9&quot;(Blade length)<br>
4&quot; (closed)<br>
8.5oz","","830037 Leatherman Wave Multi Tool","Leatherman Wave Multi Tool",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21674","Knives",38451,"830158",,"Surge Multi-Tool","","Surge Multi-Tool","The Leatherman Surge is one of our two largest multi-tools; a real powerhouse, built with our largest pliers, longest multi-tool blades and easy-to-use locks. A unique blade exchanger, large and small bit drivers and four outside-opening blades give you q",/\8\3\Leatherman-Tool-Group-830158-Surge-Multi.jpg,/\8\3\Leatherman-Tool-Group-830158-Surge-Multi.jpg,http://www.48ws.com/images/product/8/3/Leatherman-Tool-Group-830158-Surge-Multi.jpg,leatherman-tool-group-830158-,leatherman-tool-group-830158-,,No layout updates.,Block after Info Column,,"Surge Multi-Tool","Surge Multi-Tool",Use config,"http://www.leatherman.com/3.html",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Leatherman Surge is one of our two largest multi-tools; a real powerhouse, built with our largest pliers, longest multi-tool blades and easy-to-use locks. A unique blade exchanger, large and small bit drivers and four outside-opening blades give you quick access to the tools you use most. The Surge was built for tough jobs and the hands that do them.
","<li>25-year Warranty</li>
<li>All Locking Blades and Tools</li>
<li>Lanyard ring</li>
<li>Leather or Nylon Sheath</li>
<li>Outside-accessible Blades for One-handed Opening</li>
<li>Stainless Steel Body</li>
<li>Stainless Steel Handles</li>
","<li>12.5 oz | 335 g</li>
<li>3.1 in | 7.87 cm (blade length)</li>
<li>4.5 in | 11.5 cm (closed)</li>","","Leatherman Tool Group 830158 Surge Multi-Tool","Surge Multi-Tool",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21674","Knives",38454,"830948",,"Skeletool Multi-Tool","","Skeletool Multi-Tool","At a mere five ounces, the Leatherman Skeletool has a stainless steel combo blade, pliers, bit driver, removable pocket clip and carabiner/bottle opener. The Skeletool is just what you need in one good lookin' package.",/\8\3\Leatherman-Tool-Group-830948-Skeletool-Multi.jpg,/\8\3\Leatherman-Tool-Group-830948-Skeletool-Multi.jpg,http://www.48ws.com/images/product/8/3/Leatherman-Tool-Group-830948-Skeletool-Multi.jpg,leatherman-tool-group-830948-,leatherman-tool-group-830948-,,No layout updates.,Block after Info Column,,"Skeletool Multi-Tool","Skeletool Multi-Tool",Use config,"http://www.leatherman.com/18.html",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"At a mere five ounces, the Leatherman Skeletool has a stainless steel combo blade, pliers, bit driver, removable pocket clip and carabiner/bottle opener. The Skeletool is just what you need in one good lookin' package.","<li>25-year Warranty</li>
<li>All Locking Blades and Tools</li>
<li>Nylon Sheath Sold Separately</li>
<li>Outside-accessible Blade for One-handed Opening</li>
<li>Removable Pocket Clip</li>
<li>Stainless Steel body</li>
<li>Stainless Steel with 6061-T6 Aluminum Handle Insert</li>
","<li>2.6 in | 6.60 cm (blade length)</li>
<li>4 in | 10 cm (closed)</li>
<li>5.0 oz | 142 g</li>","","Leatherman Tool Group 830948 Skeletool Multi-Tool","Skeletool Multi-Tool",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21674","Knives",38456,"831102",,"Super Tool 300 Multi-Tool","","Super Tool 300 Multi-Tool","The award-winning, Leatherman Super Tool 300 is the multi-tool for the working man. Larger pliers are the strongest we've ever produced and the sloped-top handle design means you can maneuver them further into tight spaces. When you're working with gloves",/\8\3\Leatherman-Tool-Group-831102-Super-Tool-300-Multi.jpg,/\8\3\Leatherman-Tool-Group-831102-Super-Tool-300-Multi.jpg,http://www.48ws.com/images/product/8/3/Leatherman-Tool-Group-831102-Super-Tool-300-Multi.jpg,leatherman-tool-group-831102-,leatherman-tool-group-831102-,,No layout updates.,Block after Info Column,,"Super Tool 300 Multi-Tool","Super Tool 300 Multi-Tool",Use config,"http://www.leatherman.com/2.html",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The award-winning, Leatherman Super Tool 300 is the multi-tool for the working man. Larger pliers are the strongest we've ever produced and the sloped-top handle design means you can maneuver them further into tight spaces. When you're working with gloves on, the large side cutouts make it easy to still grab components and rolled handles make for a comfortable grip. Stranded, hard and regular wire cutters all come standard on Super Tool 300, and because they're removable you can repair or re-sharpen on the spot. 19 tools all ready for your toughest jobs. Super Tool 300 is back from vacation and ready to get to work.","<li>25-year Warranty</li>
<li>All Locking Blades and Tools</li>
<li>Comfort-sculpted Handles w/ Cutouts for Access with Gloves On</li>
<li>Leather or Nylon Sheath</li>
<li>Stainless Steel Body</li>
<li>Stainless Steel Handles</li>

","<li>3.2 in | 8.13 cm (blade length)</li>
<li>4.5 in | 11.5 cm (closed)</li>
<li>9.6 oz | 272.15 g</li>","","Leatherman Tool Group 831102 Super Tool 300 Multi-Tool","Super Tool 300 Multi-Tool",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21674","Knives",38458,"850012",,"Mut Multi-Tool","","Mut Multi-Tool","The Leatherman MUT is the first multi-tool that functions as both a tactical and practical tool for military, LE, or civilian shooters. The MUT features multiple areas on the tool threaded for cleaning rods and brushes and all the screwdriver bits are siz",/\8\5\Leatherman-Tool-Group-850012-Mut-Multi.jpg,/\8\5\Leatherman-Tool-Group-850012-Mut-Multi.jpg,http://www.48ws.com/images/product/8/5/Leatherman-Tool-Group-850012-Mut-Multi.jpg,leatherman-tool-group-850012-,leatherman-tool-group-850012-,,No layout updates.,Block after Info Column,,"Mut Multi-Tool","Mut Multi-Tool",Use config,"http://www.leatherman.com/29.html",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Leatherman MUT is the first multi-tool that functions as both a tactical and practical tool for military, LE, or civilian shooters. The MUT features multiple areas on the tool threaded for cleaning rods and brushes and all the screwdriver bits are sized for standard military and civilian sighting adjustment work. Also built into the design of the tool is the flexibility to replace the most commonly used parts on the spot, using a simple Torx #8, keeping down-time to a minimum. With all this, a MOLLE sheath and scope adjustment wrench included, the Leatherman MUT may very well be the most efficient and useful piece in your kit.","<li>1/2&quot; and 3/8&quot; Wrench Accessory</li>
<li>25-Year Warranty</li>
<li>All Locking Blades and Tools</li>
<li>Black Oxide Version Available</li>
<li>Bronze Carbon Scraper and Titanium Pocket Clip</li>
<li>MOLLE Sheath</li>
<li>Outside-accessible Blades for One-handed Opening</li>
<li>Removable Pocket Clip</li>
<li>Stainless Steel Body</li>
<li>Stainless Steel Handles</li>","<li>5 in/ 12.7 cm</li>
<li>11.2 oz / 317.5 g</li>
<li>3 in / 7.62 cm</li>","","Leatherman Tool Group 850012 Mut Multi-Tool","Mut Multi-Tool",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22489","Flashlights - All|Headlamps and Hands Free Lights",224718,"LED-880001",,"H-7 HEADLAMP 155 LUMENS","H-7 HEADLAMP 155 LUMENS","H-7 HEADLAMP 155 LUMENS","",/\L\E\leatherman-tool-group-led-880001-h-7-headlamp-155-lumens.jpg,/\L\E\leatherman-tool-group-led-880001-h-7-headlamp-155-lumens.jpg,http://www.48ws.com/images/product/L/E/leatherman-tool-group-led-880001-h-7-headlamp-155-lumens.jpg,leatherman-tool-group-LED-880001-h-7-headlamp-155-lumens,leatherman-tool-group-LED-880001-h-7-headlamp-155-lumens,,No layout updates.,Block after Info Column,,"H-7 HEADLAMP 155 LUMENS","H-7 HEADLAMP 155 LUMENS",Use config,"",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"H-7 HEADLAMP 155 LUMENS","","We’ve taken one of our most popular LED headlamps and made it brighter, lighter, and easier to use. An upgraded lens for our Advanced Focus System adjusts for either long-distance viewing or close range illumination, and a revised durable tilt mechanism puts light just where you need it. Our new wheel switch allows you to easily control light intensity, and special touches like an added carabiner hook and a new ergonomic fit make the H7.2 a headlamp you’ll soon wonder how you did without.","","BATTERY TYPE: 4 x AAA RECHARGEABLE: no","H-7 HEADLAMP 155 LUMENS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",224719,"LED-880003",,"P7 LED LIGHT W/ AFS 175 LUMENS","P7 LED LIGHT W/ AFS 175 LUMENS","P7 LED LIGHT W/ AFS 175 LUMENS","",/\L\E\leatherman-tool-group-led-880003-p7-led-light-w-afs-175-lumens.jpg,/\L\E\leatherman-tool-group-led-880003-p7-led-light-w-afs-175-lumens.jpg,http://www.48ws.com/images/product/L/E/leatherman-tool-group-led-880003-p7-led-light-w-afs-175-lumens.jpg,leatherman-tool-group-LED-880003-p7-led-light-w-afs-175-lumens,leatherman-tool-group-LED-880003-p7-led-light-w-afs-175-lumens,,No layout updates.,Block after Info Column,,"P7 LED LIGHT W/ AFS 175 LUMENS","P7 LED LIGHT W/ AFS 175 LUMENS",Use config,"",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"P7 LED LIGHT W/ AFS 175 LUMENS","<br><th>INCLUDES:</th><br>
<li>Lanyard</li><br>
<li>Sheath</li>
","This light is one of the most popular LED flashlights on the market today, and we’ve updated and upgraded both features and technology in our new P7.2 for the best possible light experience. The P7.2 flashlight has simple to remember high/low/off settings, and features the Advanced Focus System™ to quickly cast a far-off spot, or close up spill light for reading. Extremely durable anodized aluminum casing surrounds the four AAA batteries needed to power this impressively bright light, enhanced by a new CREE® LED chip. The all-new P7.2 is the perfect combination of size, power, reliability and easy-to-use operation – great for camping, hunting, hiking, walking the dog, work and more.","","LENGTH: 5.12 in | 13 cm BATTERY TYPE: 4 x AAA RECHARGEABLE: no","P7 LED LIGHT W/ AFS 175 LUMENS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",224720,"LED-880010",,"M7R LED LIGHT W/ AFS 220 LUMENS","M7R LED LIGHT W/ AFS 220 LUMENS","M7R LED LIGHT W/ AFS 220 LUMENS","",/\L\E\leatherman-tool-group-led-880010-m7r-led-light-w-afs-220-lumens.jpg,/\L\E\leatherman-tool-group-led-880010-m7r-led-light-w-afs-220-lumens.jpg,http://www.48ws.com/images/product/L/E/leatherman-tool-group-led-880010-m7r-led-light-w-afs-220-lumens.jpg,leatherman-tool-group-LED-880010-m7r-led-light-w-afs-220-lumens,leatherman-tool-group-LED-880010-m7r-led-light-w-afs-220-lumens,,No layout updates.,Block after Info Column,,"M7R LED LIGHT W/ AFS 220 LUMENS","M7R LED LIGHT W/ AFS 220 LUMENS",Use config,"",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"M7R LED LIGHT W/ AFS 220 LUMENS","<br><th>INCLUDES:</th><br>
<li>Lanyard</li><br>
<li>Power Supply</li><br>
<li>Intelligent Clip</li><br>
<li>Floating USB Charger</li><br>
<li>Charging Dock</li>
","Our M7R proves high performance and environmental sustainability are not mutually exclusive. This rechargeable flashlight doesn't compromise on anything. With the premium Advanced Focus System for near-to-far beam adjustment and Focus Lock™ to keep your place when holstering, this is a tactical light any professional would love to have. This light includes the Floating Charge System™ for recharging on the wall, or on the go with the USB cable. The M7R flashlight is perfect for professionals or civilians who only want the best.","","LENGTH: 6.14 in | 15.6 cm BATTERY TYPE: ICR18650 RECHARGEABLE: Yes RECHARGE TIME: 8h
","M7R LED LIGHT W/ AFS 220 LUMENS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22494","Flashlights - All|Rechargeable Flashlights",224721,"LED-880014",,"P5R LEDLIGHT W/ AFS 200 LUMENS","P5R LEDLIGHT W/ AFS 200 LUMENS","P5R LEDLIGHT W/ AFS 200 LUMENS","",/\L\E\leatherman-tool-group-led-880014-p5r-ledlight-w-afs-200-lumens.jpg,/\L\E\leatherman-tool-group-led-880014-p5r-ledlight-w-afs-200-lumens.jpg,http://www.48ws.com/images/product/L/E/leatherman-tool-group-led-880014-p5r-ledlight-w-afs-200-lumens.jpg,leatherman-tool-group-LED-880014-p5r-ledlight-w-afs-200-lumens,leatherman-tool-group-LED-880014-p5r-ledlight-w-afs-200-lumens,,No layout updates.,Block after Info Column,,"P5R LEDLIGHT W/ AFS 200 LUMENS","P5R LEDLIGHT W/ AFS 200 LUMENS",Use config,"",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"P5R LEDLIGHT W/ AFS 200 LUMENS","<br><th>INCLUDES:</th><br>
<li>Lanyard</li><br>
<li>Power Supply</li><br>
<li>Intelligent Clip</li><br>
<li>Floating USB Charger</li><br>
<li>Charging Dock</li>
","The all-new P5R.2 rechargeable flashlight has power and portability in a rechargeable option. The P5R.2 comes with our one-of-a-kind, Floating Charge System™ for wall-mounted or on-the-go charging. Just pop the flashlight into the magnetic recharging system (no need to mess around with wires or batteries) and store for as long as you like - there's no battery memory. To recharge on the go, the system comes with a USB cord. With an output of up to 270 lumens and the ability to be recharged up to 1000 times, you'll be ready for anything.","","LENGTH: 4.6 in | 11.7 cm BATTERY TYPE: 1 x ICR 14500 RECHARGEABLE: Yes RECHARGE TIME: 2h 30min","P5R LEDLIGHT W/ AFS 200 LUMENS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"152|22489","Flashlights - All|Headlamps and Hands Free Lights",224722,"LED-880019",,"H-4 HEADLAMP 40 LUMENS","H-4 HEADLAMP 40 LUMENS","H-4 HEADLAMP 40 LUMENS","",/\L\E\leatherman-tool-group-led-880019-h-4-headlamp-40-lumens.jpg,/\L\E\leatherman-tool-group-led-880019-h-4-headlamp-40-lumens.jpg,http://www.48ws.com/images/product/L/E/leatherman-tool-group-led-880019-h-4-headlamp-40-lumens.jpg,leatherman-tool-group-LED-880019-h-4-headlamp-40-lumens,leatherman-tool-group-LED-880019-h-4-headlamp-40-lumens,,No layout updates.,Block after Info Column,,"H-4 HEADLAMP 40 LUMENS","H-4 HEADLAMP 40 LUMENS",Use config,"",0,,,0,"Leatherman Tool Group",390,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"H-4 HEADLAMP 40 LUMENS","","This small headlamp is a three-in-one marvel. In its storage case (included) it can be used as a handheld flashlight. Still want to be hands free? No problem, just clip it to your belt. Leave the case at home and take just the handy headlamp itself running, camping, climbing, or just walking the dog. This light is super lightweight and bright, and the adjustable band is soft, but stays in place. The H4 headlamp is that light you didn't see coming. But in this case, that's a good thing.","","BATTERY TYPE: 3 x AAA RECHARGEABLE: no","H-4 HEADLAMP 40 LUMENS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
