store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"146|19541","Adhesives|Adhesives",121858,"1303",,"Crystal Clear Acrylic","Crystal Clear Acrylic","Crystal Clear Acrylic","Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.",/\1\3\Crystal-Clear- 1.png,/\1\3\Crystal-Clear- 1.png,http://www.48ws.com/images/product/1/3/Crystal-Clear- 1.png,krylon-1303-,krylon-1303-,,No layout updates.,Block after Info Column,,"Crystal Clear Acrylic","Crystal Clear Acrylic",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.","<li>Permanent, protective gloss finish</li>
<li>Non-yellowing</li>
<li>Moisture-resistant</li>","<p>Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.</p>
<li><b>Dry to Touch:</b> 10 -15 minutes</li>
<li><b>Dry to Handle:</b> 2 hours</li>
<li><b>For Use With:</b> Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.</li>","","11 oz. -1303","Crystal Clear Acrylic",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19541","Adhesives|Adhesives",121859,"1303A",,"Crystal Clear Acrylic","Crystal Clear Acrylic","Crystal Clear Acrylic","Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.",/\1\3\Crystal-Clear- 1.png,/\1\3\Crystal-Clear- 1.png,http://www.48ws.com/images/product/1/3/Crystal-Clear- 1.png,krylon-1303A-,krylon-1303A-,,No layout updates.,Block after Info Column,,"Crystal Clear Acrylic","Crystal Clear Acrylic",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.","<li>Permanent, protective gloss finish</li>
<li>Non-yellowing</li>
<li>Moisture-resistant</li><br>
","<p>Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.</p>
<li><b>Dry to Touch:</b> 10 -15 minutes</li>
<li><b>Dry to Handle:</b> 2 hours</li>
<li><b>For Use With:</b> Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.</li>","","6 oz - 1303A","Crystal Clear Acrylic",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"412|24119","Paint|Spray Paints",121878,"1374",,"Fine Art Fixatif","","Fine Art Fixatif","Fine Art Fixative is a low solid fixative that provides invisible protection to fragile dry media without dissolving whites and lights. Protects against dusting, smudging and. fading",/\1\3\Fine-Art.png,/\1\3\Fine-Art.png,http://www.48ws.com/images/product/1/3/Fine-Art.png,krylon-1374-,krylon-1374-,,No layout updates.,Block after Info Column,,"Fine Art Fixatif","Fine Art Fixatif",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Fine Art Fixative is a low solid fixative that provides invisible protection to fragile dry media without dissolving whites and lights. Protects against dusting, smudging and fading.","<li>Invisible protection of artwork without dissolving whites and lights</li>
<li>Contains UV light absorbers and stabilizers</li>
<li>Safeguards pastel, charcoal, pencil, and chalk from dusting, smudging and fading</li>","<p>Fine Art Fixative is a low solid fixative that provides invisible protection to fragile dry media without dissolving whites and lights. Protects against dusting, smudging and fading.</p>
<li><b>Dry to Touch:</b> 10-15 minutes</li>
<li><b>Dry to Handle:</b> After 2 hours</li>
<li><b>For use with:</b> Fine Art Surfaces.</li>
","","11 oz.","Fine Art Fixatif",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"22484","Flashlight Accessories",121903,"7015",,"Gesso Spray","","Gesso Spray","Primes art surfaces quickly & thoroughly, so you're ready to go in 15 minutes.",/\7\0\Gesso.png,/\7\0\Gesso.png,http://www.48ws.com/images/product/7/0/Gesso.png,krylon-7015-,krylon-7015-,,No layout updates.,Block after Info Column,,"Gesso Spray","Gesso Spray",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Primes art surfaces quickly & thoroughly, so you're ready to go in 15 minutes.","<li>Bright white; will not yellow</li>
<li>Resists chipping</li>
<li>Ideal for artist canvas and floor cloths.</li>
","<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 15 minutes</li>
<li><b>Dry to Handle:</b> 2 hours</li>
<li><b>For use with:</b> Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Fabric, Paper, Paper Mache, Canvas.</li>","","11 oz. — 7015","Gesso Spray",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"146|19541","Adhesives|Adhesives",121914,"9090",,"High Strength Spray Adhesive","","High Strength Spray Adhesive","This fast-acting adhesive has a variable volume controlled web spray pattern that offers high contact strength.",/\9\0\.png,/\9\0\.png,http://www.48ws.com/images/product/9/0/.png,krylon-9090-,krylon-9090-,,No layout updates.,Block after Info Column,,"High Strength Spray Adhesive","High Strength Spray Adhesive",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This fast-acting adhesive has a variable volume controlled web spray pattern that offers high contact strength.","<li>Superior, permanent bond</li>
<li>High contact strength</li>
<li>Bonds heavy-duty materials like wood, metal, plastic, glass, laminate and more.</li>
","<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 30 minutes</li>
<li><b>Dry to Handle:</b> 2 hours</li>
<li><b>For use with:</b> Wood, Metal, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Cardboard, Laminate, Particle Board.</li>","","11 oz.","High Strength Spray Adhesive",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"412|24119","Paint|Spray Paints",121916,"1312",,"Kamar Varnish","","Kamar Varnish","Synthetic artist varnish protects like traditional damar, without the impurities and yellowing.",/\1\3\Kamar.png,/\1\3\Kamar.png,http://www.48ws.com/images/product/1/3/Kamar.png,krylon-1312-,krylon-1312-,,No layout updates.,Block after Info Column,,"Kamar Varnish","Kamar Varnish",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Synthetic artist varnish protects like traditional damar, without the impurities and yellowing.","<li>Protects oil, acrylic and watercolor paintings</li>
<li>Keeps colors looking fresh from the palette; allows easy rework</li>
<li>Can be easily removed with mineral spirits for cleaning</li><br>
","<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 15 minutes</li>
<li><b>Dry to Handle:</b> 2 hours</li>
<li><b>For use with:</b> Wood, Metal, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache.</li>","","11 oz.","Kamar Varnish",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1782|27852","Coating|Coating",121917,"7110",,"Low Odor Clear Finish","Low Odor Clear Finish","Low Odor Clear Finish","Clear, latex enamel finish protects like traditional clear coatings in a low odor formula.",/\7\1\Low-Odor-Clear.png,/\7\1\Low-Odor-Clear.png,http://www.48ws.com/images/product/7/1/Low-Odor-Clear.png,krylon-7110-,krylon-7110-,,No layout updates.,Block after Info Column,,"Low Odor Clear Finish","Low Odor Clear Finish",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clear, latex enamel finish protects like traditional clear coatings in a low odor formula.","<li>Permanent, protective finish</li>
<li>Suitable for indoor and outdoor use</li>
<li>Non-yellowing; soap and water clean up</li>
","<p>Clear, latex enamel finish protects like traditional clear coatings in a low odor formula.</p>
<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 15 minutes</li>
<li><b>Dry to Handle:</b> 3 hours</li>
<li><b>For use with:</b> Wood, Metal, Wicker, Plastic, Glass, Craft Foam, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.</li>","","Clear Gloss","Low Odor Clear Finish",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"412|24119","Paint|Spray Paints",121922,"7012",,"Low Odor Spray Glue","","Low Odor Spray Glue","Low odor formula makes it convenient to spray indoors and extended open tack time allows easy positioning before fully dry.",/\7\0\Low-Odor-Spray.png,/\7\0\Low-Odor-Spray.png,http://www.48ws.com/images/product/7/0/Low-Odor-Spray.png,krylon-7012-,krylon-7012-,,No layout updates.,Block after Info Column,,"Low Odor Spray Glue","Low Odor Spray Glue",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Low odor formula makes it convenient to spray indoors and extended open tack time allows easy positioning before fully dry.","<li>Strong, permanent bond</li>
<li>Goes on white for visible coverage, dries clear</li>
<li>Acid-free: Soap & water clean up</li><br>
","<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 30 minutes</li>
<li><b>Dry to Handle:</b> 3 hours</li>
<li><b>For use with:</b> Wood, Metal, Ceramic, Fabric, Paper, Paper Mache, Paper Crafts, Cardboard, Felt, Photos, Ribbon, Decoupage, Scrapbook Pages, Balsa.</li>","","11 oz.","Low Odor Spray Glue",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"412|24119","Paint|Spray Paints",121923,"1311",,"Matte Finish","","Matte Finish","Clear, protective spray finish eliminates gloss and glare.",/\1\3\Matte.png,/\1\3\Matte.png,http://www.48ws.com/images/product/1/3/Matte.png,krylon-1311-,krylon-1311-,,No layout updates.,Block after Info Column,,"Matte Finish","Matte Finish",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clear, protective spray finish eliminates gloss and glare.","<li>Permanent, protective matte finish</li>
<li>Non-yellowing</li>
<li>Moisture-resistant</li><br>
","<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 30 minutes</li>
<li><b>Dry to Handle:</b> 3 hours</li>
<li><b>For use with:</b> Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.</li>","","11 oz.","Matte Finish",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"412|24119","Paint|Spray Paints",121926,"1323",,"Satin Finish","","Satin Finish","Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.",/\1\3\Satin.png,/\1\3\Satin.png,http://www.48ws.com/images/product/1/3/Satin.png,krylon-1323-,krylon-1323-,,No layout updates.,Block after Info Column,,"Satin Finish","Satin Finish",Use config,"http://www.krylon.com/",0,,,0,"Krylon",282,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.","<li>Permanent, protective satin finish</li>
<li>Non-yellowing</li>
<li>Moisture-resistant</li>
","<li><b>Weight:</b> 11 oz.</li>
<li><b>Dry to Touch:</b> 10-15 minutes</li>
<li><b>Dry to Handle:</b> 1 hour</li>
<li><b>For use with:</b> Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.</li>","","11 oz.","Satin Finish",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
