store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",37971,"A24",,"Film Applicator 24&quot;","Film Applicators - Surface Shields","Film Applicator 24&quot;","Surface Shields A24 Film Applicator 24&quot;",/\A\2\Surface-Shields-A24-Film-Applicator.jpg,/\A\2\Surface-Shields-A24-Film-Applicator.jpg,http://www.48ws.com/images/product/A/2/Surface-Shields-A24-Film-Applicator.jpg,Surface-Shields-A24-Film-Applicator-24,Surface-Shields-A24-Film-Applicator-24,,No layout updates.,Block after Info Column,,"Film Applicator 24&quot;","Film Applicator 24&quot;",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Surface Shields A24 Film Applicator 24&quot;","Weight: 20 lbs","For faster and easier application of Carpet Shield and Floor Shield","","Film Applicator 24&quot;","Film Applicator 24&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2663|24124","General Surface Protection|Surface Protection Films",37974,"A2436",,"Multi-Use Film Applicator (24&quot;, 30&quot; and 36&quot;)","Film Applicators - Surface Shields","Multi-Use Film Applicator (24&quot;, 30&quot; and 36&quot;)","Surface Shields A24 Film Applicator 24&quot;",/\A\2\Surface-Shields-A24-Film-Applicator.jpg,/\A\2\Surface-Shields-A24-Film-Applicator.jpg,http://www.48ws.com/images/product/A/2/Surface-Shields-A24-Film-Applicator.jpg,Surface-Shields-A2436-Professional-Multi-Use-Film-Applicator,Surface-Shields-A2436-Professional-Multi-Use-Film-Applicator,,No layout updates.,Block after Info Column,,"Multi-Use Film Applicator (24&quot;, 30&quot; and 36&quot;)","Multi-Use Film Applicator (24&quot;, 30&quot; and 36&quot;)",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Surface Shields A2436 Professional Multi-Use Film Applicator","<li>Weight: 21 lbs</li>","For even easier application... try the original multi-use applicator which can be used for three different roll widths (24&quot;, 30&quot; and 36&quot;). This applicator makes large area/commercial jobs quick and easy. ","","Multi-Use Film Applicator (24&quot;, 30&quot; and 36&quot;)","Multi-Use Film Applicator (24&quot;, 30&quot; and 36&quot;)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"564|19602","Masking Tape|Masking Tapes",37975,"BT2180C",,"Painter's Grade Blue Tape","Painter's Grade Blue Tape","Painter's Grade Blue Tape","",/\B\T\Painters-Grade-Blue- 2.jpg,/\B\T\Painters-Grade-Blue- 2.jpg,http://www.48ws.com/images/product/B/T/Painters-Grade-Blue- 2.jpg,surface-shields-BT2180C-painters-grade-blue-tape,surface-shields-BT2180C-painters-grade-blue-tape,,No layout updates.,Block after Info Column,,"Painter's Grade Blue Tape","Painter's Grade Blue Tape",Use config,"http://www.surfaceshields.com/blue-tape",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"With a medium tack rubber adhesive, Painter's Grade Blue Tape will not leave a sticky residue. It's suitable for clean removal when exposed to direct or indirect sunlight and is 5 mil thick.","","","","2 in x 60 yds (48mm x 54.8m)","Painter's Grade Blue Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"564|19602","Masking Tape|Masking Tapes",37976,"BT3180C",,"Painter's Grade Blue Tape","Painter's Grade Blue Tape","Painter's Grade Blue Tape","",/\B\T\Painters-Grade-Blue- 2.jpg,/\B\T\Painters-Grade-Blue- 2.jpg,http://www.48ws.com/images/product/B/T/Painters-Grade-Blue- 2.jpg,surface-shields-BT3180C-painters-grade-blue-tape,surface-shields-BT3180C-painters-grade-blue-tape,,No layout updates.,Block after Info Column,,"Painter's Grade Blue Tape","Painter's Grade Blue Tape",Use config,"http://www.surfaceshields.com/blue-tape",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"With a medium tack rubber adhesive, Painter's Grade Blue Tape will not leave a sticky residue. It's suitable for clean removal when exposed to direct or indirect sunlight and is 5 mil thick.","","","","3 in x 60 yds (72mm x 54.8m)","Painter's Grade Blue Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24124","Surface Protection Films",37977,"CM2436B",,"Blue Clean Mat 24&quot; x 36&quot;","Blue Clean Mat - Surface Shields","Blue Clean Mat 24&quot; x 36&quot;","Tack Mat 120 Sheets, Cases of 4",/\C\M\Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,/\C\M\Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,http://www.48ws.com/images/product/C/M/Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,Surface-Shields-CM2436B-Blue-Clean-Mat-24-x-36,Surface-Shields-CM2436B-Blue-Clean-Mat-24-x-36,,No layout updates.,Block after Info Column,,"Blue Clean Mat 24&quot; x 36&quot;","Blue Clean Mat 24&quot; x 36&quot;",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tack Mat 120 Sheets, Cases of 4","","CLEAN MAT is a polyethylene film mat with a tacky surface that removes dust and dirt from footwear and prevents it from being tracked. Each mat contains 30 sheets which are tabbed for easy removal of each layer. Clean mat stays firmly in place and is easy to use and dispose of!
(Do not adhere to carpeted surfaces)","","Blue Clean Mat 24&quot; x 36&quot;","Blue Clean Mat 24&quot; x 36&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23956","Tractor Accessories",37978,"CM3636B",,"Blue Clean Mat 36&quot; x 36&quot;","Blue Clean Mat - Surface Shields","Blue Clean Mat 36&quot; x 36&quot;","Tack Mat 120 Sheets, Cases of 4",/\C\M\Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,/\C\M\Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,http://www.48ws.com/images/product/C/M/Surface-Shields-CM2436B-Blue-Clean-Mat-24-x.jpg,Surface-Shields-CM3636B-Blue-Clean-Mat-36-x-36,Surface-Shields-CM3636B-Blue-Clean-Mat-36-x-36,,No layout updates.,Block after Info Column,,"Blue Clean Mat 36&quot; x 36&quot;","Blue Clean Mat 36&quot; x 36&quot;",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Surface Shields CM3636B Blue Clean Mat 36&quot; x 36&quot;","","CLEAN MAT is a polyethylene film mat with a tacky surface that removes dust and dirt from footwear and prevents it from being tracked. Each mat contains 30 sheets which are tabbed for easy removal of each layer. Clean mat stays firmly in place and is easy to use and dispose of!
(Do not adhere to carpeted surfaces)","","Blue Clean Mat 36&quot; x 36&quot;","Blue Clean Mat 36&quot; x 36&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"628|24124","Carpet|Surface Protection Films",37980,"CS361000",,"Carpet Shield 36&quot; x 1000' Carpet Protection","Surface Shields Carpet Shield","Carpet Shield 36&quot; x 1000' Carpet Protection","Surface Shields CS361000 Carpet Shield 36&quot; x 1000' Carpet Protection",/\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,/\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,http://www.48ws.com/images/product/C/S/Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet-Protection,Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet-Protection,,No layout updates.,Block after Info Column,,"Carpet Shield 36&quot; x 1000' Carpet Protection","Carpet Shield 36&quot; x 1000' Carpet Protection",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Surface Shields CS361000 Carpet Shield 36&quot; x 1000' Carpet Protection","Self-adhering polyethylene film for all types of carpeting (clear)","Clear, self adhering protective film for all types of carpeting. Uniquely formulated adhesive system adheres to all carpet substrates. Special blend of polyethylene is highly resistant to tears or punctures. Reverse wound for easy application. Great protection during remodeling, painting, moving, model home tours and parties.<br></br>
New added solvent technology to go with only approved water based adhesive system for wool carpets.","","Surface Shields CS361000 Carpet Shield 36&quot; x 1000' Carpet Protection","Carpet Shield 36&quot; x 1000' Carpet Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"628|24124","Carpet|Surface Protection Films",37981,"CS36200",,"Carpet Shield 36&quot; x 200' Carpet Protection","Surface Shields Carpet Shield","Carpet Shield 36&quot; x 200' Carpet Protection","Surface Shields CS361000 Carpet Shield 36&quot; x 1000' Carpet Protection",/\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,/\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,http://www.48ws.com/images/product/C/S/Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,Surface-Shields-CS36200-Carpet-Shield-36-x-200-Carpet-Protection,Surface-Shields-CS36200-Carpet-Shield-36-x-200-Carpet-Protection,,No layout updates.,Block after Info Column,,"Carpet Shield 36&quot; x 200' Carpet Protection","Carpet Shield 36&quot; x 200' Carpet Protection",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Surface Shields CS36200 Carpet Shield 36&quot; x 200' Carpet Protection","Self-adhering polyethylene film for all types of carpeting (clear)","Clear, self adhering protective film for all types of carpeting. Uniquely formulated adhesive system adheres to all carpet substrates. Special blend of polyethylene is highly resistant to tears or punctures. Reverse wound for easy application. Great protection during remodeling, painting, moving, model home tours and parties.<br></br>
New added solvent technology to go with only approved water based adhesive system for wool carpets.","","Surface Shields CS36200 Carpet Shield 36&quot; x 200' Carpet Protection","Carpet Shield 36&quot; x 200' Carpet Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"628|24124","Carpet|Surface Protection Films",37982,"CS36500",,"Carpet Shield 36&quot; x 500' Carpet Protection","Surface Shields Carpet Shield","Carpet Shield 36&quot; x 500' Carpet Protection","Surface Shields CS361000 Carpet Shield 36&quot; x 1000' Carpet Protection",/\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,/\C\S\Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,http://www.48ws.com/images/product/C/S/Surface-Shields-CS361000-Carpet-Shield-36-x-1000-Carpet- 1.jpg,Surface-Shields-CS36500-Carpet-Shield-36-x-500-Carpet-Protection,Surface-Shields-CS36500-Carpet-Shield-36-x-500-Carpet-Protection,,No layout updates.,Block after Info Column,,"Carpet Shield 36&quot; x 500' Carpet Protection","Carpet Shield 36&quot; x 500' Carpet Protection",Use config,"http://www.surfaceshields.com/",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Surface Shields CS36500 Carpet Shield 36&quot; x 500' Carpet Protection","Self-adhering polyethylene film for all types of carpeting (clear)","Clear, self adhering protective film for all types of carpeting. Uniquely formulated adhesive system adheres to all carpet substrates. Special blend of polyethylene is highly resistant to tears or punctures. Reverse wound for easy application. Great protection during remodeling, painting, moving, model home tours and parties.<br></br>
New added solvent technology to go with only approved water based adhesive system for wool carpets.","","Surface Shields CS36500 Carpet Shield 36&quot; x 500' Carpet Protection","Carpet Shield 36&quot; x 500' Carpet Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2666|24124","Surface Protection Shields|Surface Protection Films",37983,"DSPRO2",,"Dust Shield Pro™","","Dust Shield Pro™","Multi purpose adjustable pole kit contains 2 poles with interlocking head assembly",/\D\S\Surface-Shields-DSPRO2-Dust-Shield.jpg,/\D\S\Surface-Shields-DSPRO2-Dust-Shield.jpg,http://www.48ws.com/images/product/D/S/Surface-Shields-DSPRO2-Dust-Shield.jpg,Surface-Shields-DSPRO2-Dust-Shield-Pro,Surface-Shields-DSPRO2-Dust-Shield-Pro,,No layout updates.,Block after Info Column,,"Dust Shield Pro™","Dust Shield Pro™",Use config,"http://www.surfaceshields.com/dust-containment-poles",0,,,0,"Surface Shields",382,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dust Shield Pro™ - Extendable Dust Containment Poles","</br>
<li>These dent resistant poles, crafted of a heavy gauge aluminum, are designed to stand up to the toughest conditions.</li>
<li>The 12 foot pole can be compacted to 57 inches and the 16 foot pole can be compacted down to 75 inches.</li>
<li>Dust Shield Pro poles are simple to use and also include an easy to read instructional label just below the handle.</li>
<li>They are sold as 2 packs in a retail friendly packaging.</li>","","","Poles Adjust to 12'","Dust Shield Pro™",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
