store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1713|27981","Sealants|Waterproofing Sealants",10709,"MasterSeal® NP 1™",,"NP 1™  10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)","","NP 1™  10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)","The Sonneborn NP1 10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack) are suitable for application on many surfaces in most climates. The flexible sealants can be used on masonry and concrete.",/\M\a\NP-1-101-oz-Gun-Grade-Polyurethane-Sealants-4.jpg,/\M\a\NP-1-101-oz-Gun-Grade-Polyurethane-Sealants-4.jpg,http://www.48ws.com/images/product/M/a/NP-1-101-oz-Gun-Grade-Polyurethane-Sealants-4.jpg,Sonneborn-NP1-101-oz-Gun-Grade-Polyurethane-Sealants-4-Pack,Sonneborn-NP1-101-oz-Gun-Grade-Polyurethane-Sealants-4-Pack,,No layout updates.,Block after Info Column,,"NP 1™  10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)","NP 1™  10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)",Use config,"",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"MasterSeal® NP 1™ 10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)","<li>1-component, solvent-based elastomeric polyurethane formula does not require mixing</li><li>Adheres to most materials with no primer required</li><li>Paintable and stainable</li><li>Mold and mildew resistant</li><li>ASTM C719 tested</li>","The MasterSeal® NP 1™ 10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack) are suitable for application on many surfaces in most climates. The flexible sealants can be used on masonry and concrete.","","BASF MasterSeal® NP 1™  10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)","NP 1™  10.1 oz. Gun-Grade Polyurethane Sealants (4-Pack)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"343|26915","Liquid - Below Grade|Below Grade",37205,"1001731",,"Hydrocide 600","Degussa Building Systems Hydrocide","Hydrocide 600","Waterborne Emulsified-Asphalt Dampproofing Compound",/\H\y\HYDROCIDE-600-700.jpg,/\H\y\HYDROCIDE-600-700.jpg,http://www.48ws.com/images/product/H/y/HYDROCIDE-600-700.jpg,HYDROCIDE-600-700-700B,HYDROCIDE-600-700-700B,,No layout updates.,Block after Info Column,,"Hydrocide 600","Hydrocide 600",Use config,"http://www.buildingsystems.basf.com/p02/USWeb-Internet/buildingsystems/en/function/conversions:/publish/content/microsites/buildingsystems/products/items/docs/hyd_tdg.pdf",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b>Waterborne Emulsified-Asphalt Damp-proofing Compound</b><br></br>
<li>Suitable for &quot;green&quot; or slightly damp surfaces</li><li>Nonflammable</li><li>Water clean up</li><li>Flexible</li><li>Wide service temperature range, -40 to 150 degrees F (-40 to 66 degrees C)</li>
<li>Speeds dampproofing of new foundation walls</li><li>Minimizes fire hazards during application</li><li>User friendly; enhances production</li><li>Withstands normal expansion and contraction</li><li>Suitable for most climates</li>","",""," Hydrocide 600","Hydrocide 600",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1713|27981","Sealants|Waterproofing Sealants",38146,"MasterSeal® NP 2™",,"Sonolastic NP 2","","Sonolastic NP 2","NP 2™ is a three-component, highly flexible, nonpriming, high-performance polyurethane sealant. It has been successfully tested for joint movement of plus or minus 50%. Choose from 40 popular stock colors and 470 standard color.",/\M\a\Sonolastic-NP- 1.jpg,/\M\a\Sonolastic-NP- 1.jpg,http://www.48ws.com/images/product/M/a/Sonolastic-NP- 1.jpg,Sonneborn-NP2-Sonolastic-NP-2,Sonneborn-NP2-Sonolastic-NP-2,,No layout updates.,Block after Info Column,,"Sonolastic NP 2","Sonolastic NP 2",Use config,"",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"MasterSeal® NP 2™; is a three-component, highly flexible, nonpriming, high-performance polyurethane sealant. It has been successfully tested for joint movement of plus or minus 50%. Choose from 40 popular stock colors and 470 standard color.","<li>Elastomeric, movement capability of ±50</li>
<li>Resistant to weather, airborne pollutants and chemicals</li>
<li>Superior Adhesion</li>
<li>NP 2 Accelerator available</li>
<li>Sonneborn Color Portfolio available</li>
<li>Excellent gunability over a broad temperature range</li>
<li>Nonstaining</li>
<li>UL Listed</li>
<li>Suitable for water immersion</li>","","","BASF MasterSeal® NP 2™  Sonolastic NP 2","Sonolastic NP 2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1713|27981","Sealants|Waterproofing Sealants",38148,"MasterSeal® SL 1™",,"Sonolasitc SL-1","","Sonolasitc SL-1","SL-1 is a one component nonpriming, self-leveling, elastomeric polyurethane designed for expansion joints in concrete floors and decks. Use it where flexibility as well as abrasion and puncture resistance are required.",/\M\a\Sonolasitc-SL.jpg,/\M\a\Sonolasitc-SL.jpg,http://www.48ws.com/images/product/M/a/Sonolasitc-SL.jpg,Sonneborn-SL1-Sonolasitc-SL-1,Sonneborn-SL1-Sonolasitc-SL-1,,No layout updates.,Block after Info Column,,"Sonolasitc SL-1","Sonolasitc SL-1",Use config,"",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"MasterSeal® SL 1™ is a one component nonpriming, self-leveling, elastomeric polyurethane designed for expansion joints in concrete floors and decks. Use it where flexibility as well as abrasion and puncture resistance are required.","<li>Movement capability of 25%</li>
<li>Abrasion resistant</li>
<li>Easy to gun</li>
<li>Variety of types and sizes of packaging</li>
<li>Nonpriming on most surfaces</li>
<li>Self Levels</li>
<li>Wide application-temperature range</li>
<li>Excellent weatherability</li>","","","BASF MasterSeal® SL 1™ Sonolasitc SL-1","Sonolasitc SL-1",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1713|27981","Sealants|Waterproofing Sealants",38149,"SL2",,"Sonolastic SL 2","","Sonolastic SL 2","SL 2 is a multi-component, self-leveling, elastomeric polyurethane sealant that is mixed and poured in place. When cured, it forms a tough, resilient joint seal that resists penetration, abrasion, and remains flexible when exposed to weather and aging.",/\S\L\Sonolastic-SL.jpg,/\S\L\Sonolastic-SL.jpg,http://www.48ws.com/images/product/S/L/Sonolastic-SL.jpg,Sonneborn-SL2-Sonolastic-SL-2,Sonneborn-SL2-Sonolastic-SL-2,,No layout updates.,Block after Info Column,,"Sonolastic SL 2","Sonolastic SL 2",Use config,"",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"SL 2 is a multi-component, self-leveling, elastomeric polyurethane sealant that is mixed and poured in place. When cured, it forms a tough, resilient joint seal that resists penetration, abrasion, and remains flexible when exposed to weather and aging.","<li>Movement capability 25%</li>
<li>Abrasion resistant</li>
<li>Penetration resistant</li>
<li>Resistant to weathering and aging</li>
<li>Available in custom colors</li>
<li>Self-leveling and slope grades</li>
<li>Suitable for water immersion</li>","","","Sonneborn SL2 Sonolastic SL 2","Sonolastic SL 2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"343|26915","Liquid - Below Grade|Below Grade",89055,"1001732",,"Hydrocide 700","Degussa Building Systems Hydrocide","Hydrocide 700","Waterborne Emulsified-Asphalt Dampproofing Compound",/\H\y\HYDROCIDE-600-700.jpg,/\H\y\HYDROCIDE-600-700.jpg,http://www.48ws.com/images/product/H/y/HYDROCIDE-600-700.jpg,Hydrocide-700,Hydrocide-700,,No layout updates.,Block after Info Column,,"Hydrocide 700","Hydrocide 700",Use config,"http://www.buildingsystems.basf.com/p02/USWeb-Internet/buildingsystems/en/function/conversions:/publish/content/microsites/buildingsystems/products/items/docs/hyd_tdg.pdf",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hydrocide 700","<b>Waterborne Emulsified-Asphalt Damp-proofing Compound</b><br></br>
<li>Suitable for &quot;green&quot; or slightly damp surfaces</li><li>Nonflammable</li><li>Water clean up</li><li>Flexible</li><li>Wide service temperature range, -40 to 150 degrees F (-40 to 66 degrees C)</li>
<li>Speeds dampproofing of new foundation walls</li><li>Minimizes fire hazards during application</li><li>User friendly; enhances production</li><li>Withstands normal expansion and contraction</li><li>Suitable for most climates</li>","","","Hydrocide 700","Hydrocide 700",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"343|26915","Liquid - Below Grade|Below Grade",89056,"1001733",,"Hydrocide 700B","Degussa Building Systems Hydrocide","Hydrocide 700B","Waterborne Emulsified-Asphalt Dampproofing Compound",/\H\y\HYDROCIDE-600-700.jpg,/\H\y\HYDROCIDE-600-700.jpg,http://www.48ws.com/images/product/H/y/HYDROCIDE-600-700.jpg,Hydrocide-700B,Hydrocide-700B,,No layout updates.,Block after Info Column,,"Hydrocide 700B","Hydrocide 700B",Use config,"http://www.buildingsystems.basf.com/p02/USWeb-Internet/buildingsystems/en/function/conversions:/publish/content/microsites/buildingsystems/products/items/docs/hyd_tdg.pdf",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Hydrocide 700B","<b>Waterborne Emulsified-Asphalt Damp-proofing Compound</b><br></br>
<li>Suitable for &quot;green&quot; or slightly damp surfaces</li><li>Nonflammable</li><li>Water clean up</li><li>Flexible</li><li>Wide service temperature range, -40 to 150 degrees F (-40 to 66 degrees C)</li>
<li>Speeds dampproofing of new foundation walls</li><li>Minimizes fire hazards during application</li><li>User friendly; enhances production</li><li>Withstands normal expansion and contraction</li><li>Suitable for most climates</li>","","","Hydrocide 700B","Hydrocide 700B",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1751|26729","Epoxy Adhesive|Concrete Epoxy Adhesive",96141,"MasterEmaco® ADH 1090RS",,"MasterEmaco® ADH 1090RS","","MasterEmaco® ADH 1090RS","",/\M\a\MasterEmaco-ADH- 2.jpg,/\M\a\MasterEmaco-ADH- 2.jpg,http://www.48ws.com/images/product/M/a/MasterEmaco-ADH- 2.jpg,basf-Concresive-1090-Liquid-,basf-Concresive-1090-Liquid-,,No layout updates.,Block after Info Column,,"MasterEmaco® ADH 1090RS","MasterEmaco® ADH 1090RS",Use config,"",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","MasterEmaco® ADH 1090RS is a two-component, 100% solids liquid epoxy bonding adhesive. It is used in areas where high early strength is required.","","","BASF MasterEmaco® ADH 1090RS","MasterEmaco® ADH 1090RS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"297|26789","Cementitious - Patching | Repair|Cement Patching and Repair",96220,"T1681",,"MasterEmaco® N 426 Cement Based Patching 50lb Sac","","MasterEmaco® N 426 Cement Based Patching 50lb Sac","	
		A general-purpose, cement-based patch intended for small repair work. Mix with water and Acryl 60. Thickness allows for vertical patching. Thorite is designed to be coated following application at least 1/4&quot; thick.",/\T\1\MasterEmaco-N-426-Cement-Based-Patching-50lb.jpg,/\T\1\MasterEmaco-N-426-Cement-Based-Patching-50lb.jpg,http://www.48ws.com/images/product/T/1/MasterEmaco-N-426-Cement-Based-Patching-50lb.jpg,BASF-T1681-Thorite-Cement-Based-Patching-50lb-Sac,BASF-T1681-Thorite-Cement-Based-Patching-50lb-Sac,,No layout updates.,Block after Info Column,,"MasterEmaco® N 426 Cement Based Patching 50lb Sac","MasterEmaco® N 426 Cement Based Patching 50lb Sac",Use config,"http://www.thoroproducts.com/pdf_info/Thorite_GPMortar_sellSheet.pdf",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A general-purpose, cement-based patch intended for small repair work. Mix with water and Acryl 60. Thickness allows for vertical patching. Thorite is designed to be coated following application at least 1/4&quot; thick.","<br>
<li>High performance mortar, non-sagging.</li><br>
<li>Very low slump properties, excellent for working without forms.</li><br>
<li>Suitable for trowel application on vertical or overhead surfaces.</li><br>
<li>Quick-setting - sets hard in 15 minutes.</li><br>
<li>Extraordinary structural strength - gets stronger as it cures.</li><br>
<li>For interior and exterior use; above and below-grade; nontraffic-bearing horizontal surfaces. </li><br>
<li>Use to repair surface irregularities and other minor surface defects.</li><br>
<li>Restore delicate architectural details without intricate form work and casting techniques.</li><br>
<li>Non-shrinking.</li><br>
<li>Resistant to wind-driven rain and below-grade hydrostatic pressure.</li><br>
<li>Comes in dry powder form, mixes easily with water.</li><br>
<li>Cleans up with soap and water immediately after use.</li>","","","BASF MasterEmaco® N 426 Thorite Cement Based Patching 50lb Sac","MasterEmaco® N 426 Cement Based Patching 50lb Sac",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"297|26789","Cementitious - Patching | Repair|Cement Patching and Repair",96228,"T1682",,"MasterEmaco® N 426 Cement Based Patch 60lb Pail","","MasterEmaco® N 426 Cement Based Patch 60lb Pail","A general-purpose, cement-based patch intended for small repair work. Mix with water and Acryl 60. Thickness allows for vertical patching. Thorite is designed to be coated following application at least 1/4&quot; thick.",/\T\1\MasterEmaco-N-426-Cement-Based-Patch-60lb.jpg,/\T\1\MasterEmaco-N-426-Cement-Based-Patch-60lb.jpg,http://www.48ws.com/images/product/T/1/MasterEmaco-N-426-Cement-Based-Patch-60lb.jpg,BASF-T1682-Thorite-Cement-Based-Patch-60lb-Pail,BASF-T1682-Thorite-Cement-Based-Patch-60lb-Pail,,No layout updates.,Block after Info Column,,"MasterEmaco® N 426 Cement Based Patch 60lb Pail","MasterEmaco® N 426 Cement Based Patch 60lb Pail",Use config,"http://www.thoroproducts.com/pdf_info/Thorite_GPMortar_sellSheet.pdf",0,,,0,"BASF",634,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A general-purpose, cement-based patch intended for small repair work. Mix with water and Acryl 60. Thickness allows for vertical patching. Thorite is designed to be coated following application at least 1/4&quot; thick.","<br>
<li>High performance mortar, non-sagging.</li><br>
<li>Very low slump properties, excellent for working without forms.</li><br>
<li>Suitable for trowel application on vertical or overhead surfaces.</li><br>
<li>Quick-setting - sets hard in 15 minutes.</li><br>
<li>Extraordinary structural strength - gets stronger as it cures.</li><br>
<li>For interior and exterior use; above and below-grade; nontraffic-bearing horizontal surfaces. </li><br>
<li>Use to repair surface irregularities and other minor surface defects.</li><br>
<li>Restore delicate architectural details without intricate form work and casting techniques.</li><br>
<li>Non-shrinking.</li><br>
<li>Resistant to wind-driven rain and below-grade hydrostatic pressure.</li><br>
<li>Comes in dry powder form, mixes easily with water.</li><br>
<li>Cleans up with soap and water immediately after use.</li>","","","BASF MasterEmaco® N 426 Thorite Cement Based Patch 60lb Pail","MasterEmaco® N 426 Cement Based Patch 60lb Pail",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
