store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2506|22006","Specialty Wrenches|Structural and Spud Wrenches",37706,"3210",,"Erection Wrench 1/2&quot; Bolt","Erection Wrenches For U.S. Heavy Nuts - Klein Tools","Erection Wrench 1/2&quot; Bolt","Erection Wrench",/\3\2\Klein-Tools-Erection-Wrench-12-Bolt-For-US-Heavy.jpg,/\3\2\Klein-Tools-Erection-Wrench-12-Bolt-For-US-Heavy.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-Erection-Wrench-12-Bolt-For-US-Heavy.jpg,Klein-Tools-Erection-Wrench-12-Bolt-For-US-Heavy-Nut,Klein-Tools-Erection-Wrench-12-Bolt-For-US-Heavy-Nut,,No layout updates.,Block after Info Column,,"Erection Wrench 1/2&quot; Bolt","Erection Wrench 1/2&quot; Bolt",Use config,"http://www.kleintools.com/catalog/erection-wrenches-steel-erection-wrenches/erection-wrench-12-bolt-us-heavy-nut",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Erection Wrench","<li>Forged from select alloy steel to withstand high-leverage and heavy loads.</li><li>Extra-heavy-duty head area gives maximum strength and durability.</li><li>Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.</li><li>Extra-large hub area works on larger diameter holes than other wrenches.</li><li>Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.</li><li>American Bridge design.</li>","<li>Made in the USA</li>","","Erection Wrench 1/2&quot; Bolt","Erection Wrench 1/2&quot; Bolt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2506|22006","Specialty Wrenches|Structural and Spud Wrenches",37709,"3212",,"Erection Wrench 3/4&quot; Bolt","Erection Wrenches For U.S. Heavy Nuts - Klein Tools","Erection Wrench 3/4&quot; Bolt","Erection Wrench",/\3\2\Erection-Wrench-34-Bolt-For-US-Heavy.jpg,/\3\2\Erection-Wrench-34-Bolt-For-US-Heavy.jpg,http://www.48ws.com/images/product/3/2/Erection-Wrench-34-Bolt-For-US-Heavy.jpg,Erection-Wrench-34-Bolt-For-US-Heavy-Nut,Erection-Wrench-34-Bolt-For-US-Heavy-Nut,,No layout updates.,Block after Info Column,,"Erection Wrench 3/4&quot; Bolt","Erection Wrench 3/4&quot; Bolt",Use config,"http://www.kleintools.com/catalog/erection-wrenches-steel-erection-wrenches/erection-wrench-34-bolt-us-heavy-nut",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Erection Wrench","<li>Forged from select alloy steel to withstand high-leverage and heavy loads.</li><li>Extra-heavy-duty head area gives maximum strength and durability.</li><li>Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.</li><li>Extra-large hub area works on larger diameter holes than other wrenches.</li><li>Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.</li><li>American Bridge design.</li>","<li>Made in the USA</li>","","Erection Wrench 3/4&quot; Bolt","Erection Wrench 3/4&quot; Bolt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2506|22006","Specialty Wrenches|Structural and Spud Wrenches",37711,"3213",,"Erection Wrench 7/8&quot; Bolt","Erection Wrenches For U.S. Heavy Nuts - Klein Tools","Erection Wrench 7/8&quot; Bolt","Erection Wrench",/\3\2\Klein-Tools-Erection-Wrench-78-Bolt-For-US-Heavy.jpg,/\3\2\Klein-Tools-Erection-Wrench-78-Bolt-For-US-Heavy.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-Erection-Wrench-78-Bolt-For-US-Heavy.jpg,Klein-Tools-Erection-Wrench-78-Bolt-For-US-Heavy-Nut,Klein-Tools-Erection-Wrench-78-Bolt-For-US-Heavy-Nut,,No layout updates.,Block after Info Column,,"Erection Wrench 7/8&quot; Bolt","Erection Wrench 7/8&quot; Bolt",Use config,"http://www.kleintools.com/catalog/erection-wrenches-steel-erection-wrenches/erection-wrench-78-bolt-us-heavy-nut",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Erection Wrench","<li>Forged from select alloy steel to withstand high-leverage and heavy loads.</li><li>Extra-heavy-duty head area gives maximum strength and durability.</li><li>Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.</li><li>Extra-large hub area works on larger diameter holes than other wrenches.</li><li>Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.</li><li>American Bridge design.</li>","<li>Made in the USA</li>","","Erection Wrench 7/8&quot; Bolt","Erection Wrench 7/8&quot; Bolt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2506|22006","Specialty Wrenches|Structural and Spud Wrenches",37712,"3214",,"Erection Wrench 1&quot; Bolt","Erection Wrenches For U.S. Heavy Nuts - Klein Tools","Erection Wrench 1&quot; Bolt","Erection Wrench",/\3\2\Klein-Tools-Erection-Wrench-1-Bolt-For-US-Heavy.jpg,/\3\2\Klein-Tools-Erection-Wrench-1-Bolt-For-US-Heavy.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-Erection-Wrench-1-Bolt-For-US-Heavy.jpg,Klein-Tools-Erection-Wrench-1-Bolt-For-US-Heavy-Nut,Klein-Tools-Erection-Wrench-1-Bolt-For-US-Heavy-Nut,,No layout updates.,Block after Info Column,,"Erection Wrench 1&quot; Bolt","Erection Wrench 1&quot; Bolt",Use config,"http://www.kleintools.com/catalog/erection-wrenches-steel-erection-wrenches/erection-wrench-1-bolt-us-heavy-nut",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Erection Wrench","<li>Forged from select alloy steel to withstand high-leverage and heavy loads.</li><li>Extra-heavy-duty head area gives maximum strength and durability.</li><li>Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.</li><li>Extra-large hub area works on larger diameter holes than other wrenches.</li><li>Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.</li><li>American Bridge design.</li>","<li>Made in the USA</li>","","Erection Wrench 1&quot; Bolt","Erection Wrench 1&quot; Bolt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2499|21976","Adjustable Wrenches|Adjustable Wrenches",37714,"3239",,"Adjustable-Head Construction Wrench","","Adjustable-Head Construction Wrench","Adjustable Head Construction Wrench",/\3\2\Klein-Tools-Adjustable-Head-Construction.jpg,/\3\2\Klein-Tools-Adjustable-Head-Construction.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-Adjustable-Head-Construction.jpg,Klein-Tools-Adjustable-Head-Construction-Wrench,Klein-Tools-Adjustable-Head-Construction-Wrench,,No layout updates.,Block after Info Column,,"Adjustable-Head Construction Wrench","Adjustable-Head Construction Wrench",Use config,"http://www.kleintools.com/catalog/adjustable-ratcheting-construction-wrenches-adjustable-head-construction-wrenches-erection-wrenches/adjustable-head-construction-wrench",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Adjustable Head Construction Wrench","<li>Versatile wrench fits all nuts and bolts to 1-1/2&quot; (38 mm).</li><li>
Eliminates the need for carrying several fixed-size wrenches.</li><li>
Forged from select alloy steel with continuous-taper handle for aligning bolt and/or rivet holes.</li><li>Industrial black finish for corrosion resistance.</li>","<li>Made in the USA</li>","","Klein Tools - Adjustable-Head Construction Wrench","Adjustable-Head Construction Wrench",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"825|21886|28298","Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",37754,"3245",,"3/4&quot; Round Connecting Bar 30&quot;","Round Bars - Klein Tools","3/4&quot; Round Connecting Bar 30&quot;","Round Bar",/\3\2\Klein-Tools-30-Round.jpg,/\3\2\Klein-Tools-30-Round.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-30-Round.jpg,Klein-Tools-30-Round-Bar,Klein-Tools-30-Round-Bar,,No layout updates.,Block after Info Column,,"3/4&quot; Round Connecting Bar 30&quot;","3/4&quot; Round Connecting Bar 30&quot;",Use config,"http://www.kleintools.com/catalog/round-bars/30-round-bar",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3/4&quot; Diameter, 30&quot; Round Bar","<li>Provides extra leverage when positioning steel members and aligning bolt holes.</li><li>Forged fit-up bar is pointed on one end.</li><li>Chisel-end is at a 15° angle to give even greater leverage.</li>","<li>3/4&quot; Diameter, 30&quot; Length, Weight 3.30 lbs.</li>","","3/4&quot; Round Connecting Bar 30&quot;","3/4&quot; Round Connecting Bar 30&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"825|26915|28298","Bars|Below Grade|Rental Bars",37755,"3248",,"7/8&quot; Round Connecting Bar 30&quot;","Round Bars - Klein Tools","7/8&quot; Round Connecting Bar 30&quot;","7/8&quot; Diameter, 30&quot; Round Bar",/\3\2\Klein-Tools-30-Round- 1.jpg,/\3\2\Klein-Tools-30-Round- 1.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-30-Round- 1.jpg,Klein-Tools-30-Round-Bar,Klein-Tools-30-Round-Bar,,No layout updates.,Block after Info Column,,"7/8&quot; Round Connecting Bar 30&quot;","7/8&quot; Round Connecting Bar 30&quot;",Use config,"http://www.kleintools.com/catalog/round-bars/30-round-bar-0",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7/8&quot; Diameter, 30&quot; Round Bar","<li>Provides extra leverage when positioning steel members and aligning bolt holes.</li><li>Forged fit-up bar is pointed on one end.</li><li>Chisel-end is at a 15° angle to give even greater leverage.</li>","<li>7/8&quot; Diameter, 30&quot; Length, Weight 4.30 lbs.</li>","","7/8&quot; Round Connecting Bar 30&quot;","7/8&quot; Round Connecting Bar 30&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2506|27681","Specialty Wrenches|Form Pins",37758,"3255",,"Broad Head Bull Pin","","Broad Head Bull Pin","Bull Pin",/\3\2\Klein-Tools-Broad-Head-Bull.jpg,/\3\2\Klein-Tools-Broad-Head-Bull.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-Broad-Head-Bull.jpg,Klein-Tools-Broad-Head-Bull-Pin,Klein-Tools-Broad-Head-Bull-Pin,,No layout updates.,Block after Info Column,,"Broad Head Bull Pin","Broad Head Bull Pin",Use config,"http://www.kleintools.com/catalog/broad-head-bull-pins/broad-head-bull-pin",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bull Pin","<li>Forged, heat-treated bull pin increases efficiency by providing a larger striking surface.</li><li>Head design also reduces chance of pin slipping from the hand when aligning holes.</li><li>Angled head and smooth blending of radii increase strength and reduce the danger of chipping.</li><li>Below the head, squared-off shoulders have been forged to provide a surface for applying wrench to loosen wedged bull pins.</li><li>Long, even taper reduces binding and hang-up.</li><li>Added resistance to &quot;mushrooming&quot; permitting much longer use than is possible with conventional designs.</li><li>Heat-treated for strength.</li><li>
Black finish for rust resistance.</li>","<li>Length: 13-3/4&quot;, Point Diameter: 5/16&quot;, Top Diameter: 1-1/4&quot;, Weight: 2.90 lbs.</li>","","Klein Tools - Broad Head Bull Pin","Broad Head Bull Pin",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2506|27681","Specialty Wrenches|Form Pins",37759,"3256",,"Broad Head Bull Pin","","Broad Head Bull Pin","Bull Pin",/\3\2\Klein-Tools-Broad-Head-Bull- 1.jpg,/\3\2\Klein-Tools-Broad-Head-Bull- 1.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-Broad-Head-Bull- 1.jpg,Klein-Tools-Broad-Head-Bull-Pin,Klein-Tools-Broad-Head-Bull-Pin,,No layout updates.,Block after Info Column,,"Broad Head Bull Pin","Broad Head Bull Pin",Use config,"http://www.kleintools.com/catalog/broad-head-bull-pins/broad-head-bull-pin-0",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bull Pin","<li>Forged, heat-treated bull pin increases efficiency by providing a larger striking surface.</li><li>Head design also reduces chance of pin slipping from the hand when aligning holes.</li><li>Angled head and smooth blending of radii increase strength and reduce the danger of chipping.</li><li>Below the head, squared-off shoulders have been forged to provide a surface for applying wrench to loosen wedged bull pins.</li><li>Long, even taper reduces binding and hang-up.</li><li>Added resistance to &quot;mushrooming&quot; permitting much longer use than is possible with conventional designs.</li><li>Heat-treated for strength.</li><li>
Black finish for rust resistance.</li>","<li>Length: 10&quot;, Point Diameter: 1/4&quot;, Top Diameter: 1-1/16&quot;, Weight: 1.60 lbs.</li>","","Klein Tools - Broad Head Bull Pin","Broad Head Bull Pin",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2503|27681","L - Wrenches|Form Pins",37761,"3261",,"13/16&quot; x 7/16&quot; Barrel-Type Drift Pin","Barrel-Type Drift Pins - Klein Tools","13/16&quot; x 7/16&quot; Barrel-Type Drift Pin","Drift Pin",/\3\2\Klein-Tools-1316-Barrel-Type-Drift.jpg,/\3\2\Klein-Tools-1316-Barrel-Type-Drift.jpg,http://www.48ws.com/images/product/3/2/Klein-Tools-1316-Barrel-Type-Drift.jpg,Klein-Tools-1316-Barrel-Type-Drift-Pin,Klein-Tools-1316-Barrel-Type-Drift-Pin,,No layout updates.,Block after Info Column,,"13/16&quot; x 7/16&quot; Barrel-Type Drift Pin","13/16&quot; x 7/16&quot; Barrel-Type Drift Pin",Use config,"http://www.kleintools.com/catalog/barrel-type-drift-pins/1316-barrel-type-drift-pin",0,,,0,"Klein Tools",356,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Drift Pin","<li>Machined from quality alloy steel.</li><li>
Tapers are uniform and blend into body diameter.</li><li>
Tough, forged steel will properly end-pein in use.</li><li>
Heat-treated for strength.</li><li>
Black finish for rust resistance.</li>","Overall Length: 8&quot;","","13/16&quot; x 7/16&quot; Barrel-Type Drift Pin ","13/16&quot; x 7/16&quot; Barrel-Type Drift Pin",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
