Sku,Quick Overview,Image
WG18-3,"<ul>
<li><b>WG18-3-100 Automotive Primary Wire, GPT Standard Wall</b><br/></li><li>Category: <a href=""https://www.waytekwire.com/products/1455/Automotive-Primary-Wire/"" target=""_blank"">Automotive Primary Wire</a></li><li>Automotive primary wire is a general purpose wire for      original
      equipment and replacement automotive applications<br/></li>
<li>
      Smooth jacket surface ideal for pulling through      corrugated loom or conduit
   </li>
<li>
      SAEJ1128-GPT
   </li>
<li>
      Excellent resistance to oil and flame
   </li>
<li>
      Single conductor, stranded, bare copper
   </li>
<li>
      Jacketed polyvinylchloride (PVC)
   </li>
<li>
      Available in drum/barrel quantities at discounted      prices
   </li>
<li>
      Temp rating: -40°F (-40°C)  to  185°F (85°C)
   </li>
<li>
      Larger spool sizes available. See <a href=""//www.waytekwire.com/item/WG18-3/"" target=""_self"">WG18-3</a>
</li>
</ul>",WG18-3.jpg
WG18-7,"<ul>
<li><b>WG18-7-100 Automotive Primary Wire, GPT Standard Wall</b><br/></li><li>Category: <a href=""https://www.waytekwire.com/products/1455/Automotive-Primary-Wire/"" target=""_blank"">Automotive Primary Wire</a></li><li>Automotive primary wire is a general purpose wire for      original
      equipment and replacement automotive applications<br/></li>
<li>
      Smooth jacket surface ideal for pulling through      corrugated loom or conduit
   </li>
<li>
      SAEJ1128-GPT
   </li>
<li>
      Excellent resistance to oil and flame
   </li>
<li>
      Single conductor, stranded, bare copper
   </li>
<li>
      Jacketed polyvinylchloride (PVC)
   </li>
<li>
      Available in drum/barrel quantities at discounted      prices
   </li>
<li>
      Temp rating: -40°F (-40°C)  to  185°F (85°C)
   </li>
<li>
      Larger spool sizes available. See <a href=""//www.waytekwire.com/item/WG18-7/"" target=""_self"">WG18-7</a>
</li>
</ul>",WG18-7.jpg
WG18-9 ,"<ul>
<li><b>WG18-9-100 Automotive Primary Wire, GPT Standard Wall</b><br/></li><li>Category: <a href=""https://www.waytekwire.com/products/1455/Automotive-Primary-Wire/"" target=""_blank"">Automotive Primary Wire</a></li><li>Automotive primary wire is a general purpose wire for      original
      equipment and replacement automotive applications<br/></li>
<li>
      Smooth jacket surface ideal for pulling through      corrugated loom or conduit
   </li>
<li>
      SAEJ1128-GPT
   </li>
<li>
      Excellent resistance to oil and flame
   </li>
<li>
      Single conductor, stranded, bare copper
   </li>
<li>
      Jacketed polyvinylchloride (PVC)
   </li>
<li>
      Available in drum/barrel quantities at discounted      prices
   </li>
<li>
      Temp rating: -40°F (-40°C)  to  185°F (85°C)
   </li>
<li>
      Larger spool sizes available. See <a href=""//www.waytekwire.com/item/WG18-9/"" target=""_self"">WG18-9</a>
</li>
</ul>",WG18-9 .jpg
WG18-12,"<ul>
<li><b>WG18-12-100 Automotive Primary Wire, GPT Standard Wall</b><br/></li><li>Category: <a href=""https://www.waytekwire.com/products/1455/Automotive-Primary-Wire/"" target=""_blank"">Automotive Primary Wire</a></li><li>Automotive primary wire is a general purpose wire for      original
      equipment and replacement automotive applications<br/></li>
<li>
      Smooth jacket surface ideal for pulling through      corrugated loom or conduit
   </li>
<li>
      SAEJ1128-GPT
   </li>
<li>
      Excellent resistance to oil and flame
   </li>
<li>
      Single conductor, stranded, bare copper
   </li>
<li>
      Jacketed polyvinylchloride (PVC)
   </li>
<li>
      Available in drum/barrel quantities at discounted      prices
   </li>
<li>
      Temp rating: -40°F (-40°C)  to  185°F (85°C)
   </li>
<li>
      Larger spool sizes available. See <a href=""//www.waytekwire.com/item/WG18-12/"" target=""_self"">WG18-12</a>
</li>
</ul>",WG18-12.jpg
WG20-8,"<div>
<b>Spool Sizes Available:  500', 1000', 3000', 5000'<font color=""#ff0000"">*</font></b>
</div>",WG20-8.jpg
WG20-8,"<div>
<b>Spool Sizes Available:  500', 1000', 3000', 5000'<font color=""#ff0000"">*</font></b>
</div>",WG20-8.jpg
WG20-6,"<div>
<b>Spool Sizes Available: 500', 1000', 3000', 5000'<font color=""#ff0000"">*</font></b>
</div>",WG20-6.jpg
WL16-9,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-9.jpg
WL14-9,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-9.jpg
WL12-3,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 1500', 3000'<font color=""#ff0000"">*</font></b>
</div>",WL12-3.jpg
WL10-0,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 2000'<font color=""#ff0000"">*</font></b>
</div>",WL10-0.jpg
WL12-2,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 1500', 3000'<font color=""#ff0000"">*</font></b>
</div>",WL12-2.jpg
wl12-0,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 1500', 3000'<font color=""#ff0000"">*</font></b>
</div>",wl12-0.jpg
WL18-2,"<div>
<b>Spool Sizes Available:  500', 1000', 3000'</b><b>, 5</b><b>000'</b></div>",WL18-2.jpg
WL16-2,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-2.jpg
WL16-1,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-1.jpg
WL18-0,"<div>
<b>Spool Sizes Available:  500', 1000', 3000'</b><b>, 5</b><b>000'</b></div>",WL18-0.jpg
WL14-2,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-2.jpg
46430,"<ul>
<li>
<b style=""line-height: 1.66667;"">EATON's Bussmann Series 121B30-00M-KA
      Shortstop Circuit Breakers</b>
</li>
<li>Category: <a href=""https://www.waytekwire.com/products/1664/Eaton-Short-Stop-Circuit-Breakers/"" target=""_blank"">Eaton Short Stop Circuit Breakers</a><br/></li><li><span style=""line-height: 1.66667;"">Manufacturer: </span><a href=""https://www.waytekwire.com/manf/15/EATON"" target=""_self"">EATON</a><br/></li>
<li>
<span style=""line-height: 1.66667;"">Series: 12X</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Type: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Type=Short-Stop"" style=""line-height: 1.66667;"" target=""_self"">Shortstop</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Current Rating: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Amps=30"" target=""_self"">30A</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Voltage Rating: 12V</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Terminals: (2) #10-32 Studs</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Reset Method: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Reset-Method=Type-I---Automatic"" style=""line-height: 1.66667;"" target=""_self"">Type I - Automatic</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Heavy-duty metal housing cover</span>
</li>
<li>
<span style=""line-height: 1.66667;"">No bracket included</span>
</li>
<li>
      Plastic housing also available (<span style=""line-height: 1.66667;""><a href=""//www.waytekwire.com/item/46431/Cooper-Bussmann-121B30-00P-KA-Type-1/"" target=""_self"">Cooper Bussmann 121B30-00P-KA</a>)</span>
</li>
</ul>",46430.jpg
WL16-4,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-4.jpg
WL10-6,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 2000'<font color=""#ff0000"">*</font></b>
</div>",WL10-6.jpg
WL18-1,"<div>
<b>Spool Sizes Available:  500', 1000', 3000'</b><b>, 5</b><b>000'</b></div>",WL18-1.jpg
WL16-0,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-0.jpg
WL14-0,"<div>
<b>Spool Sizes Available:  500', 1000', 2000', 4000'</b></div>",WL14-0.jpg
WL18-4,"<div>
<b>Spool Sizes Available:  500', 1000', 3000'</b><b>, 5</b><b>000'</b></div>",WL18-4.jpg
WG20,"<div>
<b>Spool Sizes Available:  500', 1000', 3000', 5000'<font color=""#ff0000"">*</font></b>
</div>",WG20.jpg
23505,"<ul>
<li><b>23505 Straight-In Battery Boot</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1423/Battery-Boots/"" target=""_blank"">Battery Boots</a></li><li>
      Protect battery cables from corrosion and shorting
   </li>
<li>
      Improve the appearance of your battery connections
   </li>
<li>
      More <a href=""../../../../../../../../../products/1423/Battery-Boots/&amp;Type=Alternator"">alternator
      type</a>, <a href=""../../../../../../../../../products/1423/Battery-Boots/&amp;Type=Straight-In"">straight-in</a>
      and <a href=""../../../../../../../../../products/1423/Battery-Boots/&amp;Type=Marine"">marine
      type</a> battery boot options available
   </li>
</ul>",23505.jpg
23504,"<ul>
<li><b>23504 Straight-In Battery Boot</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1423/Battery-Boots/"" target=""_blank"">Battery Boots</a></li><li>
      Protect battery cables from corrosion and shorting
   </li>
<li>
      Improve the appearance of your battery connections
   </li>
<li>
      More <a href=""../../../../../../../../../products/1423/Battery-Boots/&amp;Type=Alternator"">alternator
      type</a>, <a href=""../../../../../../../../../products/1423/Battery-Boots/&amp;Type=Straight-In"">straight-in</a>
      and <a href=""../../../../../../../../../products/1423/Battery-Boots/&amp;Type=Marine"">marine
      type</a> battery boot options available
   </li>
</ul>",23504.jpg
46194,"<ul>
<li><b>EATON's Bussmann Series ANL-200 ANL Low Voltage Limiter Fuse</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1646/Bolt-Down-Fuses/"" target=""_blank"">Bolt-Down Fuses</a></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/15/EATON"" target=""_blank"">EATON</a><br/></li>
<li>
<span style=""line-height: 1.66667;"">Series: ANL</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Style: </span><span style=""line-height: 1.66667;"">Bolt-Down Fuses</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Current Rating: </span><a href=""//www.waytekwire.com/products/1367/Fuses/&amp;Amps=200"" target=""_self"">200A</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Voltage Rating AC: </span><a href=""//www.waytekwire.com/products/1367/Fuses/&amp;Volts=32"" style=""line-height: 1.66667;"" target=""_self"">32V</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Silver-plated copper links</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Bolt-down design for high-vibration
      applications</span>
</li>
<li>
<span style=""line-height: 1.66667;"">For high current applications</span>
</li>
<li>
      Recommended use with <a href=""//www.waytekwire.com/item/46097/Cooper-Bussman-4164-ANN-ANL-Fuse-Holder/"" target=""_self"">Cooper Bussmann 4164 ANN/ANL Fuse Holder</a>
</li>
</ul>",46194.jpg
SJ14-2,"<ul>
<li><span style=""line-height: 1.66667;""><b>Southwire 55812101 SJOOW Service Cord</b></span></li><li><span style=""line-height: 1.66667;"">Category: </span><a href=""https://www.waytekwire.com/products/1462/Service-Cord/"" target=""_blank"">Service Cord</a></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/133/Southwire/"" target=""_blank"">Southwire</a></li><li>
<span style=""line-height: 1.6666666666666667;"">Comes in 250' spool</span>
</li>
<li>
      Excellent resistance to abrasion, ozone, sunlight, chemicals and oils
   </li>
<li>
      Inside jacket material is chlorinated polyethylene CPE
   </li>
<li>
      Approved for submersion in water
   </li>
<li>
      Outer jacket printed with cable identification, wire gauge and number of
      conductors
   </li>
<li>
      Conductor colors: black &amp; white
   </li>
<li>
      MSHA approved
   </li>
<li>
      UL/CSA horizontal flame test
   </li>
<li>
      -40°F (-40°C) to 194°F (90°C)
   </li>
<li>
      SJOOW rated 300 volts, outside insulation material is Ethylene Propylene (EP)
   </li>
</ul>",SJ14-2.jpg
46600,"<div>The Unslotted MCASE+ Fuse is a cartridge style fuse up to 40A with female terminals for 2.8mm male terminals. The Slotted MCASE+ Fuse is available in amperage's up to 60A and can mate with larger male terminals (e.g., 6.3mm) or even mount directly onto a busbar. </div>",46600.jpg
46601,"<div>The Unslotted MCASE+ Fuse is a cartridge style fuse up to 40A with female terminals for 2.8mm male terminals. The Slotted MCASE+ Fuse is available in amperage's up to 60A and can mate with larger male terminals (e.g., 6.3mm) or even mount directly onto a busbar. </div>",46601.jpg
46602,"<div>The Unslotted MCASE+ Fuse is a cartridge style fuse up to 40A with female terminals for 2.8mm male terminals. The Slotted MCASE+ Fuse is available in amperage's up to 60A and can mate with larger male terminals (e.g., 6.3mm) or even mount directly onto a busbar. </div>",46602.jpg
46603,"<div>The Unslotted MCASE+ Fuse is a cartridge style fuse up to 40A with female terminals for 2.8mm male terminals. The Slotted MCASE+ Fuse is available in amperage's up to 60A and can mate with larger male terminals (e.g., 6.3mm) or even mount directly onto a busbar. </div>",46603.jpg
46604,"<div>The Unslotted MCASE+ Fuse is a cartridge style fuse up to 40A with female terminals for 2.8mm male terminals. The Slotted MCASE+ Fuse is available in amperage's up to 60A and can mate with larger male terminals (e.g., 6.3mm) or even mount directly onto a busbar. </div>",46604.jpg
SO14-3,"<ul>
<li><span style=""line-height: 1.66667;""><b>Southwire 55809906 SOOW Service Cord</b></span></li><li><span style=""line-height: 1.66667;"">Category: </span><a href=""https://www.waytekwire.com/products/1462/Service-Cord/"" target=""_blank"">Service Cord</a></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/133/Southwire/"" target=""_blank"">Southwire</a></li><li>
<span style=""line-height: 1.6666666666666667;"">Comes in 250' spool</span>
</li>
<li>
      Excellent resistance to abrasion, ozone, sunlight, chemicals and oils
   </li>
<li>
      Inside jacket material is chlorinated polyethylene CPE
   </li>
<li>
      Approved for submersion in water
   </li>
<li>
      Outer jacket printed with cable identification, wire gauge and number of
      conductors
   </li>
<li>
      Conductor colors: black, white &amp; green
   </li>
<li>
      MSHA approved
   </li>
<li>
      UL/CSA horizontal flame test
   </li>
<li>
      -40°F (-40°C) to 194°F (90°C)
   </li>
<li>
      SOOW rated 600 volts, outside insulation material is Ethylene Propylene
      Diene M-Class (EPDM)
   </li>
</ul>",SO14-3.jpg
WL10-2,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 2000'<font color=""#ff0000"">*</font></b>
</div>",WL10-2.jpg
WL14-7,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-7.jpg
WL14-5,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-5.jpg
WL14-4,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-4.jpg
WL14-6,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-6.jpg
WL14-1,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-1.jpg
WL14-8,"<div>
<b>Spool Sizes Available:  500', 1000', 2000'</b><b>, </b><b>4000'</b></div>",WL14-8.jpg
WL16-5,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-5.jpg
WL16-6,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-6.jpg
WM22-2,"<div>
<b>Spool Sizes Available:  500', 1000', 3000', 15000'<font color=""#ff0000"">*</font></b>
</div>",WM22-2.jpg
WM22-0,"<div>
<b>Spool Sizes Available:  500', 1000', 3000', 15000'<font color=""#ff0000"">*</font></b>
</div>",WM22-0.jpg
