category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2606|25115,Standard Belts|V-Belts,3405,Grabber Belt-Clip Black,,E:\IMAGES\ITEMS\product\3\4\Grabber-Belt-Clip-Black.jpg,Ergodyne Work Gear,,"Clips to belts, tool belts, pants and other clothing Detachable, usable with beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Hi-Vis Orange, Hi-Vis Lime, Blue, Black","Applications: Carpentry, Electrician, Contractors, Trades, Roofing, Construction, Warehousing, Maintenance, Mechanics, HVAC, Plumbing, Mitten Security.",,Ergodyne Grabber Belt-Clip Black 3405,Grabber Belt-Clip Black
223|25662,Manual Rope Grab|Rope Grabs,19112,SQUIDS® 3400 GRABBER-DUAL CLIP,Keep gloves and other items handy. Clips to most anything. Patented.,E:\IMAGES\ITEMS\product\1\9\Grabber-Dual.jpg,Ergodyne Work Gear,Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.,"Clips to clothing, belts, tool belts and D-rings Detachable, usable with 'beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Patented design Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink",,,Black,SQUIDS® 3400 GRABBER-DUAL CLIP
223|25662,Manual Rope Grab|Rope Grabs,19117,SQUIDS® 3400 GRABBER-DUAL CLIP,Keep gloves and other items handy. Clips to most anything. Patented.,E:\IMAGES\ITEMS\product\1\9\Grabber-Dual.jpg,Ergodyne Work Gear,Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.,"Clips to clothing, belts, tool belts and D-rings Detachable, usable with 'beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Patented design Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink",,,Blue,SQUIDS® 3400 GRABBER-DUAL CLIP
223|25662,Manual Rope Grab|Rope Grabs,19119,SQUIDS® 3400 GRABBER-DUAL CLIP,Keep gloves and other items handy. Clips to most anything. Patented.,E:\IMAGES\ITEMS\product\1\9\Grabber-Dual.jpg,Ergodyne Work Gear,Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.,"Clips to clothing, belts, tool belts and D-rings Detachable, usable with 'beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Patented design Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink",,,Lime,SQUIDS® 3400 GRABBER-DUAL CLIP
223|25662,Manual Rope Grab|Rope Grabs,19118,SQUIDS® 3400 GRABBER-DUAL CLIP,Keep gloves and other items handy. Clips to most anything. Patented.,E:\IMAGES\ITEMS\product\1\9\Grabber-Dual.jpg,Ergodyne Work Gear,Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.,"Clips to clothing, belts, tool belts and D-rings Detachable, usable with 'beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Patented design Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink",,,Orange,SQUIDS® 3400 GRABBER-DUAL CLIP
223|25662,Manual Rope Grab|Rope Grabs,19114,SQUIDS® 3400 GRABBER-DUAL CLIP,Keep gloves and other items handy. Clips to most anything. Patented.,E:\IMAGES\ITEMS\product\1\9\Grabber-Dual.jpg,Ergodyne Work Gear,Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.,"Clips to clothing, belts, tool belts and D-rings Detachable, usable with 'beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Patented design Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink",,,Pink,SQUIDS® 3400 GRABBER-DUAL CLIP
223|25662,Manual Rope Grab|Rope Grabs,19113,SQUIDS® 3400 GRABBER-DUAL CLIP,Keep gloves and other items handy. Clips to most anything. Patented.,E:\IMAGES\ITEMS\product\1\9\Grabber-Dual.jpg,Ergodyne Work Gear,Grabber-Dual Clip: Keep gloves and other items handy. Clips to most anything. Patented.,"Clips to clothing, belts, tool belts and D-rings Detachable, usable with 'beeners, D-rings, etc. Breakaway feature Dielectric/non-conductive material Durable, ultra-resilient acetal copolymer Patented design Hi-Vis Orange, Hi-Vis Lime, Blue, Black, Red and Pink",,,Red,SQUIDS® 3400 GRABBER-DUAL CLIP
21814,Measuring Tapes,19770,Squids® 3770 Tape Measure Trap,,E:\IMAGES\ITEMS\product\1\9\ergodyne-work-gear-19770-squids-3770-tape-measure-trap.jpg,Ergodyne Work Gear,,Tape Measure Trap securely wraps around most standard tape measures.  D-Ring connection point attaches to a lanyard to prevent drops.                                                                                                                                                                                                                                   Features                                                                                               1200D and 600D polyester main material Hook and loop straps secure tape measure inside trap for safe and easy tethering Zinc-plated cast alloy D-Ring Maximum safe working capacity: 2 lbs. (0.9 kg) Third party tested using a 2:1 safety factor Patented design                                                                                                                                                                                                                  Application                                                                                              Heavy Construction Utilities Mining/Extraction Roofing Maintenance Arborists Oil &amp; Gas Telecommunications,,,,Squids® 3770 Tape Measure Trap
22984,Chains,19792,Squids® 3790 Tool Shackle - 2-Pack,,E:\IMAGES\ITEMS\product\1\9\ergodyne-work-gear-19792-squids-3790-tool-shackle-2-pack.jpg,Ergodyne Work Gear,,"Stainless steel U shaped shackles connect to waisted tools (tapered mid sections) or tools with captive holes, creating clean, secure attachment points for tethering.                                                                                                                                                                                                                                  Features                                                                                              Stainless steel (#304) materialOne step retrofit attachment for tethering pointConnects around midsection of a waisted toolSecure by adding a drop of adhesive and tighteningMaximum safe working capacity: 15lbs (6.8kg)Third-party certified to a 2:1 safety factor                                                                                                                                                                                                                 Application                                                                                               Telecommunications Municipalities Construction Utilities Wind Energy Oil &amp; Gas Power Generation Railway",,,,Squids® 3790 Tool Shackle - 2-Pack
29095,Cooling & Heating Packs,12420,Chill-Its® 6602 Evaporative Cooling Towel,,E:\IMAGES\ITEMS\product\1\2\ergodyne-work-gear-12420-chill-its-6602-evaporative-cooling-towel.jpg,Ergodyne Work Gear,,"Cooling Towel: Dampen this synthetic space age towel to create a cooling aid significantly colder than ambient air.                                                                                                                                                                                                                                  Features                                                                                              Advanced PVA cooling technologySuper-evaporative, feels significantly cooler than ambient airActivates fast and easy - run under cold water for one minuteWear for hours or for quick reliefSimply re-wet to reactivateMachine washableSize: 13in x 29.5in (33cm x 75cm)                                                                                                                                                                                                                 Application                                                                                               Construction Freight/Baggage Drilling/Mining Iron/Steel Work Agriculture Solar Landscaping/Grounds",,,,Chill-Its® 6602 Evaporative Cooling Towel
