store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88881,"1562",,"Tradesman 100 Portable Forced Air","Tradesman Portable Construction Heaters","Tradesman 100 Portable Forced Air","",/\1\5\Tradesman-100-Portable-Forced.jpg,/\1\5\Tradesman-100-Portable-Forced.jpg,http://www.48ws.com/images/product/1/5/Tradesman-100-Portable-Forced.jpg,Tradesman-100-Portable-Forced-Air,Tradesman-100-Portable-Forced-Air,,No layout updates.,Block after Info Column,,"Tradesman 100 Portable Forced Air","Tradesman 100 Portable Forced Air",Use config,"http://www.lbwhite.com/products/Portable/Portable-Forced-Air/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Engineered to deliver reliable, directional heat, L.B. White Tradesman heaters feature a unique 3-trial ignition system, the industry's heaviest gauge combustion chamber and burner plate, and Self Diagnostic Service Saver models for convenient trouble-shooting. L.B. White has perfected every aspect of our construction heaters design to withstand the harsh working environments.<br>
<li>Dependable electronic spark ignition</li>
<li>Superior Tri-Shield finish provides extended protection against abrasion and corrosion. </li>
<li>Thermostatic temperature control  (170 and 400 models)</li>
<li>Adjustable front leg provides easy direction of heat (170 model)</li>
<li>Variable output saves fuel</li>
<li>100% test fired at our plant</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>CSA US and Canadian</li>
","","","Tradesman 100 Portable Forced Air","Tradesman 100 Portable Forced Air",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88882,"1563",,"Tradesman 170 Portable Forced Air","Tradesman Portable Construction Heaters","Tradesman 170 Portable Forced Air","",/\1\5\Tradesman-100-Portable-Forced.jpg,/\1\5\Tradesman-100-Portable-Forced.jpg,http://www.48ws.com/images/product/1/5/Tradesman-100-Portable-Forced.jpg,Tradesman-170-Portable-Forced-Air,Tradesman-170-Portable-Forced-Air,,No layout updates.,Block after Info Column,,"Tradesman 170 Portable Forced Air","Tradesman 170 Portable Forced Air",Use config,"http://www.lbwhite.com/products/Portable/Portable-Forced-Air/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tradesman 170 Portable Forced Air","Engineered to deliver reliable, directional heat, L.B. White Tradesman heaters feature a unique 3-trial ignition system, the industry's heaviest gauge combustion chamber and burner plate, and Self Diagnostic Service Saver models for convenient trouble-shooting. L.B. White has perfected every aspect of our construction heaters design to withstand the harsh working environments.<br>
<li>Dependable electronic spark ignition</li>
<li>Superior Tri-Shield finish provides extended protection against abrasion and corrosion. </li>
<li>Thermostatic temperature control  (170 and 400 models)</li>
<li>Adjustable front leg provides easy direction of heat (170 model)</li>
<li>Variable output saves fuel</li>
<li>100% test fired at our plant</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>CSA US and Canadian</li>
","","","Tradesman 170 Portable Forced Air","Tradesman 170 Portable Forced Air",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88883,"1564",,"Tradesman 400 Portable Forced Air","Tradesman Portable Construction Heaters","Tradesman 400 Portable Forced Air","",/\1\5\Tradesman-100-Portable-Forced.jpg,/\1\5\Tradesman-100-Portable-Forced.jpg,http://www.48ws.com/images/product/1/5/Tradesman-100-Portable-Forced.jpg,Tradesman-400-Portable-Forced-Air,Tradesman-400-Portable-Forced-Air,,No layout updates.,Block after Info Column,,"Tradesman 400 Portable Forced Air","Tradesman 400 Portable Forced Air",Use config,"http://www.lbwhite.com/products/Portable/Portable-Forced-Air/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tradesman 400 Portable Forced Air","Engineered to deliver reliable, directional heat, L.B. White Tradesman heaters feature a unique 3-trial ignition system, the industry's heaviest gauge combustion chamber and burner plate, and Self Diagnostic Service Saver models for convenient trouble-shooting. L.B. White has perfected every aspect of our construction heaters design to withstand the harsh working environments.<br>
<li>Dependable electronic spark ignition</li>
<li>Superior Tri-Shield finish provides extended protection against abrasion and corrosion. </li>
<li>Thermostatic temperature control  (170 and 400 models)</li>
<li>Adjustable front leg provides easy direction of heat (170 model)</li>
<li>Variable output saves fuel</li>
<li>100% test fired at our plant</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>CSA US and Canadian</li>
","","","Tradesman 400 Portable Forced Air","Tradesman 400 Portable Forced Air",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21526","Portable Oil and Kerosene Heaters",88884,"1565",,"Tradesman 45-75K","Kerosene Portable Construction Heaters","Tradesman 45-75K","",/\1\5\Tradesman-45- 1.jpg,/\1\5\Tradesman-45- 1.jpg,http://www.48ws.com/images/product/1/5/Tradesman-45- 1.jpg,Tradesman-45-75K,Tradesman-45-75K,,No layout updates.,Block after Info Column,,"Tradesman 45-75K","Tradesman 45-75K",Use config,"http://www.lbwhite.com/products/Portable/Tradesman-Kerosene/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene portable heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation you expect from L.B. White","When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation.<br>
<li>Kerosene, #1 diesel or #1 fuel oil</li>
<li>Dependable dual-prong electronic ignition</li>
<li>Durable brass fuel fittings, not plastic</li>
<li>Durable brass fuel fittings, not plastic</li>
<li>Fuel gauge indicates remaining run time</li>
<li>Comfort control thermostat (K75 and up)</li>
<li>Wheels and handles make it easier to maneuver (K125 and up</li>
<li>Threaded drain plug</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>CSA US and Canada</li>","Available in models ranging from 45,000 to 650,000 Btu/h
Kerosene, #1 diesel or #1 fuel oil
Dependable dual-prong electronic ignition
Durable brass fuel fittings, not plastic
Fuel gauge indicates remaining run time
Comfort control thermostat (models K75 and up)
Wheels and handles make it easier to maneuver (models K125 and up)
Threaded drain plug
Direct-fired = 99.97% fuel efficiency
CSA US and Canada certified","","Tradesman 45-75K","Tradesman 45-75K",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21526","Portable Oil and Kerosene Heaters",88885,"1566",,"Tradesman 125-210K","Kerosene Portable Construction Heaters","Tradesman 125-210K","",/\1\5\Tradesman-45- 1.jpg,/\1\5\Tradesman-45- 1.jpg,http://www.48ws.com/images/product/1/5/Tradesman-45- 1.jpg,Tradesman-125-210K,Tradesman-125-210K,,No layout updates.,Block after Info Column,,"Tradesman 125-210K","Tradesman 125-210K",Use config,"http://www.lbwhite.com/products/Portable/Tradesman-Kerosene/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tradesman 125-210K","When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation.<br>
<li>Kerosene, #1 diesel or #1 fuel oil</li>
<li>Dependable dual-prong electronic ignition</li>
<li>Durable brass fuel fittings, not plastic</li>
<li>Durable brass fuel fittings, not plastic</li>
<li>Fuel gauge indicates remaining run time</li>
<li>Comfort control thermostat (K75 and up)</li>
<li>Wheels and handles make it easier to maneuver (K125 and up</li>
<li>Threaded drain plug</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>CSA US and Canada</li>","","","Tradesman 125-210K","Tradesman 125-210K",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21526","Portable Oil and Kerosene Heaters",88886,"1567",,"Tradesman 400-650K","Kerosene Portable Construction Heaters","Tradesman 400-650K","",/\1\5\Tradesman-45- 1.jpg,/\1\5\Tradesman-45- 1.jpg,http://www.48ws.com/images/product/1/5/Tradesman-45- 1.jpg,Tradesman-400-650K,Tradesman-400-650K,,No layout updates.,Block after Info Column,,"Tradesman 400-650K","Tradesman 400-650K",Use config,"http://www.lbwhite.com/products/Portable/Tradesman-Kerosene/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Tradesman 400-650K","When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation.<br>
<li>Kerosene, #1 diesel or #1 fuel oil</li>
<li>Dependable dual-prong electronic ignition</li>
<li>Durable brass fuel fittings, not plastic</li>
<li>Durable brass fuel fittings, not plastic</li>
<li>Fuel gauge indicates remaining run time</li>
<li>Comfort control thermostat (K75 and up)</li>
<li>Wheels and handles make it easier to maneuver (K125 and up</li>
<li>Threaded drain plug</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>CSA US and Canada</li>","","","Tradesman 400-650K","Tradesman 400-650K",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88887,"1652",,"Workman 100 - Standard LP","Workman Convection Heater","Workman 100 - Standard LP","",/\1\6\Workman-100-Standard.jpg,/\1\6\Workman-100-Standard.jpg,http://www.48ws.com/images/product/1/6/Workman-100-Standard.jpg,Workman-100-Standard-LP,Workman-100-Standard-LP,,No layout updates.,Block after Info Column,,"Workman 100 - Standard LP","Workman 100 - Standard LP",Use config,"http://www.lbwhite.com/products/Portable/Convection/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","These standard duty convection heaters feature adjustable output control to save fuel, and a unique top design for superior heat distribution. Workman heaters provide 360° heating and don't require electricity.<br>
<li>LP and NG Models available</li>
<li>Lightweight for easy maneuverability</li>
<li>Piezo pilot ignition</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>Enclosed stainless steel burner provides superior wind resistance</li>
<li>360° heat output</li>
<li>One piece barrel, no assembly required</li>
<li>CSA US and Canada</li>","","","Workman 100 - Standard LP","Workman 100 - Standard LP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88888,"1653",,"Workman 100 - NG Low Pressure","Workman Convection Heater","Workman 100 - NG Low Pressure","",/\1\6\Workman-100-Standard.jpg,/\1\6\Workman-100-Standard.jpg,http://www.48ws.com/images/product/1/6/Workman-100-Standard.jpg,Workman-100-NG-Low-Pressure,Workman-100-NG-Low-Pressure,,No layout updates.,Block after Info Column,,"Workman 100 - NG Low Pressure","Workman 100 - NG Low Pressure",Use config,"http://www.lbwhite.com/products/Portable/Convection/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Workman 100 - NG Low Pressure","These standard duty convection heaters feature adjustable output control to save fuel, and a unique top design for superior heat distribution. Workman heaters provide 360° heating and don't require electricity.<br>
<li>LP and NG Models available</li>
<li>Lightweight for easy maneuverability</li>
<li>Piezo pilot ignition</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>Enclosed stainless steel burner provides superior wind resistance</li>
<li>360° heat output</li>
<li>One piece barrel, no assembly required</li>
<li>CSA US and Canada</li>","","","Workman 100 - NG Low Pressure","Workman 100 - NG Low Pressure",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88889,"1654",,"Workman 225","Workman Convection Heater","Workman 225","",/\1\6\Workman-100-Standard.jpg,/\1\6\Workman-100-Standard.jpg,http://www.48ws.com/images/product/1/6/Workman-100-Standard.jpg,Workman-225,Workman-225,,No layout updates.,Block after Info Column,,"Workman 225","Workman 225",Use config,"http://www.lbwhite.com/products/Portable/Convection/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Workman 225","These standard duty convection heaters feature adjustable output control to save fuel, and a unique top design for superior heat distribution. Workman heaters provide 360° heating and don't require electricity.<br>
<li>LP and NG Models available</li>
<li>Lightweight for easy maneuverability</li>
<li>Piezo pilot ignition</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>Enclosed stainless steel burner provides superior wind resistance</li>
<li>360° heat output</li>
<li>One piece barrel, no assembly required</li>
<li>CSA US and Canada</li>","","","Workman 225","Workman 225",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"59|21369","Heaters|Band Heaters",88890,"1656",,"Norseman 200","Norseman Convectional Heaters","Norseman 200","",/\1\6\Norseman.jpg,/\1\6\Norseman.jpg,http://www.48ws.com/images/product/1/6/Norseman.jpg,Norseman-200,Norseman-200,,No layout updates.,Block after Info Column,,"Norseman 200","Norseman 200",Use config,"http://www.lbwhite.com/products/Portable/Convection/",0,,,0,"L.B. White",548,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The heavy duty convection heaters feature cast iron burners and heavy gauge steel bodies. Norseman heaters are ideal for rental or frequent usage on construction sites, or anytime electricity is not available.<br>
<li>LP Models</li>
<li>Rugged Norseman family ideal for heavy rental use</li>
<li>Horizontal Norseman has low ceiling clearance</li>
<li>Direct-fired = 99.97% fuel efficiency</li>
<li>360° heat output (200 Plus and 250 models)</li>
<li>Heavy duty, one piece barrel</li>
<li>200 Plus CSA US and Canada</li>","","","Norseman 200","Norseman 200",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
