category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
59|21369,Heaters|Band Heaters,1562,Tradesman 100 Portable Forced Air,,E:\IMAGES\ITEMS\product\1\5\Tradesman-100-Portable-Forced.jpg,L.B. White,,"Engineered to deliver reliable, directional heat, L.B. White Tradesman heaters feature a unique 3-trial ignition system, the industry's heaviest gauge combustion chamber and burner plate, and Self Diagnostic Service Saver models for convenient trouble-shooting. L.B. White has perfected every aspect of our construction heaters design to withstand the harsh working environments. Dependable electronic spark ignition Superior Tri-Shield finish provides extended protection against abrasion and corrosion.  Thermostatic temperature control  (170 and 400 models) Adjustable front leg provides easy direction of heat (170 model) Variable output saves fuel 100% test fired at our plant Direct-fired = 99.97% fuel efficiency CSA US and Canadian",,,Tradesman 100 Portable Forced Air,Tradesman 100 Portable Forced Air
59|21369,Heaters|Band Heaters,1563,Tradesman 170 Portable Forced Air,,E:\IMAGES\ITEMS\product\1\5\Tradesman-100-Portable-Forced.jpg,L.B. White,Tradesman 170 Portable Forced Air,"Engineered to deliver reliable, directional heat, L.B. White Tradesman heaters feature a unique 3-trial ignition system, the industry's heaviest gauge combustion chamber and burner plate, and Self Diagnostic Service Saver models for convenient trouble-shooting. L.B. White has perfected every aspect of our construction heaters design to withstand the harsh working environments. Dependable electronic spark ignition Superior Tri-Shield finish provides extended protection against abrasion and corrosion.  Thermostatic temperature control  (170 and 400 models) Adjustable front leg provides easy direction of heat (170 model) Variable output saves fuel 100% test fired at our plant Direct-fired = 99.97% fuel efficiency CSA US and Canadian",,,Tradesman 170 Portable Forced Air,Tradesman 170 Portable Forced Air
59|21369,Heaters|Band Heaters,1564,Tradesman 400 Portable Forced Air,,E:\IMAGES\ITEMS\product\1\5\Tradesman-100-Portable-Forced.jpg,L.B. White,Tradesman 400 Portable Forced Air,"Engineered to deliver reliable, directional heat, L.B. White Tradesman heaters feature a unique 3-trial ignition system, the industry's heaviest gauge combustion chamber and burner plate, and Self Diagnostic Service Saver models for convenient trouble-shooting. L.B. White has perfected every aspect of our construction heaters design to withstand the harsh working environments. Dependable electronic spark ignition Superior Tri-Shield finish provides extended protection against abrasion and corrosion.  Thermostatic temperature control  (170 and 400 models) Adjustable front leg provides easy direction of heat (170 model) Variable output saves fuel 100% test fired at our plant Direct-fired = 99.97% fuel efficiency CSA US and Canadian",,,Tradesman 400 Portable Forced Air,Tradesman 400 Portable Forced Air
21526,Portable Oil and Kerosene Heaters,1565,Tradesman 45-75K,,E:\IMAGES\ITEMS\product\1\5\Tradesman-45- 1.jpg,L.B. White,"When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene portable heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation you expect from L.B. White","When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation. Kerosene, #1 diesel or #1 fuel oil Dependable dual-prong electronic ignition Durable brass fuel fittings, not plastic Durable brass fuel fittings, not plastic Fuel gauge indicates remaining run time Comfort control thermostat (K75 and up) Wheels and handles make it easier to maneuver (K125 and up Threaded drain plug Direct-fired = 99.97% fuel efficiency CSA US and Canada","Available in models ranging from 45,000 to 650,000 Btu/h Kerosene, #1 diesel or #1 fuel oil Dependable dual-prong electronic ignition Durable brass fuel fittings, not plastic Fuel gauge indicates remaining run time Comfort control thermostat (models K75 and up) Wheels and handles make it easier to maneuver (models K125 and up) Threaded drain plug Direct-fired = 99.97% fuel efficiency CSA US and Canada certified",,Tradesman 45-75K,Tradesman 45-75K
21526,Portable Oil and Kerosene Heaters,1566,Tradesman 125-210K,,E:\IMAGES\ITEMS\product\1\5\Tradesman-45- 1.jpg,L.B. White,Tradesman 125-210K,"When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation. Kerosene, #1 diesel or #1 fuel oil Dependable dual-prong electronic ignition Durable brass fuel fittings, not plastic Durable brass fuel fittings, not plastic Fuel gauge indicates remaining run time Comfort control thermostat (K75 and up) Wheels and handles make it easier to maneuver (K125 and up Threaded drain plug Direct-fired = 99.97% fuel efficiency CSA US and Canada",,,Tradesman 125-210K,Tradesman 125-210K
21526,Portable Oil and Kerosene Heaters,1567,Tradesman 400-650K,,E:\IMAGES\ITEMS\product\1\5\Tradesman-45- 1.jpg,L.B. White,Tradesman 400-650K,"When using gas is not convenient, or a self-contained fuel source is desired, Tradesman kerosene heaters provide instant, efficient directional heat. A dependable dual-prong electronic spark ignition, heavy duty enclosed motor, and brass fuel fittings are just a few of the features that provide the long life and trouble free operation. Kerosene, #1 diesel or #1 fuel oil Dependable dual-prong electronic ignition Durable brass fuel fittings, not plastic Durable brass fuel fittings, not plastic Fuel gauge indicates remaining run time Comfort control thermostat (K75 and up) Wheels and handles make it easier to maneuver (K125 and up Threaded drain plug Direct-fired = 99.97% fuel efficiency CSA US and Canada",,,Tradesman 400-650K,Tradesman 400-650K
59|21369,Heaters|Band Heaters,1652,Workman 100 - Standard LP,,E:\IMAGES\ITEMS\product\1\6\Workman-100-Standard.jpg,L.B. White,,"These standard duty convection heaters feature adjustable output control to save fuel, and a unique top design for superior heat distribution. Workman heaters provide 360° heating and don't require electricity. LP and NG Models available Lightweight for easy maneuverability Piezo pilot ignition Direct-fired = 99.97% fuel efficiency Enclosed stainless steel burner provides superior wind resistance 360° heat output One piece barrel, no assembly required CSA US and Canada",,,Workman 100 - Standard LP,Workman 100 - Standard LP
59|21369,Heaters|Band Heaters,1653,Workman 100 - NG Low Pressure,,E:\IMAGES\ITEMS\product\1\6\Workman-100-Standard.jpg,L.B. White,Workman 100 - NG Low Pressure,"These standard duty convection heaters feature adjustable output control to save fuel, and a unique top design for superior heat distribution. Workman heaters provide 360° heating and don't require electricity. LP and NG Models available Lightweight for easy maneuverability Piezo pilot ignition Direct-fired = 99.97% fuel efficiency Enclosed stainless steel burner provides superior wind resistance 360° heat output One piece barrel, no assembly required CSA US and Canada",,,Workman 100 - NG Low Pressure,Workman 100 - NG Low Pressure
59|21369,Heaters|Band Heaters,1654,Workman 225,,E:\IMAGES\ITEMS\product\1\6\Workman-100-Standard.jpg,L.B. White,Workman 225,"These standard duty convection heaters feature adjustable output control to save fuel, and a unique top design for superior heat distribution. Workman heaters provide 360° heating and don't require electricity. LP and NG Models available Lightweight for easy maneuverability Piezo pilot ignition Direct-fired = 99.97% fuel efficiency Enclosed stainless steel burner provides superior wind resistance 360° heat output One piece barrel, no assembly required CSA US and Canada",,,Workman 225,Workman 225
59|21369,Heaters|Band Heaters,1656,Norseman 200,,E:\IMAGES\ITEMS\product\1\6\Norseman.jpg,L.B. White,,"The heavy duty convection heaters feature cast iron burners and heavy gauge steel bodies. Norseman heaters are ideal for rental or frequent usage on construction sites, or anytime electricity is not available. LP Models Rugged Norseman family ideal for heavy rental use Horizontal Norseman has low ceiling clearance Direct-fired = 99.97% fuel efficiency 360° heat output (200 Plus and 250 models) Heavy duty, one piece barrel 200 Plus CSA US and Canada",,,Norseman 200,Norseman 200
59|21369,Heaters|Band Heaters,1657,Norseman 250,,E:\IMAGES\ITEMS\product\1\6\Norseman.jpg,L.B. White,Norseman 250,"The heavy duty convection heaters feature cast iron burners and heavy gauge steel bodies. Norseman heaters are ideal for rental or frequent usage on construction sites, or anytime electricity is not available. LP Models Rugged Norseman family ideal for heavy rental use Horizontal Norseman has low ceiling clearance Direct-fired = 99.97% fuel efficiency 360° heat output (200 Plus and 250 models) Heavy duty, one piece barrel 200 Plus CSA US and Canada",,,Norseman 250,Norseman 250
