category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
21971,Bench Vises,63301,"5"" Jaw Width Swivel Shop","Wilton Shop Vises have heavy-duty castings with a 30,000 PSI ductile iron body built for rugged use and extended life. Each has the capability of handling pipe as well as mounting to the bench with 3 mounting posts providing more stability and secure hold",E:\IMAGES\ITEMS\product\6\3\63301-Jet-5-Jaw-Width-Swivel.jpg,Wilton,"Wilton Shop Vises have heavy-duty castings with a 30,000 PSI ductile iron body built for rugged use and extended life. Each has the capability of handling pipe as well as mounting to the bench with 3 mounting posts providing more stability and secure hold.","Model Number: WS5 Gross Weight: 30.05lbs Jaw Width: 5""",,,"63301 Wilton 5"" Jaw Width Swivel Shop","5"" Jaw Width Swivel Shop"
707|24625,Clamping Tools|Clamping Tools,63110,"3/4"" Pipe Clamp Fixtures","Designed for use on any length 3/4"" threaded pipe.  Clamps are high strength iron and have steel components.  Multiple disc clutch provides instant adjustment, secure hold and quick release.",E:\IMAGES\ITEMS\product\6\3\63110-Jet-34-Pipe-Clamp.jpg,Wilton,"Designed for use on any length 3/4"" threaded pipe.  Clamps are high strength iron and have steel components.  Multiple disc clutch provides instant adjustment, secure hold and quick release.",Model Number: 709828 Gross Weight:2.6lbs,,,"63110 Wilton 3/4"" Pipe Clamp Fixtures","3/4"" Pipe Clamp Fixtures"
24625,Clamping Tools,41421,WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth,"C-Clamp Carded 0 - 2” Opening Capacity, 1-1/8” Throat Depth",E:\IMAGES\ITEMS\product\4\1\41421-Jet-Malleable-Iron-C.jpg,Wilton,"C-Clamp Carded 0 - 2"" Opening Capacity, 1-1/8"" Throat Depth","Model Nuumber: 142c Gross Weight: 0.27lbs Max Opening Capacity: 0-2"" Throat Depth: 1-1/8""","Rugged ductile iron frames with black oxide spindle, swivel pads and sliding cross pin handle Designed for the home craftsman, woodworker and light industrial service Oscillating head Wilton's heaviest-duty carriage clamp available",1990741421.0,"C-Clamp Carded 0 - 2” Opening Capacity, 1-1/8” Throat Depth",WILTON 41421 142C 2^ C-CLAMP 140 Series 1-1/8 Throat Depth
24625,Clamping Tools,41409,"C-Clamp Carded 0 - 8"" Opening Capacity, 4"" Throat Depth","C-Clamp Carded 0 - 8” Opening Capacity, 4” Throat Depth",E:\IMAGES\ITEMS\product\4\1\41409-Jet-Malleable-Iron-C.jpg,Wilton,"C-Clamp Carded 0 - 8"" Opening Capacity, 4"" Throat Depth","Rugged ductile iron frames with black oxide spindle, swivel pads and sliding cross pin handle.  Designed for the home craftsman, woodworker and light industrial service  Oscillating head.  Wilton's heaviest-duty carriage clamp available.",,,"C-Clamp Carded 0 - 8” Opening Capacity, 4” Throat Depth","C-Clamp Carded 0 - 8"" Opening Capacity, 4"" Throat Depth"
24625,Clamping Tools,41405,"C-Clamp Carded 0 - 3"" Opening Capacity, 2"" Throat Depth","C-Clamp Carded 0 - 3” Opening Capacity, 2” Throat Depth",E:\IMAGES\ITEMS\product\4\1\41405-Jet-Malleable-Iron-C.jpg,Wilton,"C-Clamp Carded 0 - 3"" Opening Capacity, 2"" Throat Depth","Rugged ductile iron frames with black oxide spindle, swivel pads and sliding cross pin handle.  Designed for the home craftsman, woodworker and light industrial service  Oscillating head.  Wilton's heaviest-duty carriage clamp available.",,,"C-Clamp Carded 0 - 3” Opening Capacity, 2” Throat Depth","C-Clamp Carded 0 - 3"" Opening Capacity, 2"" Throat Depth"
275|21899,Chisels|Chisels,33601,33601 Wilton Chisel,"2-1/8"" X 11"" FLOOR CHISEL",E:\IMAGES\ITEMS\product\3\3\33601-Wilton.gif,Wilton,"2-1/8"" X 11"" FLOOR CHISEL",,,,33601 Wilton Chisel,33601 Wilton Chisel
275|21899,Chisels|Chisels,32504,Cold Chisel,"1/2"" X 6"" COLD CHISEL",E:\IMAGES\ITEMS\product\3\2\32504-Wilton-Cold.gif,Wilton,"1/2"" X 6"" COLD CHISEL",,,,32504 Wilton Cold Chisel,Cold Chisel
21633,C Clamps,22006,WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.",E:\IMAGES\ITEMS\product\2\2\22006-Wilton-Iron-Ductile-C.jpg,Wilton,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.","Frames made from high strength ductile iron castings.  Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip.  Wilton's heaviest-duty carriage clamp available  Lifetime Warranty.","Frames made from high strength ductile iron castings Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip Wilton's heaviest-duty carriage clamp available Lifetime Warranty",1990722006.0,22006 Wilton Iron Ductile C-Clamp,WILTON 22006 8^ C-CLAMP 540A-8 540A Series 3-1/4 Throat Depth
707|24625,Clamping Tools|Clamping Tools,22005,Ductile Iron C-Clamp,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.",E:\IMAGES\ITEMS\product\2\2\22005-Wilton-Ductile-Iron-C.jpg,Wilton,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.","Frames made from high strength ductile iron castings.  Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip.  Wilton's heaviest-duty carriage clamp available.  Lifetime Warranty.","Model Number: 540A-6 Overall Dimensions: 1.2x5.4x10 Gross Weight: 3.05lbs Opening Capacity Max: 0-6"" Normal Clamp Pressure: 2,450lbs Spindle Diameter: 5/8"" Throat Depth:2 3/4""",,22005 Wilton Ductile Iron C-Clamp,Ductile Iron C-Clamp
707|24625,Clamping Tools|Clamping Tools,22003,Ductile Iron C-Clamp,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.",E:\IMAGES\ITEMS\product\2\2\22003-Wilton-Ductile-Iron-C.jpg,Wilton,"Wilton Carriage C-Clamps are ideal for light industrial, woodworking and repair applications. They feature a black oxide coating, oscillating head, and sliding cross pin handle.","Frames made from high strength ductile iron castings.  Sliding pin (vise type) handle, single acme thread rolled spindle and oscillating ball and socket tip.  Wilton's heaviest-duty carriage clamp available  Lifetime Warranty.","Model Number: 540A-4 Overall Dimensions: 1.4x4.5x8.8 Gross Weight: 2.1lbs Max Opening Capacity: 0-4"" Normal Clamp Pressuer: 2,150 lbs Spindle Diameter: 5/8"" Throat Depth: 2 1/16""",,22003 Wilton Ductile Iron C-Clamp,Ductile Iron C-Clamp
