store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12686,"EU2000i",,"Home Back Up Generator","","Home Back Up Generator","Honda EU2000i Home Back Up Generator",/\E\U\Honda-EU2000i-Home-Back-Up.jpg,/\E\U\Honda-EU2000i-Home-Back-Up.jpg,http://www.48ws.com/images/product/E/U/Honda-EU2000i-Home-Back-Up.jpg,Honda-EU2000i-Home-Back-Up-Generator,Honda-EU2000i-Home-Back-Up-Generator,,No layout updates.,Block after Info Column,,"Home Back Up Generator","Home Back Up Generator",Use config,"http://powerequipment.honda.com/generators/models/eu2000i",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EU2000i Home Back Up Generator","<li>2000 watts, 120V</li><li>
Ideal for TV/DVD, satellite, fridge, coffee pot, and more</li><li>
Super quiet</li><li>
Easy to carry - less than 47 lbs!!</li><li>
Fuel efficient - up to 9.6 hrs on 1 gal of gas</li><li>
Inverter - stable power for computers and more</li>
","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EU2000i Home Back Up Generator","Home Back Up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12687,"EU2000i Camo",,"Back-up Home Generator","","Back-up Home Generator","Honda EU2000i Camo Back-up Home Generator",/\E\U\Honda-EU2000i-Camo-Back-up-Home.jpg,/\E\U\Honda-EU2000i-Camo-Back-up-Home.jpg,http://www.48ws.com/images/product/E/U/Honda-EU2000i-Camo-Back-up-Home.jpg,Honda-EU2000i-Camo-Back-up-Home-Generator,Honda-EU2000i-Camo-Back-up-Home-Generator,,No layout updates.,Block after Info Column,,"Back-up Home Generator","Back-up Home Generator",Use config,"http://powerequipment.honda.com/generators/models/eu2000i-camo",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EU2000i Camo Back-up Home Generator","<li>2000 watts, 120V</li><li>
Natural Gear&trade; camo exterior</li><li>
Ideal for TV/DVD, satellite, fridge, coffee pot, and more</li><li>
Super quiet</li><li>
Fuel efficient - up to 9.6 hrs on 1 gal of gas</li><li>
Inverter - stable power for computers and more</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EU2000i Camo Back-up Home Generator","Back-up Home Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12688,"EU2000i Companion",,"Home Back-up Generator","","Home Back-up Generator","Honda EU2000i Companion Home Back-up Generator",/\E\U\Honda-EU2000i-Companion-Home-Back-up.jpg,/\E\U\Honda-EU2000i-Companion-Home-Back-up.jpg,http://www.48ws.com/images/product/E/U/Honda-EU2000i-Companion-Home-Back-up.jpg,Honda-EU2000i-Companion-Home-Back-up-Generator,Honda-EU2000i-Companion-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/eu2000i-companion",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EU2000i Companion Home Back-up Generator","<li>2000 watts, 120V</li><li>
Built in 30A outlet for easy parallel capability with another EU2000i</li><li>
Ideal for TV/DVD, satellite, fridge, coffee pot, and more</li><li>
Great for RV applications</li><li>
Super quiet</li><li>
Inverter - stable power for computers and more</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EU2000i Companion Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12689,"EU3000i Handi",,"Home Back-up Generator","","Home Back-up Generator","Honda EU3000i Handi Home Back-up Generator",/\E\U\Honda-EU3000i-Handi-Home-Back-up.jpg,/\E\U\Honda-EU3000i-Handi-Home-Back-up.jpg,http://www.48ws.com/images/product/E/U/Honda-EU3000i-Handi-Home-Back-up.jpg,Honda-EU3000i-Handi-Home-Back-up-Generator,Honda-EU3000i-Handi-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/eu3000i-handi",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EU3000i Handi Home Back-up Generator","<li>The lightest 3000-watt inverter generator we've ever made</li><li>
Wheels and folding handle for true portability</li><li>
Compact design</li><li>
Offset handles for easier lifting</li><li>
Recessed convenience light</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EU3000i Handi Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12690,"EU3000iS",,"Home Back-up Generator","","Home Back-up Generator","Honda EU3000iS Home Back-up Generator",/\E\U\Honda-EU3000iS-Home-Back-up.jpg,/\E\U\Honda-EU3000iS-Home-Back-up.jpg,http://www.48ws.com/images/product/E/U/Honda-EU3000iS-Home-Back-up.jpg,Honda-EU3000iS-Home-Back-up-Generator,Honda-EU3000iS-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/eu3000is",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EU3000iS Home Back-up Generator","<li>3000 watts, 120V</li><li>
Power for your furnace, fridge, microwave, most 13,500 BTU RV AC units, and more</li><li>
Super quiet</li><li>
Convenient electric start</li><li>
Fuel efficient - up to 20 hrs on 3.4 gals of gas</li><li>
Inverter - stable power for computers and more</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EU3000iS Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12691,"EU6500iS",,"Home Back-up Generator","","Home Back-up Generator","Honda EU6500iS Home Back-up Generator, EU6500iSAN, EU6500iSAC",/\E\U\Honda-EU6500iS-Home-Back-up.jpg,/\E\U\Honda-EU6500iS-Home-Back-up.jpg,http://www.48ws.com/images/product/E/U/Honda-EU6500iS-Home-Back-up.jpg,Honda-EU6500iS-Home-Back-up-Generator,Honda-EU6500iS-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/eu6500is",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EU6500iS Home Back-up Generator","<li>6500 watts, 120/240V</li><li>
Perfect for home back up power, RV's, outdoor events, job sites, and more</li><li>
Super quiet</li><li>
Fuel efficient - up to 14 hrs on 4.5 gals of gas</li><li>
Convenient electric start</li><li>
Inverter - stable power for computers and more</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EU6500iS Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12692,"EM4000S",,"Home Back-up Generator","","Home Back-up Generator","Honda EM4000S Home Back-up Generator",/\E\M\Honda-EM4000S-Home-Back-up.jpg,/\E\M\Honda-EM4000S-Home-Back-up.jpg,http://www.48ws.com/images/product/E/M/Honda-EM4000S-Home-Back-up.jpg,Honda-EM4000S-Home-Back-up-Generator,Honda-EM4000S-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/em4000",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EM4000S Home Back-up Generator","<li>4000 watts 120/240V</li><li>
Provides 5,000 watts for 10 secs to start larger equipment</li><li>
Powers fridge, furnace, lights, TV, and much more</li><li>
Long run time - up to 16 hrs</li><li>
Powerful Honda iGX commercial engine</li><li>
Electric start (battery included) with recoil back-up</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EM4000S Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12693,"EM5000iS",,"Home Back-up Generator","","Home Back-up Generator","Honda EM5000iS Home Back-up Generator",/\E\M\Honda-EM5000iS-Home-Back-up.jpg,/\E\M\Honda-EM5000iS-Home-Back-up.jpg,http://www.48ws.com/images/product/E/M/Honda-EM5000iS-Home-Back-up.jpg,Honda-EM5000iS-Home-Back-up-Generator,Honda-EM5000iS-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/em5000is",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EM5000iS Home Back-up Generator","<li>5000 watts, 120/240V</li><li>
Powers fridge, furnace, well pump, and much more</li><li>
Inverter - stable power for computers and more</li><li>
Standard electric start with remote start capability</li><li>
2 wheel kit - easy to transport</li><li>
Powerful Honda commercial OHV engine</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EM5000iS Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12694,"EM5000S",,"Home Back-up Generator","","Home Back-up Generator","Honda EM5000S Home Back-up Generator",/\E\M\Honda-EM5000S-Home-Back-up.jpg,/\E\M\Honda-EM5000S-Home-Back-up.jpg,http://www.48ws.com/images/product/E/M/Honda-EM5000S-Home-Back-up.jpg,Honda-EM5000S-Home-Back-up-Generator,Honda-EM5000S-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/em5000",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EM5000S Home Back-up Generator","<li>5000 watts 120/240V</li><li>
Provides 7,000 watts for 10 secs to start larger equipment</li><li>
Powers fridge, furnace, well pump, and much more</li><li>
Long run time - up to 11.2 hrs</li><li>
Powerful Honda iGX commercial engine</li><li>
Electric start (battery included) with recoil back-up</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EM5000S Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",12695,"EM6500S",,"Home Back-up Generator","","Home Back-up Generator","Honda EM6500S Home Back-up Generator",/\E\M\Honda-EM6500S-Home-Back-up.jpg,/\E\M\Honda-EM6500S-Home-Back-up.jpg,http://www.48ws.com/images/product/E/M/Honda-EM6500S-Home-Back-up.jpg,Honda-EM6500S-Home-Back-up-Generator,Honda-EM6500S-Home-Back-up-Generator,,No layout updates.,Block after Info Column,,"Home Back-up Generator","Home Back-up Generator",Use config,"http://powerequipment.honda.com/generators/models/em6500",0,,,0,"Honda",170,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Honda EM6500S Home Back-up Generator","<li>6500 watts 120/240V</li><li>
Provides 7,000 watts for 10 secs to start larger equipment</li><li>
Powers fridge, freezer, furnace, well pump, and much more</li><li>
Long run time - up to 10.4 hrs</li><li>
Powerful Honda iGX commercial engine</li><li>
Electric start (battery included) with recoil back-up</li>","<b>Honda Generators are the perfect choice for home back up power:</b><br>
<li>Reliable, quiet power</li><li>
Long run times</li><li>
Easy transporting</li><li>
Convenient and easy to use</li><br>
Choose from our deluxe EM series models and our super-quiet EU series for the ultimate in portable home power.","","Honda EM6500S Home Back-up Generator","Home Back-up Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
