store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"23901","Portable Generators",462861,"BG7000E",,"BG7000E Portable Generator","","BG7000E Portable Generator","",/\B\G\bartell-global-bg7000e-7000-watt-generator-electric-start.jpg,/\B\G\bartell-global-bg7000e-7000-watt-generator-electric-start.jpg,http://www.48ws.com/images/product/B/G/bartell-global-bg7000e-7000-watt-generator-electric-start.jpg,bartell-global-BG7000E-bg7000e-portable-generator,bartell-global-BG7000E-bg7000e-portable-generator,,No layout updates.,Block after Info Column,,"BG7000E Portable Generator","BG7000E Portable Generator",Use config,"https://bartell.bartellglobal.com/products/generators/bg2800-5000-7000e/",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"AVR – Auto Voltage Regulation for “clean power”. Keeps voltage within 3% (+/-) of rated voltage.
Brushless Alternator – No brushes to change, unlike brush type alternators which require replacement every 200 hours.
Genuine CooperTM brand GFCI Outlets – High quality electrical components that eliminate the possibility of shock to the operator.
Master Circuit Breaker – Eliminates damage of alternator and components.
Voltage Meter – For easy monitoring of generator performance. 12 volt DC Outlet – provides 6.2 amps of DC power.
ETL Certification – All electrical components are built to North American safety standards.
EPA Certified Overhead Valve Engines – Built to meet EPA regulations for North America.
Large Fuel Tanks – Ensures 8 hours of run time on a single tank.
Standard Wheel Kits – for ease of maneuverability.
Roll Cage – Ensures protection of all components within the frame.
Electric Start (7kw Only) – For ease of starting and includes sealed battery.","AVR – Auto Voltage Regulation for “clean power”. Keeps voltage within 3% (+/-) of rated voltage.
Brushless Alternator – No brushes to change, unlike brush type alternators which require replacement every 200 hours.
Genuine CooperTM brand GFCI Outlets – High quality electrical components that eliminate the possibility of shock to the operator.
Master Circuit Breaker – Eliminates damage of alternator and components.
Voltage Meter – For easy monitoring of generator performance. 12 volt DC Outlet – provides 6.2 amps of DC power.
ETL Certification – All electrical components are built to North American safety standards.
EPA Certified Overhead Valve Engines – Built to meet EPA regulations for North America.
Large Fuel Tanks – Ensures 8 hours of run time on a single tank.
Standard Wheel Kits – for ease of maneuverability.
Roll Cage – Ensures protection of all components within the frame.
Electric Start (7kw Only) – For ease of starting and includes sealed battery.

<h2><a href=&quot;/images/Datasheets/BG7000E-specs.pdf&quot; target=&quot;_blank&quot;>Data Sheet</a></h2><br/>","","8.0450812002e+11","BG7000E","BG7000E Portable Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24970","Diamond Saw Blades",485517,"14BSM2.6",,"14&quot; DIAMOND BLADE WET/DRY 20MM / 1&quot;","","14&quot; DIAMOND BLADE WET/DRY 20MM / 1&quot;","",/\1\4\bartell-global-14bsm26-14-diamond-blade-wetdry-20mm-1.jpg,/\1\4\bartell-global-14bsm26-14-diamond-blade-wetdry-20mm-1.jpg,http://www.48ws.com/images/product/1/4/bartell-global-14bsm26-14-diamond-blade-wetdry-20mm-1.jpg,bartell-global-14BSM26-14-diamond-blade-wetdry-20mm-1,bartell-global-14BSM26-14-diamond-blade-wetdry-20mm-1,,No layout updates.,Block after Info Column,,"14&quot; DIAMOND BLADE WET/DRY 20MM / 1&quot;","14&quot; DIAMOND BLADE WET/DRY 20MM / 1&quot;",Use config,"http://www.bartellglobal.com/wp-content/uploads/2015/03/ToolingConsumablesCatalog_Mar2015-web.pdf",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"APPLICATIONS: Pavers and soft clay brick, Cured concrete hard aggregate, Concrete bridge deck, Hard brick/roof tiles/other clay, Soft/medium/ hard stone","","","","","14&quot; DIAMOND BLADE WET/DRY 20MM / 1&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29023","Power Concrete Trowel Accessories",485518,"20652",,"4.75 X 9&quot; EDGE FINISH TROWEL BLADE","","4.75 X 9&quot; EDGE FINISH TROWEL BLADE","",/\2\0\bartell-global-20652-475-x-9-edge-finish-trowel-blade.png,/\2\0\bartell-global-20652-475-x-9-edge-finish-trowel-blade.png,http://www.48ws.com/images/product/2/0/bartell-global-20652-475-x-9-edge-finish-trowel-blade.png,bartell-global-20652-475-x-9-edge-finish-trowel-blade,bartell-global-20652-475-x-9-edge-finish-trowel-blade,,No layout updates.,Block after Info Column,,"4.75 X 9&quot; EDGE FINISH TROWEL BLADE","4.75 X 9&quot; EDGE FINISH TROWEL BLADE",Use config,"",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Introducing Bartell Morrison’s new “Grizzly Finish Blades.” Finishing blades now 20% thicker at no extra cost, providing a longer lasting, more durable trowel blade. With less down time and less materials used, the contractor will save on money and time. Each box now comes with its own metric hardware so the contractor will never have to worry about looking for fasteners on site.","4 3/4? x 9? (12 cm x 22.9 cm) Combination Blade","","","","4.75 X 9&quot; EDGE FINISH TROWEL BLADE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23822","Screed Power Concrete Blades",485519,"B424",,"24&quot; EDGER TROWEL W/ HONDA GX160 4 HP","","24&quot; EDGER TROWEL W/ HONDA GX160 4 HP","",/\B\4\bartell-global-b424-24-edger-trowel-w-honda-gx160-4-hp.jpg,/\B\4\bartell-global-b424-24-edger-trowel-w-honda-gx160-4-hp.jpg,http://www.48ws.com/images/product/B/4/bartell-global-b424-24-edger-trowel-w-honda-gx160-4-hp.jpg,bartell-global-B424-24-edger-trowel-w-honda-gx160-4-hp,bartell-global-B424-24-edger-trowel-w-honda-gx160-4-hp,,No layout updates.,Block after Info Column,,"24&quot; EDGER TROWEL W/ HONDA GX160 4 HP","24&quot; EDGER TROWEL W/ HONDA GX160 4 HP",Use config,"",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","Features
NEW: Folding Handle with built in hoist hook and pitch control
Precision balanced for smooth, easy operation.
Robust gear box with high tensile steel shafting for long life.
Cast iron spider assembly and precision ground arms for tight tolerances","","","24&quot; EDGER TROWEL W/ HONDA GX160 4 HP",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23822","Screed Power Concrete Blades",485520,"B446",,"46&quot; WALK BEHIND TROWEL MACHINE W/ HONDA ENGINE","","46&quot; WALK BEHIND TROWEL MACHINE W/ HONDA ENGINE","",/\B\4\bartell-global-b446-46-walk-behind-trowel-machine-w-honda-engine.png,/\B\4\bartell-global-b446-46-walk-behind-trowel-machine-w-honda-engine.png,http://www.48ws.com/images/product/B/4/bartell-global-b446-46-walk-behind-trowel-machine-w-honda-engine.png,bartell-global-B446-46-walk-behind-trowel-machine-w-honda-engine,bartell-global-B446-46-walk-behind-trowel-machine-w-honda-engine,,No layout updates.,Block after Info Column,,"46&quot; WALK BEHIND TROWEL MACHINE W/ HONDA ENGINE","46&quot; WALK BEHIND TROWEL MACHINE W/ HONDA ENGINE",Use config,"",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bartell Pro Series power trowels are built to with stand the rigours of everyday use, and still include a class leading 3 year warranty. See how our warranty matches our competitors.

Available in 36” or 46” variations, all trowels are manufactured from heavy gauge steel and jig welded to ensure complete rigidity.

Our gear box and spider design is where Bartell Pro series really excel. Gear boxes are produced from Precision machined aluminum, and contain heavy duty bronze and steel worm gears. Our spider design uses matched tolerances between the hub and arms to ensure no flex. This design keeps the trowel blades down firmly to eliminate high spots fast. Production rates are the result.","Industry leading balance, warranty, and track record. The true professionals machine.","Product Description

Features
Adjustable Handle
Heavy Duty Clutch
Precision Balanced
Rugged Construction
Applications
Accurate troweling of wet concrete in areas such as:
Warehouses
Factories
Floor Slabs
Bridge Decks
Car Parks","","","46&quot; WALK BEHIND TROWEL MACHINE W/ HONDA ENGINE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28343","Rammers & Compactors",485521,"BCF1570",,"Compactor","","Compactor","",/\B\C\bartell-global-bcf1570-vibro-plate-w-20x21-plate-3461-lbs-force.png,/\B\C\bartell-global-bcf1570-vibro-plate-w-20x21-plate-3461-lbs-force.png,http://www.48ws.com/images/product/B/C/bartell-global-bcf1570-vibro-plate-w-20x21-plate-3461-lbs-force.png,bartell-global-BCF1570-compactor,bartell-global-BCF1570-compactor,,No layout updates.,Block after Info Column,,"Compactor","Compactor",Use config,"https://bartell.bartellglobal.com/products/plate-compactors/bcf1570copy/",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Bartell Vibratory Plate Compactor is the product of extensive engineering development designed to give long life and unmatched performance. The Compactors are shipped completely assembled with the exception of attaching the handle, and only require filling with fuel and a brief check of lubricant levels in preparation for operation. The Plate Compactors offered by Bartell are some of the most economical and creditable Plate Compactors on the market.","The BCF1570 is Bartell’s most popular compactor because of its versatility and exceptional quality. Bartell forward plates are innovative, hard-hitting, and low maintenance. We keep your safety and convenience in mind: built in hoist hooks for safe transportation, retractable wheel kits for easy mobility, and sealed belt cover design keeps rocks out and still cools properly.<br/><br/><h2 id=&quot;data_sheet_manu&quot;><a href=&quot;/images/Datasheets/BCF1570-specs.pdf&quot; target=&quot;_blank&quot;>Data Sheet</a></h2><br/><br/>","Robust throttle controls – Why should you have to bend over and run next to your machine to make it stop? You’ll find conveniently mounted throttle controls standard on every piece of compaction in our lineup
Retractable Wheel kits – make it much easier t","8.0450812005e+11","","Compactor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23822","Screed Power Concrete Blades",485522,"BCF2150",,"VIBRO PLATE W/ 20&quot;X21&quot; PLATE 4700 LBS FORCE","","VIBRO PLATE W/ 20&quot;X21&quot; PLATE 4700 LBS FORCE","",/\B\C\bartell-global-bcf2150-vibro-plate-w-20x21-plate-4700-lbs-force.png,/\B\C\bartell-global-bcf2150-vibro-plate-w-20x21-plate-4700-lbs-force.png,http://www.48ws.com/images/product/B/C/bartell-global-bcf2150-vibro-plate-w-20x21-plate-4700-lbs-force.png,bartell-global-BCF2150-vibro-plate-w-20x21-plate-4700-lbs-force,bartell-global-BCF2150-vibro-plate-w-20x21-plate-4700-lbs-force,,No layout updates.,Block after Info Column,,"VIBRO PLATE W/ 20&quot;X21&quot; PLATE 4700 LBS FORCE","VIBRO PLATE W/ 20&quot;X21&quot; PLATE 4700 LBS FORCE",Use config,"",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Bartell Vibratory Plate Compactor is the product of extensive engineering development designed to give long life and unmatched performance. The Compactors are shipped completely assembled with the exception of attaching the handle, and only require filling with fuel and a brief check of lubricant levels in preparation for operation. The Plate Compactors offered by Bartell are some of the most economical and creditable Plate Compactors on the market.","When it comes to compaction, we took a long look at what was missing from the field. Features that make your life easier shouldn’t be optional. You’ll find more standard features on Bartell compactors, than anywhere else.

Bartell forward plates are innovative, hard hitting, and low maintenance.","Robust throttle controls – Why should you have to bend over and run next to your machine to make it stop? You’ll find conveniently mounted throttle controls standard on every piece of compaction in our lineup
Retractable Wheel kits – make it much easier t","","","VIBRO PLATE W/ 20&quot;X21&quot; PLATE 4700 LBS FORCE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23901","Portable Generators",485523,"BG5000",,"BG5000 Portable Generator","","BG5000 Portable Generator","",/\B\G\bartell-global-bg5000-5000-watt-generator-w-wheel-kit.png,/\B\G\bartell-global-bg5000-5000-watt-generator-w-wheel-kit.png,http://www.48ws.com/images/product/B/G/bartell-global-bg5000-5000-watt-generator-w-wheel-kit.png,bartell-global-BG5000-bg5000-portable-generator,bartell-global-BG5000-bg5000-portable-generator,,No layout updates.,Block after Info Column,,"BG5000 Portable Generator","BG5000 Portable Generator",Use config,"https://bartell.bartellglobal.com/products/generators/bg2800-5000-7000e/",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The Perfect Generator for any situation

<h2><a href=&quot;/images/Datasheets/BG5000-specs.pdf&quot; target=&quot;_blank&quot;>Data Sheet</a></h2><br/>","Features
AVR – Auto Voltage Regulation for “clean power”. Keeps voltage within 3% (+/-) of rated voltage.
Brushless Alternator – No brushes to change, unlike brush type alternators which require replacement every 200 hours.
Genuine CooperTM brand GFCI Out","8.0450812001e+11","BG5000","BG5000 Portable Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28343","Rammers & Compactors",485524,"BR1570",,"REVERSIBLE COMPACTOR 3461 LBS FORCE W/ HONDA","","REVERSIBLE COMPACTOR 3461 LBS FORCE W/ HONDA","",/\B\R\bartell-global-br1570-reversible-compactor-3461-lbs-force-w-honda.png,/\B\R\bartell-global-br1570-reversible-compactor-3461-lbs-force-w-honda.png,http://www.48ws.com/images/product/B/R/bartell-global-br1570-reversible-compactor-3461-lbs-force-w-honda.png,bartell-global-BR1570-reversible-compactor-3461-lbs-force-w-honda,bartell-global-BR1570-reversible-compactor-3461-lbs-force-w-honda,,No layout updates.,Block after Info Column,,"REVERSIBLE COMPACTOR 3461 LBS FORCE W/ HONDA","REVERSIBLE COMPACTOR 3461 LBS FORCE W/ HONDA",Use config,"",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Even though this compactor weighs less than 200lbs, it can hit with about 3500lbs of force. The BR1570 is very easy to transport with its built-in wheel kit. With the size of this machine you will have no problem lifting it into the bed of a truck, but you will also have a small plate that fits in tight spaces that only a forward compactor could go.","The top 3 features of this compactor are that it’s lightweight, economical, and extremely versatile.","","","","REVERSIBLE COMPACTOR 3461 LBS FORCE W/ HONDA",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"28343","Rammers & Compactors",485525,"BR68",,"RAMMER W/ 11&quot;x13&quot; SHOE 3 HP HONDA","","RAMMER W/ 11&quot;x13&quot; SHOE 3 HP HONDA","",/\B\R\bartell-global-br68-rammer-w-11x13-shoe-3-hp-honda.jpg,/\B\R\bartell-global-br68-rammer-w-11x13-shoe-3-hp-honda.jpg,http://www.48ws.com/images/product/B/R/bartell-global-br68-rammer-w-11x13-shoe-3-hp-honda.jpg,bartell-global-BR68-rammer-w-11x13-shoe-3-hp-honda,bartell-global-BR68-rammer-w-11x13-shoe-3-hp-honda,,No layout updates.,Block after Info Column,,"RAMMER W/ 11&quot;x13&quot; SHOE 3 HP HONDA","RAMMER W/ 11&quot;x13&quot; SHOE 3 HP HONDA",Use config,"http://www.bartellglobal.com/wp-content/uploads/2014/09/BR68-Rammer-Spec-Sheet-A4.pdf",0,,,0,"Bartell Global",1528,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3000 lb. class of Honda powered reliability.
The BR-68 offers great performance and ergonomics to get your job
done quickly and easily","A rugged compaction lineup wouldn’t be complete without a great rammer.","4-Stroke gas/petrol Honda engine – No need for special oil and gas
mixtures, just gas and go!
Heavy-duty throttle control provides longer service life.
Dual air filtration keeps the dirt where it belongs, out of your engine.
Integrated fuel valve provided","","","RAMMER W/ 11&quot;x13&quot; SHOE 3 HP HONDA",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
