category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
28040,Adhesive Caulks,18101,White ALEX PLUS® Acrylic Latex Caulk Plus Silicone,"DAP Alex Plus 10.1 oz. All-Purpose Caulk combines acrylic latex with silicone for a high-quality, durable and multi-purpose caulk. It can be used indoors or outdoors and is paintable when dry. The caulk adheres to wood, brick, glass, metal, plaster, drywa",E:\IMAGES\ITEMS\product\1\8\DAP-Alex-Plus-101-oz-All-Purpose.jpg,DAP,DAP White ALEX PLUS® Acrylic Latex Caulk Plus Silicone,Acrylic latex plus silicone formulation for good adhesion and permanent flexibilityFor indoor or outdoor useCan be painted with oil or latex paint when dry for a seamless lookMold- and mildew resistantExceeds the performance requirements for ASTM C 834,"DAP Alex Plus 10.1 oz. All-Purpose Caulk combines acrylic latex with silicone for a high-quality, durable and multi-purpose caulk. It can be used indoors or outdoors and is paintable when dry. The caulk adheres to wood, brick, glass, metal, plaster, drywall and painted surfaces.",,White 10.1 oz.,White ALEX PLUS® Acrylic Latex Caulk Plus Silicone
147|19521,Caulking|Caulks and Sealants,18065,18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk,DAP ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk is ideal for sealing and caulking window and door frames and trim prior to painting with latex or oil-based paint. It adheres to most common building materials to ensure a durable seal in indoor,E:\IMAGES\ITEMS\product\1\8\DAP-ALEX-101-oz-Painters-All-Purpose-Acrylic-Latex.jpg,DAP,DAP 18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk,Formulated for paintabilityAdheres to most common building materialsPaintable with latex or oil-based paintsCleans easily with soap and waterMeets ASTM C 834,DAP ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk is ideal for sealing and caulking window and door frames and trim prior to painting with latex or oil-based paint. It adheres to most common building materials to ensure a durable seal in indoor or outdoor environments.,,White 10.1 oz.,18065 White ALEX 10.1 oz. Painter's All-Purpose Acrylic Latex Caulk
147|19521,Caulking|Caulks and Sealants,18300,White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant,The DAP Dynaflex 230 10.1 oz. Premium Indoor/Outdoor Sealant in white combines durability and permanent flexibility with the paintability and low odor of a latex sealant. It is ideal for sealing air leaks in windows and doors.,E:\IMAGES\ITEMS\product\1\8\DAP-Dynaflex-230-101-oz-Premium-IndoorOutdoor.jpg,DAP,DAP 18300 White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant,"Acrylic latex formulation is durable and permanently flexibleBlocks drafts and keeps out moisture and pestsPaintable to match any surfaceMold- and mildew resistantExceeds ASTM C 920, Class 25Meets ASTM C 920, Class 25 & TT-S-00230C, Class A Specs.",The DAP Dynaflex 230 10.1 oz. Premium Indoor/Outdoor Sealant in white combines durability and permanent flexibility with the paintability and low odor of a latex sealant. It is ideal for sealing air leaks in windows and doors.,,White 10.1 oz.,White DYNAFLEX 230 10.1 oz. Premium Indoor/Outdoor Sealant
19521,Caulks and Sealants,18510,KWIK SEAL PLUS® White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN®,"The DAP Kwik Seal Plus 10.1 oz. Kitchen and Bath Adhesive Caulk with Microban in high-gloss white is formulated to fight bacteria, mold and mildew. The siliconized latex sealant provides maximum adhesion and flexibility for a watertight seal in the kitche",E:\IMAGES\ITEMS\product\1\8\DAP-Kwik-Seal-Plus-101-oz-Kitchen-and-Bath-Adhesive-Caulk.jpg,DAP,DAP KWIK SEAL PLUS® White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN®,"Formulated with Microban to fight bacteria, mold and mildewSiliconized latex is waterproof, durable and flexibleIdeal for any kitchen or bath applicationPaintable with latex or oil-based paint","The DAP Kwik Seal Plus 10.1 oz. Kitchen and Bath Adhesive Caulk with Microban in high-gloss white is formulated to fight bacteria, mold and mildew. The siliconized latex sealant provides maximum adhesion and flexibility for a watertight seal in the kitchen or bathroom.",,White 10.1 oz,KWIK SEAL PLUS® White 10.1 oz. Premium Kitchen & Bath Adhesive Caulk w/MICROBAN®
1192|27967,Patching Products|Patching Products,12132,Quart Vinyl Interior/Exterior Spackling,"Heavy-duty all purpose formula that is perfect for household repairs and professional jobs. Resists cracking, sands easily and spreads smoothly. Interior/Exterior.",E:\IMAGES\ITEMS\product\1\2\12132-Orgill-Quart-Vinyl-InteriorExterior.jpg,DAP,"Heavy-duty all purpose formula that is perfect for household repairs and professional jobs. Resists cracking, sands easily and spreads smoothly. Interior/Exterior.",,,,12132 DAP Quart Vinyl Interior/Exterior Spackling,Quart Vinyl Interior/Exterior Spackling
1192|27967,Patching Products|Patching Products,12133,1 Gallon Vinyl Interior/Exterior Spackling,"Gallon, Ready To Use Vinyl Spackling, Heavy Duty All Purpose Formula That Is Perfect For Household Repairs and Professional Jobs, Resists Cracking, Sands Easily and Spreads Smoothly, Interior/Exterior.",E:\IMAGES\ITEMS\product\1\2\12133-Orgill-1-Gallon-Vinyl-InteriorExterior.jpg,DAP,"Gallon, Ready To Use Vinyl Spackling, Heavy Duty All Purpose Formula That Is Perfect For Household Repairs and Professional Jobs, Resists Cracking, Sands Easily and Spreads Smoothly, Interior/Exterior.",,,,12133 DAP 1 Gallon Vinyl Interior/Exterior Spackling,1 Gallon Vinyl Interior/Exterior Spackling
1192|27967,Patching Products|Patching Products,12142,1 Quart Lightweight Interior/Exterior Spackling,"One-step, lightweight spackling for repairing walls, ceilings and woodwork in one fill. Lightweight formula delivers superior durability and performance. No sanding required. Dries quickly. Interior/exterior use.",E:\IMAGES\ITEMS\product\1\2\12142-Orgill-1-Quart-Lightweight-InteriorExterior.jpg,DAP,"One-step, lightweight spackling for repairing walls, ceilings and woodwork in one fill. Lightweight formula delivers superior durability and performance. No sanding required. Dries quickly. Interior/exterior use.",,,,12142 DAP 1 Quart Lightweight Interior/Exterior Spackling,1 Quart Lightweight Interior/Exterior Spackling
1192|27967,Patching Products|Patching Products,12330,1 Quart Dry Dex Spackling,"Dry time color indicator verifies when patched surface is dry by turning white, helping to avoid premature sanding, painting or reapplication. Resists cracking and sands easily.",E:\IMAGES\ITEMS\product\1\2\12330-Orgill-1-Quart-Dry-Dex.jpg,DAP,"Dry time color indicator verifies when patched surface is dry by turning white, helping to avoid premature sanding, painting or reapplication. Resists cracking and sands easily.",INTERIOR/EXTERIOR - READY MIXED Pink Color - Plastic Tub Width: 10.25 in. Height: 15.5 in. Length: 5.25 in. Weight: 3.808 lbs,,,12330 DAP 1 Quart Dry Dex Spackling,1 Quart Dry Dex Spackling
634|28040,Grease Gun | Grease|Adhesive Caulks,25403,10.3oz Panel Foam Adhesive,"High-quality, dual-purpose adhesive designed to bond paneling or foamboard insulation to a variety of substrates. Quick-grab formula reduces nailing requirements. Won't etch or burn through. Meets ASTM Specification C 557.",E:\IMAGES\ITEMS\product\2\5\25403-Orgill-103oz-Panel-Foam.jpg,DAP,"High-quality, dual-purpose adhesive designed to bond paneling or foamboard insulation to a variety of substrates. Quick-grab formula reduces nailing requirements. Won't etch or burn through. Meets ASTM Specification C 557.","Construction Adhesives Adhere to porous and nonporous materials, including wet, frozen and treated lumber; metal, brick, concrete, ceramics and ceramic tile, wood paneling, drywall, foamboard, tub surrounds, foam insulation, plaster, paint, wallpaper, and large panel-type substrates. Wall and Trim Permanent bond, instant grab adhesives resist heat. Low odor",,,25403 DAP 10.3oz Panel Foam Adhesive,10.3oz Panel Foam Adhesive
146|28040,Adhesives|Adhesive Caulks,25117,29oz Construction Adhesive,,E:\IMAGES\ITEMS\product\2\5\25117-DAP-29oz-Construction.jpg,DAP,,"Premium grade, weatherproof formulation. Reduces nailing requirements, floor squeaks and nail pops. Forms a permanent bond on wet, frozen and treated lumber. Easy gunning. Meets APA AFG-01, ASTM Specification D 3498 and conforms to HUD UM-60a. SUBFLOOR/PLYWOOD HEAVY-DUTY INTERIOR/EXTERIOR",,,25117 DAP 29oz Construction Adhesive,29oz Construction Adhesive
