store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"29018","Concrete Cutting",12175,"STIHL TS 410 Cutquik Professional Cut-Off Machine",,"TS 410 Cutquik&reg; Professional Cut-Off Machine","","TS 410 Cutquik&reg; Professional Cut-Off Machine","STIHL TS 410 Cutquik® Professional Cut-Off Machine",/\S\T\STIHL-TS-410-Cutquik-Professional-Cut-Off.jpg,/\S\T\STIHL-TS-410-Cutquik-Professional-Cut-Off.jpg,http://www.48ws.com/images/product/S/T/STIHL-TS-410-Cutquik-Professional-Cut-Off.jpg,stihl-STIHL-TS-410-Cutquik-Professional-Cut-Off-Machine-,stihl-STIHL-TS-410-Cutquik-Professional-Cut-Off-Machine-,,No layout updates.,Block after Info Column,,"TS 410 Cutquik&reg; Professional Cut-Off Machine","TS 410 Cutquik&reg; Professional Cut-Off Machine",Use config,"http://www.stihlusa.com/products/cut-off-machines/professional-cut-off/ts410/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional User","<b><u>Standard Features</u></b><br><br>
<li>X2 low maintenance air filtration system</li>
<li>Anti-vibration system reduces vibration up to 43% over previous models</li>
<li>Powerful and fuel-efficient, low-emission engine</li>
<li>Emissions reduced up to 44% compared to previous models</li>
<li>IntelliCarb&trade; compensating carburetor</li>
<li>Lightweight and well balanced compact top-handle design</li>
<li>Decompression valve for easy starting</li>
<li>Semi-automatic belt tensioner</li>
<li>Reversible cutting arm for inboard or outboard cutting</li>
<li>Able to be mounted on cart with adapter kit</li>
<li>Integrated water attachment</li><br>","There are no easy jobs in the construction and deconstruction business, but when it comes to cutting performance there is one easy choice: the TS 410 STIHL Cutquik&reg; cut-off machine with a 12&quot; cutting wheel. Featuring the X2 air filtration system and an anti-vibration system, this cut-off machine is comfortable to use and easy to maintain. Thanks to patented advancements, the TS 410 keeps working longer than the legendary TS 400 - helping you stay on schedule.<br><br>
NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately.","","STIHL TS 410 Cutquik® Professional Cut-Off Machine","TS 410 Cutquik&reg; Professional Cut-Off Machine",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12176,"STIHL TS 410 A (EWC) Cutquik",,"TS 410 A (EWC) Cutquik&reg;","","TS 410 A (EWC) Cutquik&reg;","Professional User",/\S\T\STIHL-TS-410-A-EWC.jpg,/\S\T\STIHL-TS-410-A-EWC.jpg,http://www.48ws.com/images/product/S/T/STIHL-TS-410-A-EWC.jpg,stihl-STIHL-TS-410-A-EWC-Cutquik-,stihl-STIHL-TS-410-A-EWC-Cutquik-,,No layout updates.,Block after Info Column,,"TS 410 A (EWC) Cutquik&reg;","TS 410 A (EWC) Cutquik&reg;",Use config,"http://www.stihlusa.com/products/cut-off-machines/professional-cut-off/ts410ewc/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional User","<b><u>Standard Features</u></b><br><br>
<li>Same great features as standard STIHL TS 410 plus Electronic Water Control (EWC)</li>
<li>Conveniently mounted keypad allows easy adjustment of water flow while cutting</li>
<li>Water control remembers last water setting used</li>
<li>The flow of water stops at idle speed and starts again automatically when the throttle is engaged</li>
<li>X2 low-maintenance air filtration system</li>
<li>No need to clean air filters</li>
<li>Newly designed anti-vibration system reduces vibration up to 43% over previous models</li>
<li>Powerful and fuel-efficient, low-emission engine with increased run time - emissions reduced up to 44% compared to previous models</li>
<li>Lightweight and well-balanced compact top-handle design</li><br>","Leading the way in wet-cutting technology, STIHL now offers the new Electronic Water Control (EWC) on select STIHL Cutquik&reg; Cut-Off Machines. The TS 410 A (EWC) offers the user greater control over the flow of water to the cutting surface, providing superior performance during operation. A conveniently mounted keypad allows the operator to easily adjust the flow of water during use and remembers the last setting that was used. The EWC stops the flow of water at idle speeds and starts again automatically when the throttle is engaged.<br><br>
In addition to superior water control, the TS 410 A (EWC) has many other features designed with the user in mind. An anti-vibration system reduces vibration by 43% over previous models providing maximum comfort with less fatigue. The lightweight and compact design improves maneuverability and balance. Powered by a fuel-efficient, low-exhaust engine, emissions are reduced up to 44%, and the large-capacity fuel tank can provide 20% longer run time.<br><br>
NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately.<br><br>
<b><u>Optional Accessories</u></b><br><br>
<li>Leather Chaps</li>
<li>Portable Water Tank</li>
<li>Metal TS Case</li>
<li>Roller Wheel Kit</li>","","STIHL TS 410 A (EWC) Cutquik®","TS 410 A (EWC) Cutquik&reg;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12177,"STIHL TS 420 Cutquik Professional Cut-Off Machine",,"TS 420 Cutquik&reg; Professional Cut-Off Machine","","TS 420 Cutquik&reg; Professional Cut-Off Machine","",/\S\T\STIHL-TS-420-Cutquik-Professional-Cut-Off.jpg,/\S\T\STIHL-TS-420-Cutquik-Professional-Cut-Off.jpg,http://www.48ws.com/images/product/S/T/STIHL-TS-420-Cutquik-Professional-Cut-Off.jpg,stihl-STIHL-TS-420-Cutquik-Professional-Cut-Off-Machine-,stihl-STIHL-TS-420-Cutquik-Professional-Cut-Off-Machine-,,No layout updates.,Block after Info Column,,"TS 420 Cutquik&reg; Professional Cut-Off Machine","TS 420 Cutquik&reg; Professional Cut-Off Machine",Use config,"http://www.stihlusa.com/products/cut-off-machines/professional-cut-off/ts420/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional User","<b><u>Standard Features</u></b><br><br>
<li>X2 low-maintenance air filtration system</li>
<li>Anti-vibration system reduces vibration up to 43% over previous models</li>
<li>Powerful and fuel-efficient, low-emission engine</li>
<li>Emissions reduced up to 44% compared to previous models</li>
<li>Lightweight and well balanced compact top-handle design</li>
<li>Decompression valve for easy starting</li>
<li>Semi-automatic belt tensioner</li>
<li>Reversible cutting arm for inboard or outboard cutting</li><br>","The TS 420 STIHL Cutquik&reg; cut-off machine - one of the best we've ever built. Helping you work longer and more comfortably, this cut-off machine comes with a 14&quot; wheel, delivering a unique blend of performance and efficiency so you get the job done right. With the revolutionary X2 air filtration system, an anti-vibration system and lightweight design, you get low maintenance and more maneuverability. Its advanced engine technology also increases fuel efficiency and reduces emissions.<br><br>
NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately.<br><br>
<b><u>Optional Accessories</u></b><br><br>
<li>TS Rental Kit</li>
<li>Leather Chaps</li>
<li>Portable Water Tank</li>
<li>Metal TS Case</li>
<li>Roller Wheel Kit</li>","","STIHL TS 420 Cutquik® Professional Cut-Off Machine","TS 420 Cutquik&reg; Professional Cut-Off Machine",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26|24962","Cut-Off Saws|Chop Saws and Cut-Off Machines",12178,"STIHL TS 420 A (EWC) Cutquik",,"TS 420 A (EWC) Cutquik&reg;","","TS 420 A (EWC) Cutquik&reg;","STIHL TS 420 A (EWC) Cutquik®",/\S\T\STIHL-TS-420-A-EWC.jpg,/\S\T\STIHL-TS-420-A-EWC.jpg,http://www.48ws.com/images/product/S/T/STIHL-TS-420-A-EWC.jpg,STIHL-TS-420-A-EWC-Cutquik,STIHL-TS-420-A-EWC-Cutquik,,No layout updates.,Block after Info Column,,"TS 420 A (EWC) Cutquik&reg;","TS 420 A (EWC) Cutquik&reg;",Use config,"http://www.stihlusa.com/products/cut-off-machines/professional-cut-off/ts420ewc/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional User","<b><u>Standard Features</u></b><br><br>
<li>Same great features as standard TS 420 plus Electronic Water Control (EWC)</li>
<li>Conveniently mounted keypad allows easy adjustment of water flow while cutting</li>
<li>Water control memorizes last water setting used</li>
<li>Water flow stops at idle speed and starts when throttle is engaged</li>
<li>X2 low-maintenance air filtration system</li>
<li>No need to clean air filters</li>
<li>Newly designed anti-vibration system reduces vibration up to 43% over previous models</li>
<li>Powerful and fuel-efficient, low-emission engine with increased run time, emissions reduced up to 44% compared to previous models</li>
<li>Lightweight and well-balanced compact top handle design</li><br>","Giving the user greater control over water flow during use, STIHL now offers the new Electronic Water Control (EWC) system on select STIHL Cutquik&reg; Cut-Off Machines. The TS 420 A (EWC) raises the standard of wet-cutting cut-off machines to provide superior performance during operation. The EWC allows the operator to control the flow of water to the cutting surface with a conveniently mounted keypad. The EWC system also stops the flow of water at idle speeds and starts again automatically when the throttle is engaged.<br><br>
STIHL cut-off machines are designed to be at the top of their class, and the TS 420 A (EWC) is no exception. Featuring a larger cutting wheel and powered by a fuel-efficient, low-exhaust engine, emissions are reduced up to 44%. The large-capacity fuel tank can provide 20% longer run time. And vibration has been reduced by 43% over previous models, providing maximum comfort with less fatigue, and the lightweight and compact design improves maneuverability and balance.<br><br>
NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately.<br><br>
<b><u>Optional Accessories</u></b><br><br>
<li>Leather Chaps</li>
<li>Portable Water Tank</li>
<li>Metal TS Case</li>
<li>Roller Wheel Kit</li>","","STIHL TS 420 A (EWC) Cutquik®","TS 420 A (EWC) Cutquik&reg;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12179,"STIHL TS 700 Cutquik Professional Cut-Off Machine",,"TS 700 Cutquik&reg; Professional Cut-Off Machine","","TS 700 Cutquik&reg; Professional Cut-Off Machine","STIHL TS 700 Cutquik® Professional Cut-Off Machine",/\S\T\STIHL-TS-700-Cutquik-Professional-Cut-Off.jpg,/\S\T\STIHL-TS-700-Cutquik-Professional-Cut-Off.jpg,http://www.48ws.com/images/product/S/T/STIHL-TS-700-Cutquik-Professional-Cut-Off.jpg,stihl-STIHL-TS-700-Cutquik-Professional-Cut-Off-Machine-,stihl-STIHL-TS-700-Cutquik-Professional-Cut-Off-Machine-,,No layout updates.,Block after Info Column,,"TS 700 Cutquik&reg; Professional Cut-Off Machine","TS 700 Cutquik&reg; Professional Cut-Off Machine",Use config,"http://www.stihlusa.com/products/cut-off-machines/professional-cut-off/ts700/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional User","<b><u>Standard Features</u></b><br><br>
<li>X2 low-maintenance air filtration system</li>
<li>Powerful and fuel-efficient, low-emission engine</li>
<li>IntelliCarb&trade; compensating carburetor</li>
<li>Semi-automatic belt tensioner with innovative treaded belt</li>
<li>Large upright fueling opening with retainer and cap</li>
<li>Sealed bearings with two-piece precision-machined crankshaft</li>
<li>Five-point advanced vibration control system</li>
<li>Reversible wheel guard for inboard or outboard cutting</li><br>","With a powerful, high-speed engine, it's easy to see why the TS 700 STIHL Cutquik&reg; cut-off machine is one of the most advanced STIHL Cutquik&reg; machines ever produced. Featuring the X2 low maintenance filtration system, you get extended service cutting and airflow with almost 100 percent cleaning efficiency. Not only is this cut-off machine lightweight and well balanced, it also features a five-point dual element vibration control system - the right choice for even the most demanding professionals.<br><br>
<b><u>Optional Accessories</u></b><br><br>
<li>TS Rental Kit</li>
<li>Leather Chaps</li>
<li>Portable Water Tank</li>
<li>Metal TS Case</li>
<li>Roller Wheel Kit</li>","","STIHL TS 700 Cutquik® Professional Cut-Off Machine","TS 700 Cutquik&reg; Professional Cut-Off Machine",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12180,"STIHL TS 800 Cutquik Professional Cut-Off Machine",,"TS 800 Cutquik&reg; Professional Cut-Off Machine","","TS 800 Cutquik&reg; Professional Cut-Off Machine","STIHL TS 800 STIHL Cutquik® Professional Cut-Off Machine",/\S\T\STIHL-TS-800-STIHL-Cutquik-Professional-Cut-Off.jpg,/\S\T\STIHL-TS-800-STIHL-Cutquik-Professional-Cut-Off.jpg,http://www.48ws.com/images/product/S/T/STIHL-TS-800-STIHL-Cutquik-Professional-Cut-Off.jpg,stihl-STIHL-TS-800-Cutquik-Professional-Cut-Off-Machine-,stihl-STIHL-TS-800-Cutquik-Professional-Cut-Off-Machine-,,No layout updates.,Block after Info Column,,"TS 800 Cutquik&reg; Professional Cut-Off Machine","TS 800 Cutquik&reg; Professional Cut-Off Machine",Use config,"http://www.stihlusa.com/products/cut-off-machines/professional-cut-off/ts800/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional User","<b><u>Standard Features</u></b><br><br>
<li>X2 low-maintenance air filtration system</li>
<li>Powerful and fuel-efficient, low-emission engine</li>
<li>Semi-automatic belt tensioner with innovative treaded belt</li>
<li>Large upright fueling opening with retainer and cap</li>
<li>Sealed bearings with two-piece precision-machined crankshaft</li>
<li>Five-point advanced vibration control system</li>
<li>Reversible wheel guard for inboard or outboard cutting</li>
<li>Features a 16&quot; wheel</li><br>","When the going gets tough, get the 16&quot; TS 800 STIHL Cutquik&reg; cut-off machine. Like the TS 700, this machine features the X2 low maintenance air filtration system and a comfortable, ergonomic design. With plenty of power, this cut-off machine takes care of jobs that other large walk-behind machines can do. The TS 800 is ideal for professionals cutting asphalt, concrete, reinforcement bars or other metal support pieces. When mounted to a cart, it's the perfect alternative to the conventional floor saw.<br><br>
<b><u>Optional Accessories</u></b><br><br>
<li>TS Rental Kit</li>
<li>Leather Chaps</li>
<li>Portable Water Tank</li>
<li>Metal TS Case</li>
<li>Roller Wheel Kit</li>","","STIHL TS 800 Cutquik® Professional Cut-Off Machine","TS 800 Cutquik&reg; Professional Cut-Off Machine",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"133|24965","Chain Saws | Bars | Chains|Chain Saw | Chains | Bars",12193,"STIHL MS 170 Chain Saw",,"MS 170 Chain Saw","","MS 170 Chain Saw","STIHL MS 170 Chain Saw",/\S\T\STIHL-MS-170-Chain.jpg,/\S\T\STIHL-MS-170-Chain.jpg,http://www.48ws.com/images/product/S/T/STIHL-MS-170-Chain.jpg,STIHL-MS-170-Chain-Saw,STIHL-MS-170-Chain-Saw,,No layout updates.,Block after Info Column,,"MS 170 Chain Saw","MS 170 Chain Saw",Use config,"http://www.stihlusa.com/products/chain-saws/homeowner-saws/ms170/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Occasional User","<b><u>Standard Features</u></b><br><br>
<li>IntelliCarb&trade; compensating carburetor</li>
<li>View standard features common to many STIHL chain saws</li>
<li>Automatic bar and chain oiler</li>
<li>Anti-vibration system</li>
<li>Easy-access air filter</li><br>","Looking for a compact, occasional use chain saw? Homeowners, look no further. Complete with many of the same design features the professionals depend on, the MS 170 is lightweight with just the right amount of power - ideal for residential cutting and trimming of small trees, firewood or storm cleanup.<br><br>
<b><u>Optional Accessory</u></b><br><br>
Toolless Quick Chain Adjuster for fast and easy chain adjustment","","STIHL MS 170 Chain Saw","MS 170 Chain Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"133|24965","Chain Saws | Bars | Chains|Chain Saw | Chains | Bars",12194,"STIHL MS 171 Chain Saw",,"MS 171 Chain Saw","","MS 171 Chain Saw","STIHL MS 171 Chain Saw",/\S\T\STIHL-MS-171-Chain.jpg,/\S\T\STIHL-MS-171-Chain.jpg,http://www.48ws.com/images/product/S/T/STIHL-MS-171-Chain.jpg,STIHL-MS-171-Chain-Saw,STIHL-MS-171-Chain-Saw,,No layout updates.,Block after Info Column,,"MS 171 Chain Saw","MS 171 Chain Saw",Use config,"http://www.stihlusa.com/products/chain-saws/homeowner-saws/ms171/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Occasional User","<b><u>Standard Features</u></b><br><br>
<li>Reduced-emission engine technology</li>
<li>Pre-separation air filtration system</li>
<li>Low vibration</li>
<li>Toolless fuel and oil caps with retainers</li>
<li>Side-access chain tensioning</li>
<li>Translucent fuel and oil tanks</li><br>","One of a new generation of occasional use chain saws, the MS 171 STIHL chain saw features reduced-emission engine technology - an advantage for the user because it reduces fuel consumption while reducing exhaust emissions. This innovative chain saw is just right for homeowners who need to cut firewood, fell small trees or do cleanup.<br><br>
<b><u>Optional Accessories</u></b><br><br>
<li>Polymer air filter element</li>
<li>7-tooth rim sprocket</li>
<li>NEW! STIHL ROLLOMATIC&reg; E Mini Light Guide Bars 10&quot; (3005 008 7603), 12&quot; (3005 000 7605), and 14&quot; (3005 000 7609) are 30% lighter. For use with PMN and PMMC3 saw chain.</li>","","STIHL MS 171 Chain Saw","MS 171 Chain Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"133|24965","Chain Saws | Bars | Chains|Chain Saw | Chains | Bars",12195,"STIHL MS 180 C-B Chain Saw",,"MS 180 C-B Chain Saw","","MS 180 C-B Chain Saw","STIHL MS 180 C-B Chain Saw",/\S\T\STIHL-MS-180-C-B-Chain.jpg,/\S\T\STIHL-MS-180-C-B-Chain.jpg,http://www.48ws.com/images/product/S/T/STIHL-MS-180-C-B-Chain.jpg,STIHL-MS-180-C-B-Chain-Saw,STIHL-MS-180-C-B-Chain-Saw,,No layout updates.,Block after Info Column,,"MS 180 C-B Chain Saw","MS 180 C-B Chain Saw",Use config,"http://www.stihlusa.com/products/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Occasional User","<b><u>Standard Features</u></b><br><br>
<li>Toolless Quick Chain Adjuster for fast and easy chain adjustment</li>
<li>IntelliCarb&trade; compensating carburetor</li><br>","One of our most popular chain saws for home use, this fully featured unit comes with extra power and fast cutting performance. Compact and designed specifically for homeowners, the MS 180 C-B is suited for a variety of purposes around the yard like trimming trees or cutting firewood and fallen limbs.<br><br>
<b><u>Optional Accessory</u></b><br><br>
<li>NEW! STIHL ROLLOMATIC&reg; E Mini Light Guide Bars 10&quot; (3005 008 7603), 12&quot; (3005 000 7605), and 14&quot; (3005 000 7609) are 30% lighter. For use with PMN and PMMC3 saw chain.</li>","","STIHL MS 180 C-B Chain Saw","MS 180 C-B Chain Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"133|24965","Chain Saws | Bars | Chains|Chain Saw | Chains | Bars",12196,"STIHL MS 180 C-BE Chain Saw",,"MS 180 C-BE Chain Saw","","MS 180 C-BE Chain Saw","STIHL MS 180 C-BE Chain Saw",/\S\T\STIHL-MS-180-C-BE-Chain.jpg,/\S\T\STIHL-MS-180-C-BE-Chain.jpg,http://www.48ws.com/images/product/S/T/STIHL-MS-180-C-BE-Chain.jpg,STIHL-MS-180-C-BE-Chain-Saw,STIHL-MS-180-C-BE-Chain-Saw,,No layout updates.,Block after Info Column,,"MS 180 C-BE Chain Saw","MS 180 C-BE Chain Saw",Use config,"http://www.stihlusa.com/products/chain-saws/homeowner-saws/ms180cbe/",0,,,0,"STIHL",136,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Occasional User","<b><u>Standard Features</u></b><br><br>
<li>Easy2Start&trade; system</li>
<li>Toolless Quick Chain Adjuster for fast and easy chain adjustment</li>
<li>IntelliCarb&trade; compensating carburetor</li><br>","Similar to the MS 180 C-B, the STIHL MS 180 C-BE features the Easy2Start&trade; system, making this chain saw virtually effortless to start. Perfect for cutting firewood or felling trees up to 12 inches in diameter, it is a lightweight practical chain saw with convenient features you can rely on.<br><br>
<b><u>Optional Accessory</u></b><br><br>
<li>NEW! STIHL ROLLOMATIC&reg; E Mini Light Guide Bars 10&quot; (3005 008 7603), 12&quot; (3005 000 7605), and 14&quot; (3005 000 7609) are 30% lighter. For use with PMN and PMMC3 saw chain.</li>","","STIHL MS 180 C-BE Chain Saw","MS 180 C-BE Chain Saw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
