category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
137|24590|28315,Air Compressors|Gas Air Compressors|Rental Portable Air Compressors,5715K17,5715K17,"PUMP DESCRIPTIONHeavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-",E:\IMAGES\ITEMS\product\5\7\Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-15.jpg,Rolair,Rolair 5715K17 9-GAL. Wheeled Electric Compressor - 1.5 HP,"Heavy-duty, contractor qualityCast-iron cylindersAutomotive-style bearing inserts on connecting rodsHeavy-gauge steel constructionLow pump r.p.m.'s","PUMP DESCRIPTIONHeavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Finned 11"" Flywheel, Oil Sight GaugeMOTOR DESCRIPTION 1.5 HP, 1755 RPM, Open Drip Proof, 115/230V - 60 HZ, Ball Bearings, Overload Protection w/Manual ResetSTANDARD EQUIPMENTPressure Gauge, 0-200 in 5 lb. Graduations, Square D Pressure Switch w/Unloader, Accessory Support Clip, Intake Filter w/Silencer & Replaceable Element, Air-Cooled Aftercooler, Totally Enclosed Steel Belt Guard, Safety Relief ValveOPTIONAL EQUIPMENTFilter-Regulator-Lubricator Sets, Dual Voltage Switch, Fully Pneumatic Wheels, Constant Speed Operation, Dual Control Operation",,1.5 HP,5715K17
137|24590|28315,Air Compressors|Gas Air Compressors|Rental Portable Air Compressors,6820K17,9-GAL. Wheeled Electric Compressor - 2 HP,"PUMP DESCRIPTION 	Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Mult",E:\IMAGES\ITEMS\product\6\8\Rolair-9-GAL-Electric-Wheeled-Portable-Compressor-2.jpg,Rolair,Rolair 6820K17 9-GAL. Wheeled Electric Compressor - 2 HP,Splash lubricated pump with cast-iron cylinders for longer lifeBall bearing crankshaftInitial oil fill in crankcaseOil level site gaugeThermal protection with manual resetDual voltage switch - 120V or 240V,"PUMP DESCRIPTION 	Heavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Finned 11"" Flywheel, Oil Sight GaugeMOTOR DESCRIPTION2.0 HP, 1740 RPM, Open Drip Proof, 115/230V - 60 HZ, Ball Bearings, Overload Protection w/Manual ResetSTANDARD EQUIPMENTPressure Gauge, 0-200 in 5 lb. Graduations, Square D Pressure Switch w/Unloader, Accessory Support Clip, Intake Filter w/Silencer & Replaceable Element, Air-Cooled Aftercooler, Totally Enclosed Steel Belt Guard, Safety Relief Valve, Dual Voltage SwitchOPTIONAL EQUIPMENTFilter-Regulator-Lubricator Sets, Fully Pneumatic Wheels, Constant Speed Operation, Dual Control Operation, 20 Gallon Tank",,2 HP,9-GAL. Wheeled Electric Compressor - 2 HP
24590,Gas Air Compressors,4090HK17,163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor,"PUMP DESCRIPTIONHeavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-",E:\IMAGES\ITEMS\product\4\0\Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-55.jpg,Rolair,Rolair 4090HK17 9-GAL. Wheeled Gas Compressor - 5.5 HP,"Optional Equipment: Filter-Regulator-Lubricator Sets Standard Equipment Pressure Gauge 0-200 PSI in 5 lb. Graduations Specifications                                                                                             						HORSE POWER                                                     163 cc (5.5 HP)                         					                                      						CFM DISPLACED                                                     13.1 CFM                         					                                      						CFM DELIVERED                                                     9.3 CFM @ 90 PSI                         					                                      						LUBRICATION TYPE                                                     Splash Lubrication                         					                                      						PUMP OIL CAPACITY                                                     34 oz.                         					                                      						REED VALVE SYSTEM                                                     Yes (Standard)                         					                                      						NUMBER OF CYLINDERS                                                     2                         					                                      						TANK CAPACITY                                                     9 Gallons                         					                                      						L x W x H                                                     46""x19""x28""                         					                                      						DECIBEL RATING                                                     Unavailable                         					                                      						COUNTRY OF ORIGIN                                                     Compressor Origin.pdf                         					                                      						SHIPPING WEIGHT                                                     180 lb.","About the PumpHeavy-Duty, Single Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Hardened Steel Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, M",,"5.5 HP, Single Stage",163 cc (5.5 HP) Honda Gas Portable Belt Drive Air Compressor
24590,Gas Air Compressors,8422HK30,270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor,"PUMP DESCRIPTIONHeavy-Duty, Two Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Cast Iron Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Finned 1",E:\IMAGES\ITEMS\product\8\4\Rolair-9-GAL-Gas-Wheeled-Portable-Compressor-8.jpg,Rolair,Rolair 8422HK30 9-GAL. Wheeled Gas Compressor - 8 HP,"Optional Equipment: Filter-Regulator-Lubricator Sets, Electric Start Standard Equipment Pressure Gauge 0-300 in 5 lb. Graduations  Specifications                                                                                             						HORSE POWER                                                     270 cc (9 HP)                         					                                      						CFM DISPLACED                                                     24.4 CFM                         					                                      						CFM DELIVERED                                                     20.1 CFM @ 90 PSI                         					                                      						OVERLOAD PROTECTION                                                     No                         					                                      						LUBRICATION TYPE                                                     Splash Lubrication                         					                                      						PUMP OIL CAPACITY                                                     47 oz.                         					                                      						REED VALVE SYSTEM                                                     Yes (Standard)                         					                                      						NUMBER OF CYLINDERS                                                     2                         					                                      						TANK CAPACITY                                                     9 Gallons                         					                                      						L x W x H                                                     46""x28""x35""                         					                                      						DECIBEL RATING                                                     Unavailable                         					                                      						COUNTRY OF ORIGIN                                                     Compressor Origin.pdf                         					                                      						SHIPPING WEIGHT                                                     290 lb.","About the PumpHeavy-Duty, Two Stage, Cast-Iron Twin Cylinders, Ball Bearings, Splash Lubricated, Cast-Iron Valve Plates with Swedish Lamellar Reed Valves, Aluminum Alloy Connecting Rods with Automotive-Style Inserts, Multi-Fin",,"8 HP, Two Stage",270 cc (9 HP) Honda Gas Portable Belt Drive Air Compressor
137|24590|28315,Air Compressors|Gas Air Compressors|Rental Portable Air Compressors,FC1500HS3,The Bull Series 2.5 Gal. 1.5 HP Compressor,"PUMP DESCRIPTIONROLAIR Quality, Heavy-Duty, Cast-Iron Cylinder, Single Stage, Ball Bearings, Filter/Silencer, Stainless Steel Reed Valves, and Splash Lubrication To Ensure Longer Pump LifeMOTOR DESCRIPTION<b",E:\IMAGES\ITEMS\product\f\c\Rolair-The-Bull-Series-25-Gal-15-HP.jpg,Rolair,"Rolair FC1500HS3 ""The Bull"" Series 2.5 Gal. 1.5 HP Compressor",Start/Stop pressure switch On/Off leverAir line regulator and pressure gaugeTank pressure gaugeSafety relief valveReplaceable filter cartridge13.5 amp motorInitial 6 oz. oil fill included,"PUMP DESCRIPTIONROLAIR Quality, Heavy-Duty, Cast-Iron Cylinder, Single Stage, Ball Bearings, Filter/Silencer, Stainless Steel Reed Valves, and Splash Lubrication To Ensure Longer Pump LifeMOTOR DESCRIPTION1.5 HP, 3400 RPM, Overload Protection with Manual Reset, 115 Volt, 60 Hz, Heavy-Duty, Industrial Grade with Ball Bearings for Greater DurabilitySTANDARD EQUIPMENTPressure Switch with On/Off Lever, Regulator w/Air Line Pressure Gauge, 6 oz. Crankcase Pre-filled with Oil, 95/125 PSI Operating Pressure, Factory Tested, Safety Relief ValveOPTIONAL EQUIPMENTN/A",,"Rolair FC1500HS3 ""The Bull"" Series 2.5 Gal. 1.5 HP Compressor",The Bull Series 2.5 Gal. 1.5 HP Compressor
24074,Mud and Paint Mixer Attachments,746,Mixer,,E:\IMAGES\ITEMS\product\7\4\rolair-746-mixer.jpg,Rolair,Hexagon Chrome-Plated Shaft,,,,Color: Amber,Mixer
24074,Mud and Paint Mixer Attachments,748,Mixer,,E:\IMAGES\ITEMS\product\7\4\rolair-748-mixer.jpg,Rolair,Hexagon Chrome-Plated Shaft,,,,Color: Amber,Mixer
24054,Paint Trays and Buckets,781,"Roller Paint Grid 10""",,E:\IMAGES\ITEMS\product\7\8\rolair-781-roller-paint-grid-10.jpg,Rolair,Mini Paint Can Grid,,,,"Mini Paint Can Grid - 1 Gallon; Size: 10""","Roller Paint Grid 10"""
28076,Roller Refills,7290,Roller Cover Long,,E:\IMAGES\ITEMS\product\7\2\rolair-7290-roller-cover-long.jpg,Rolair,Roller Cover,,,,"Length: 18""; Nap: 1/2""",Roller Cover Long
24052,Paint Roller Frames,300014,Roller Frame,,E:\IMAGES\ITEMS\product\3\0\rolair-300014-roller-frame.jpg,Rolair,Roller Frame,,,,"3"" Roller Frame With 1/4"" Rod, 4-Wire (Qty. 24); Brown Plastic Handle With Threaded Grip, 1/4"" Rod With Metal Ferrule",Roller Frame
