category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29018,Concrete Cutting,STIHL TS 410 Cutquik Professional Cut-Off Machine,TS 410 Cutquik® Professional Cut-Off Machine,STIHL TS 410 Cutquik® Professional Cut-Off Machine,E:\IMAGES\ITEMS\product\S\T\STIHL-TS-410-Cutquik-Professional-Cut-Off.jpg,STIHL,Professional User,"Standard Features X2 low maintenance air filtration system Anti-vibration system reduces vibration up to 43% over previous models Powerful and fuel-efficient, low-emission engine Emissions reduced up to 44% compared to previous models IntelliCarb™ compensating carburetor Lightweight and well balanced compact top-handle design Decompression valve for easy starting Semi-automatic belt tensioner Reversible cutting arm for inboard or outboard cutting Able to be mounted on cart with adapter kit Integrated water attachment","There are no easy jobs in the construction and deconstruction business, but when it comes to cutting performance there is one easy choice: the TS 410 STIHL Cutquik® cut-off machine with a 12"" cutting wheel. Featuring the X2 air filtration system and an anti-vibration system, this cut-off machine is comfortable to use and easy to maintain. Thanks to patented advancements, the TS 410 keeps working longer than the legendary TS 400 - helping you stay on schedule. NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately.",,STIHL TS 410 Cutquik® Professional Cut-Off Machine,TS 410 Cutquik® Professional Cut-Off Machine
29018,Concrete Cutting,STIHL TS 410 A (EWC) Cutquik,TS 410 A (EWC) Cutquik®,Professional User,E:\IMAGES\ITEMS\product\S\T\STIHL-TS-410-A-EWC.jpg,STIHL,Professional User,"Standard Features Same great features as standard STIHL TS 410 plus Electronic Water Control (EWC) Conveniently mounted keypad allows easy adjustment of water flow while cutting Water control remembers last water setting used The flow of water stops at idle speed and starts again automatically when the throttle is engaged X2 low-maintenance air filtration system No need to clean air filters Newly designed anti-vibration system reduces vibration up to 43% over previous models Powerful and fuel-efficient, low-emission engine with increased run time - emissions reduced up to 44% compared to previous models Lightweight and well-balanced compact top-handle design","Leading the way in wet-cutting technology, STIHL now offers the new Electronic Water Control (EWC) on select STIHL Cutquik® Cut-Off Machines. The TS 410 A (EWC) offers the user greater control over the flow of water to the cutting surface, providing superior performance during operation. A conveniently mounted keypad allows the operator to easily adjust the flow of water during use and remembers the last setting that was used. The EWC stops the flow of water at idle speeds and starts again automatically when the throttle is engaged. In addition to superior water control, the TS 410 A (EWC) has many other features designed with the user in mind. An anti-vibration system reduces vibration by 43% over previous models providing maximum comfort with less fatigue. The lightweight and compact design improves maneuverability and balance. Powered by a fuel-efficient, low-exhaust engine, emissions are reduced up to 44%, and the large-capacity fuel tank can provide 20% longer run time. NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately. Optional Accessories Leather Chaps Portable Water Tank Metal TS Case Roller Wheel Kit",,STIHL TS 410 A (EWC) Cutquik®,TS 410 A (EWC) Cutquik®
29018,Concrete Cutting,STIHL TS 420 Cutquik Professional Cut-Off Machine,TS 420 Cutquik® Professional Cut-Off Machine,,E:\IMAGES\ITEMS\product\S\T\STIHL-TS-420-Cutquik-Professional-Cut-Off.jpg,STIHL,Professional User,"Standard Features X2 low-maintenance air filtration system Anti-vibration system reduces vibration up to 43% over previous models Powerful and fuel-efficient, low-emission engine Emissions reduced up to 44% compared to previous models Lightweight and well balanced compact top-handle design Decompression valve for easy starting Semi-automatic belt tensioner Reversible cutting arm for inboard or outboard cutting","The TS 420 STIHL Cutquik® cut-off machine - one of the best we've ever built. Helping you work longer and more comfortably, this cut-off machine comes with a 14"" wheel, delivering a unique blend of performance and efficiency so you get the job done right. With the revolutionary X2 air filtration system, an anti-vibration system and lightweight design, you get low maintenance and more maneuverability. Its advanced engine technology also increases fuel efficiency and reduces emissions. NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately. Optional Accessories TS Rental Kit Leather Chaps Portable Water Tank Metal TS Case Roller Wheel Kit",,STIHL TS 420 Cutquik® Professional Cut-Off Machine,TS 420 Cutquik® Professional Cut-Off Machine
26|24962,Cut-Off Saws|Chop Saws and Cut-Off Machines,STIHL TS 420 A (EWC) Cutquik,TS 420 A (EWC) Cutquik®,STIHL TS 420 A (EWC) Cutquik®,E:\IMAGES\ITEMS\product\S\T\STIHL-TS-420-A-EWC.jpg,STIHL,Professional User,"Standard Features Same great features as standard TS 420 plus Electronic Water Control (EWC) Conveniently mounted keypad allows easy adjustment of water flow while cutting Water control memorizes last water setting used Water flow stops at idle speed and starts when throttle is engaged X2 low-maintenance air filtration system No need to clean air filters Newly designed anti-vibration system reduces vibration up to 43% over previous models Powerful and fuel-efficient, low-emission engine with increased run time, emissions reduced up to 44% compared to previous models Lightweight and well-balanced compact top handle design","Giving the user greater control over water flow during use, STIHL now offers the new Electronic Water Control (EWC) system on select STIHL Cutquik® Cut-Off Machines. The TS 420 A (EWC) raises the standard of wet-cutting cut-off machines to provide superior performance during operation. The EWC allows the operator to control the flow of water to the cutting surface with a conveniently mounted keypad. The EWC system also stops the flow of water at idle speeds and starts again automatically when the throttle is engaged. STIHL cut-off machines are designed to be at the top of their class, and the TS 420 A (EWC) is no exception. Featuring a larger cutting wheel and powered by a fuel-efficient, low-exhaust engine, emissions are reduced up to 44%. The large-capacity fuel tank can provide 20% longer run time. And vibration has been reduced by 43% over previous models, providing maximum comfort with less fatigue, and the lightweight and compact design improves maneuverability and balance. NOTE: Abrasive wheel included. Diamond wheel (shown) sold separately. Optional Accessories Leather Chaps Portable Water Tank Metal TS Case Roller Wheel Kit",,STIHL TS 420 A (EWC) Cutquik®,TS 420 A (EWC) Cutquik®
29018,Concrete Cutting,STIHL TS 700 Cutquik Professional Cut-Off Machine,TS 700 Cutquik® Professional Cut-Off Machine,STIHL TS 700 Cutquik® Professional Cut-Off Machine,E:\IMAGES\ITEMS\product\S\T\STIHL-TS-700-Cutquik-Professional-Cut-Off.jpg,STIHL,Professional User,"Standard Features X2 low-maintenance air filtration system Powerful and fuel-efficient, low-emission engine IntelliCarb™ compensating carburetor Semi-automatic belt tensioner with innovative treaded belt Large upright fueling opening with retainer and cap Sealed bearings with two-piece precision-machined crankshaft Five-point advanced vibration control system Reversible wheel guard for inboard or outboard cutting","With a powerful, high-speed engine, it's easy to see why the TS 700 STIHL Cutquik® cut-off machine is one of the most advanced STIHL Cutquik® machines ever produced. Featuring the X2 low maintenance filtration system, you get extended service cutting and airflow with almost 100 percent cleaning efficiency. Not only is this cut-off machine lightweight and well balanced, it also features a five-point dual element vibration control system - the right choice for even the most demanding professionals. Optional Accessories TS Rental Kit Leather Chaps Portable Water Tank Metal TS Case Roller Wheel Kit",,STIHL TS 700 Cutquik® Professional Cut-Off Machine,TS 700 Cutquik® Professional Cut-Off Machine
29018,Concrete Cutting,STIHL TS 800 Cutquik Professional Cut-Off Machine,TS 800 Cutquik® Professional Cut-Off Machine,STIHL TS 800 STIHL Cutquik® Professional Cut-Off Machine,E:\IMAGES\ITEMS\product\S\T\STIHL-TS-800-STIHL-Cutquik-Professional-Cut-Off.jpg,STIHL,Professional User,"Standard Features X2 low-maintenance air filtration system Powerful and fuel-efficient, low-emission engine Semi-automatic belt tensioner with innovative treaded belt Large upright fueling opening with retainer and cap Sealed bearings with two-piece precision-machined crankshaft Five-point advanced vibration control system Reversible wheel guard for inboard or outboard cutting Features a 16"" wheel","When the going gets tough, get the 16"" TS 800 STIHL Cutquik® cut-off machine. Like the TS 700, this machine features the X2 low maintenance air filtration system and a comfortable, ergonomic design. With plenty of power, this cut-off machine takes care of jobs that other large walk-behind machines can do. The TS 800 is ideal for professionals cutting asphalt, concrete, reinforcement bars or other metal support pieces. When mounted to a cart, it's the perfect alternative to the conventional floor saw. Optional Accessories TS Rental Kit Leather Chaps Portable Water Tank Metal TS Case Roller Wheel Kit",,STIHL TS 800 Cutquik® Professional Cut-Off Machine,TS 800 Cutquik® Professional Cut-Off Machine
133|24965,Chain Saws | Bars | Chains|Chain Saw | Chains | Bars,STIHL MS 170 Chain Saw,MS 170 Chain Saw,STIHL MS 170 Chain Saw,E:\IMAGES\ITEMS\product\S\T\STIHL-MS-170-Chain.jpg,STIHL,Occasional User,Standard Features IntelliCarb™ compensating carburetor View standard features common to many STIHL chain saws Automatic bar and chain oiler Anti-vibration system Easy-access air filter,"Looking for a compact, occasional use chain saw? Homeowners, look no further. Complete with many of the same design features the professionals depend on, the MS 170 is lightweight with just the right amount of power - ideal for residential cutting and trimming of small trees, firewood or storm cleanup. Optional Accessory Toolless Quick Chain Adjuster for fast and easy chain adjustment",,STIHL MS 170 Chain Saw,MS 170 Chain Saw
133|24965,Chain Saws | Bars | Chains|Chain Saw | Chains | Bars,STIHL MS 171 Chain Saw,MS 171 Chain Saw,STIHL MS 171 Chain Saw,E:\IMAGES\ITEMS\product\S\T\STIHL-MS-171-Chain.jpg,STIHL,Occasional User,Standard Features Reduced-emission engine technology Pre-separation air filtration system Low vibration Toolless fuel and oil caps with retainers Side-access chain tensioning Translucent fuel and oil tanks,"One of a new generation of occasional use chain saws, the MS 171 STIHL chain saw features reduced-emission engine technology - an advantage for the user because it reduces fuel consumption while reducing exhaust emissions. This innovative chain saw is just right for homeowners who need to cut firewood, fell small trees or do cleanup. Optional Accessories Polymer air filter element 7-tooth rim sprocket NEW! STIHL ROLLOMATIC® E Mini Light Guide Bars 10"" (3005 008 7603), 12"" (3005 000 7605), and 14"" (3005 000 7609) are 30% lighter. For use with PMN and PMMC3 saw chain.",,STIHL MS 171 Chain Saw,MS 171 Chain Saw
133|24965,Chain Saws | Bars | Chains|Chain Saw | Chains | Bars,STIHL MS 180 C-B Chain Saw,MS 180 C-B Chain Saw,STIHL MS 180 C-B Chain Saw,E:\IMAGES\ITEMS\product\S\T\STIHL-MS-180-C-B-Chain.jpg,STIHL,Occasional User,Standard Features Toolless Quick Chain Adjuster for fast and easy chain adjustment IntelliCarb™ compensating carburetor,"One of our most popular chain saws for home use, this fully featured unit comes with extra power and fast cutting performance. Compact and designed specifically for homeowners, the MS 180 C-B is suited for a variety of purposes around the yard like trimming trees or cutting firewood and fallen limbs. Optional Accessory NEW! STIHL ROLLOMATIC® E Mini Light Guide Bars 10"" (3005 008 7603), 12"" (3005 000 7605), and 14"" (3005 000 7609) are 30% lighter. For use with PMN and PMMC3 saw chain.",,STIHL MS 180 C-B Chain Saw,MS 180 C-B Chain Saw
133|24965,Chain Saws | Bars | Chains|Chain Saw | Chains | Bars,STIHL MS 180 C-BE Chain Saw,MS 180 C-BE Chain Saw,STIHL MS 180 C-BE Chain Saw,E:\IMAGES\ITEMS\product\S\T\STIHL-MS-180-C-BE-Chain.jpg,STIHL,Occasional User,Standard Features Easy2Start™ system Toolless Quick Chain Adjuster for fast and easy chain adjustment IntelliCarb™ compensating carburetor,"Similar to the MS 180 C-B, the STIHL MS 180 C-BE features the Easy2Start™ system, making this chain saw virtually effortless to start. Perfect for cutting firewood or felling trees up to 12 inches in diameter, it is a lightweight practical chain saw with convenient features you can rely on. Optional Accessory NEW! STIHL ROLLOMATIC® E Mini Light Guide Bars 10"" (3005 008 7603), 12"" (3005 000 7605), and 14"" (3005 000 7609) are 30% lighter. For use with PMN and PMMC3 saw chain.",,STIHL MS 180 C-BE Chain Saw,MS 180 C-BE Chain Saw
