category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1724|25802,Anti-Vibration Gloves|Anti-Vibration Gloves and Wraps,03-3200-78,Anti-Vibe XT,,E:\IMAGES\ITEMS\product\0\3\youngstown-glove-company-03-3200-78-anti-vibe-xt.jpg,Youngstown Glove Company,"Youngstown's Anti-Vibe XT is designed to reduce vibration from pneumatic and vibrating tools or repetitive motions. The glove features strategically placed 5.0mm memory foam on the palm and thumb. A unique 360 degree wrist wrap offers unrivaled wrist support while also relieving tension throughout your forearm, elbow and shoulder. Take care of yourself and use this glove.","Unique 360 Wrist Support Relieves Arm Tension									5.0mm Memory Foam Dampens Shock & Vibration 									Extensive Non-Slip Reinforcement on Palm, Fingers & Thumb									Double Knuckle Protection on Top of Hand									Terry Cloth Thumb for Wiping Sweat and Debris									Heavy Duty and Top Notch Protection									Machine Washable/Air Dry									Size Chart",,,,Anti-Vibe XT
25809,Cold-Condition Gloves,05-3470-99,Camo Waterproof Winter,,E:\IMAGES\ITEMS\product\0\5\youngstown-glove-company-05-3470-99-camo-waterproof-winter.jpg,Youngstown Glove Company,"Youngstown's CAMO Waterproof Winter glove is warm, lined and 100% waterproof and windproof. Features Mossy Oak Break-Up Camo Pattern on top of hand and a unique Wool/Fleece Liner that regulates temperature. Designed for both Winter Work and Winter Recreation.","Features popular Mossy Oak Break-Up Camo Pattern on Top of Hand									100% Waterproof & Windproof to Keep Hands Warm and Dry									Double Layer of Synthetic Suede on Palm, Fingers & Thumb for Abrasion Resistance									Incredible Wool/Fleece Blend Sportwool Liner provides Exceptional Warmth									Download Flyer 									Size Chart",,,,Camo Waterproof Winter
25827,Mechanics Gloves,03-3110-80,Carpenter Plus,,E:\IMAGES\ITEMS\product\0\3\youngstown-glove-company-03-3110-80-carpenter-plus.jpg,Youngstown Glove Company,"Youngstown's Carpenter Plus features Shortened Fingers and Thumb for true Fingertip Dexterity when handling nails, screws, wires other small items. The glove is form-fit and non-slip reinforced for lasting durability and grip.","Cut-Finger Style for Fingertip Dexterity									Durable, Non-Slip Reinforced Palm, Fingers & Thumb									Non-Slip Reinforced Thumb & Finger Saddle									Terry Cloth Thumb for Wiping Sweat and Debris									Neoprene Cuff Adds Support and Secures Fits									Machine Washable/Air Dry									Download Flyer 									Size Chart",,,,Carpenter Plus
238|25827,Mechanic Gloves|Mechanics Gloves,12-3270-80,FR Mechanics Hybrid,,E:\IMAGES\ITEMS\product\1\2\youngstown-glove-company-12-3270-80-fr-mechanics-hybrid.jpg,Youngstown Glove Company,"The FR Mechanics Hybrid is a versatile and comfortable FR work glove, which offers an excellent combination of dexterity, comfort, durability and protection. The high quality goatskin palm is lined with 100% Kevlar fiber to enhance the FR properties and provide cut-resistance. The top of the glove is made with Nomex fiber by DuPont and provides excellent breathability in addition to its flame resistant properties. The entire glove is sewn into an ergonomic, 3D pattern for unmatched comfort and dexterity. Meets NFPA 70e  2012 Standard. Flame-Resistant. Dexterous. Durable.","Meets NFPA 70e  2012 Standard									Flame-Resistant - Exceeds ASTM F2302 & D6413 Standard									ARC-RATED 12 cal/cm (HRC 2)									Cut Resistant Palm - Rates Level 2 on ANSI/ISEA 105-2005									Palm is 5X More Cut-Resistant than Unlined Leather									Top of Hand Made with FR Nomex Fiber									Ergonomic, 3D Glove Pattern Form-fits to Hand									Incredible Combination Of Dexterity, Comfort And Protection									Kevlar is a Registered Trademark of DuPont and/or its affiliates.									href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart",,,,FR Mechanics Hybrid
234|27824,Kevlar Gloves|Kevlar Gloves,11-3285-60,FR Waterproof Leather Lined with Kevlar,,E:\IMAGES\ITEMS\product\1\1\youngstown-glove-company-11-3285-60-fr-waterproof-leather-lined-with-kevlar.jpg,Youngstown Glove Company,"Youngstowns FR Waterproof Leather Utility lined with Kevlar is a winterized, waterproof, flame-resistant and cut-resistant leather glove designed to keep hands warm, dry and protected. It is made of triple layer technology consisting of a high quality goatskin outer shell, 100% waterproof & windproof membrane and a liner made of 100% Kevlar fiber. The entire glove is sewn into an ergonomic, 3D pattern to provide superior dexterity, comfort and durability. ARC RATED to 50 cal/cm (HRC 4). Meets NFPA 70e  2012 Standard. Flame-Resistant. Cut-Resistant. Waterproof.","Meets NFPA 70e  2012 Standard									Flame Resistant - Exceeds ASTM F2302 & D6413 Standard									ARC-RATED 50 cal/cm (HRC 4)									Cut-Resistant Level 2 on ANSI/ISEA 105-2005 Standard									5X More Cut-Resistant than Unlined Leather									100% Waterproof & Windproof									4 Safety Cuff for Wrist Protection									Keeps Hands Warm, Dry & Protected									Form-Fit to Hand for Superior Dexterity & Safety									Kevlar is a Registered Trademark of DuPont and/or its affiliates.									href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart",,,,FR Waterproof Leather Lined with Kevlar
234|27824,Kevlar Gloves|Kevlar Gloves,12-3290-60,FR Waterproof Ultimate lined with Kevlar,,E:\IMAGES\ITEMS\product\1\2\youngstown-glove-company-12-3290-60-fr-waterproof-ultimate-lined-with-kevlar.jpg,Youngstown Glove Company,"Youngstowns FR Waterproof Ultimate lined with Kevlar is a winterized, waterproof leather glove designed to provide FR protection and warmth in extreme cold and wet conditions. This glove is made of the finest FR materials combined in a 4 layer system consisting of: FR Cowhide leather, Insulation made of FR Nomex, FR Waterproof Membrane and a liner made of Kevlar fiber. It is sewn into a 3D, ergonomic pattern to provide superior dexterity and lasting durability and comfort. Meets NFPA 70e  2012 Standard.",Meets NFPA 70e  2012 Standard									Flame Resistant - Exceeds ASTM D6413 and F2302									ARC-RATED 55 Cal/cm (HRC 4)									Cut-Resistant Level 2 on ANSI/ISEA 105-2005 Standard									Almost 5X More Cut-Resistant than Unlined Leather									Insulation composed of FR NOMEX for Added Warmth									100% Waterproof featuring FR Porelle Membrane									FR Cowhide Outer Shell									Ergonomic 3D Pattern Form-Fits to Hand									Cut Resistant Liner Made of Kevlar Fiber Increases Durability									Kevlar is a registered trademark of DuPont and/or its affiliates.									href=''http://www.ytgloves.com/sizechart/sizechartamazon.pdf'' target=''_blank''>Size Chart,,,,FR Waterproof Ultimate lined with Kevlar
25826,Leather Palm Gloves,06-3230-60,Fusion XT,,E:\IMAGES\ITEMS\product\0\6\youngstown-glove-company-06-3230-60-fusion-xt.jpg,Youngstown Glove Company,The Fusion XT combines a unique blend of a goat skin leather palm with a technical top of hand sewn into a form-fit performance glove pattern.,"Unique Fusion of Leather & Synthetic Fabrics									Durable, Washable Goatskin Palm is treated to not shrink, stretch or harden 									Heavy Duty Padded Knuckle Protection									Terry Cloth Thumb for Wiping Sweat and Debris									Slip-Fit Safety Cuff for Superior Breathability									Traditional Feel of Leather Fused into a Form-Fit Performance Glove Pattern									Machine Washable/Air Dry									Download Flyer 									Size Chart",,,,Fusion XT
234|27824,Kevlar Gloves|Kevlar Gloves,05-3080-70,General Utility Lined with Kevlar,,E:\IMAGES\ITEMS\product\0\5\youngstown-glove-company-05-3080-70-general-utility-lined-with-kevlar.jpg,Youngstown Glove Company,"We took our best selling Utility design and lined every inch of the glove with Kevlar fiber to create the worlds first cut-resistant performance glove. This incredible glove is dexterous, cut-resistant and extremely durable. Ideal for a wide range of applications where total hand protection is required.","Entirely Lined with Cut-Resistant DuPont Kevlar Fiber									Palm Exceeds a Cut Performance Level 3 Rating according to ANSI/ISEA 105-2005 Standard									Durable, Non-Slip Reinforced Fingers, Palm & Thumb									Neoprene Cuff Adds Support and Secures Fits									Terry Cloth Thumb for Wiping Sweat and Debris									Machine Washable/Air Dry									Available in 3XL Without Increase in Price									Size Chart",,,,General Utility Lined with Kevlar
25827,Mechanics Gloves,03-3060-80,General Utility Plus,,E:\IMAGES\ITEMS\product\0\3\youngstown-glove-company-03-3060-80-general-utility-plus.jpg,Youngstown Glove Company,"Youngstown's # 1 Seller! All-Purpose and Abrasion-Resistant - This is the ideal performance work glove. Heavy duty non-slip reinforcement on the palm, fingers and thumb ensures lasting durability and grip. The ergonomic design reduces hand fatigue while enhancing wrist support. Features a terry cloth brow wipe on the thumb. This glove is ideal for any number of rugged applications.","Durable Non-Slip Reinforcement on Palm, Fingers & Thumb									Neoprene Cuff Adds Support and Secures Fit. 									Breathable Stretch Nylon on Top of Hand Wicks Moisture and Heat									Terry Cloth Thumb for Wiping Sweat and Debris									Machine Washable/Air Dry									Size Chart",,,,General Utility Plus
25827,Mechanics Gloves,04-3500-70,Heavy Utility XT,,E:\IMAGES\ITEMS\product\0\4\youngstown-glove-company-04-3500-70-heavy-utility-xt.jpg,Youngstown Glove Company,Youngstowns Heavy Utility XT is a heavy duty performance work glove featuring a 4 safety cuff and non-slip SuperSaddle. The top of hand features double knuckle protection and moisture wicking stretch nylon. The palm is a base layer of synthetic leather with non-slip reinforcement for grip and durability. The 4 safety cuff provides superior wrist protection from splinters when handling wood or climbing.,4 safety cuff for increased wrist protection									Double knuckle protection									Non-Slip Reinforcement for Grip and Durability									Youngstowns signature SuperSaddle									Breathable stretch nylon on top of hand 									Terry cloth adorns thumb for wiping away sweat and debris									Available in Sizes Small through XXL									Size Chart,,,,Heavy Utility XT
