category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2415|25522,Shoe Covers|Shoe and Boot Covers,36811KC2,A10 Light Duty Blue Shoe Covers,A10 Light Duty Blue Shoe Covers,E:\IMAGES\ITEMS\product\3\6\A10-Light-Duty-Blue-Shoe.jpg,Logistics Supply,,"Features / Specifications 300 per case Lightweight spunbond polypropylene material provides great comfort. Fully elasticized Helps keep workers cool and comfortable in a wide range of work situations, from food processing to manufacturing facilities to hospitals to construction sites",,,Logistics Supply A10 Light Duty Blue Shoe Covers,A10 Light Duty Blue Shoe Covers
159|25842,Hard Hats|Hard Hats,697410,Sunshield for V-Guard,"When their office is outdoors, MSA's Sun Shield Assembly's got it covered ... neck, ears and forehead. Perfect for anyone who works outside in the hot sun, the Sun Shield reduces the risk of skin cancer, thanks to the extended brim, keeping wearers cooler",E:\IMAGES\ITEMS\product\6\9\697410-logistics-Supply-Sunshield-for-V.jpg,Logistics Supply,,"Properties  For V-Gard® Hats Only Extends the brim all the way around to help protect wearer's ears and neck from sun's rays Made of polyurethane (front portion is Lexan, smoke tint)","When their office is outdoors, MSA's Sun Shield Assembly's got it covered ... neck, ears and forehead. Perfect for anyone who works outside in the hot sun, the Sun Shield reduces the risk of skin cancer, thanks to the extended brim, keeping wearers cooler and more comfortable throughout the day. And it's tough, too, thanks to its polyurethane/Lexan® material.",,697410 logistics Supply Sunshield for V-Guard,Sunshield for V-Guard
159|25842,Hard Hats|Hard Hats,10034018,MSA White Cap Fas-Trac Vented,"A hot pick for hot jobs, the V-Gard 500® Cap offers increased airflow and a Glaregard™ anti-reflective brim, making it ideal for warm weather. These caps are designed with lateral contours over the ears as well so it's easy to integrate hearing safeguards",E:\IMAGES\ITEMS\product\1\0\10034018-Logistics-Supply-MSA-White-Cap-Fas-Trac.jpg,Logistics Supply,,"Properties  Vented w/4 and 6 Point Fas-Trac® Ratchet Suspension Consists of a polyethylene shell Provides cooling vents for improved air circulation and comfort Lightweight design for added comfort Lateral contours above the ear for easy integration of hearing protection Glaregard™ underbrim to reduce reflective glare Meets or exceeds the applicable requirements for a Type 1 helmet (top impact) as outlined in ANSI Z89.1-2003, Class C","A hot pick for hot jobs, the V-Gard 500® Cap offers increased airflow and a Glaregard™ anti-reflective brim, making it ideal for warm weather. These caps are designed with lateral contours over the ears as well so it's easy to integrate hearing safeguards. White.",,10034018 Logistics Supply MSA White Cap Fas-Trac Vented,MSA White Cap Fas-Trac Vented
159|25842,Hard Hats|Hard Hats,10087220,V-Guard Suspension,"Properties  4 Point Fas-Trac® Replacement Suspensions For use on Standard (Size: 6 1/2-8), V-Gard® Caps/Hats, and SmoothDome™ Slotted Caps",E:\IMAGES\ITEMS\product\1\0\10087220-Logistics-Supply-V-Guard.jpg,Logistics Supply,,"Properties  4 Point Fas-Trac® Replacement Suspensions For use on Standard (Size: 6 1/2-8), V-Gard® Caps/Hats, and SmoothDome™ Slotted Caps",,,10087220 Logistics Supply V-Guard Suspension,V-Guard Suspension
1326|19703,Cleaning Supplies|Cleaning Supplies Holders,107795SPC,5 Gal Spill Kit,"Universal Allwik Portable Spill Kits, from SPC, are there for an emergency. The Economy Spill Kit™ is stored in a bright-yellow bag so it's highly visible at all times and can absorb five gallons of liquid per kit. The Attack Pac™ is a single-use kit pack",E:\IMAGES\ITEMS\product\1\0\107795SPC-Logistics-Supply-5-Gal-Spill.jpg,Logistics Supply,"Universal Allwik Portable Spill Kits, from SPC, are there for an emergency. The Economy Spill Kit™ is stored in a bright-yellow bag so it's highly visible at all times and can absorb five gallons of liquid per kit. The Attack Pac™ is a single-use kit packed in a silver-color foil bag that's puncture and UV resistant. It absorbs up to seven gallons per each kit.","Contents  10 Pads (15"" x 19"") 2 SOCs (3"" x 4')  1 Disposable Bag Instruction Sheet","Properties  Highly visible yellow PVC bag is ""just right"" for small spills The right price, the right size, and the right value Absorbs up to 5 gallons per kit Accidents happen...Be Prepared with SPC's Emergency Spill Kits",,107795SPC Logistics Supply 5 Gal Spill Kit,5 Gal Spill Kit
159|25842,Hard Hats|Hard Hats,12440EG,Sweat Band,"Hard hats get hot inside, no doubt about it. Chill-Its® Terry Sweatbands from Ergodyne® help alleviate some of the problem by soaking up sweat and keeping it out of the eyes. Chill-Its are made from 100% cotton for superb comfort, it fits most hard hat su",E:\IMAGES\ITEMS\product\1\2\12440EG-Logistics-Supply-Sweat.jpg,Logistics Supply,"Hard hats get hot inside, no doubt about it. Chill-Its® Terry Sweatbands from Ergodyne® help alleviate some of the problem by soaking up sweat and keeping it out of the eyes. Chill-Its are made from 100% cotton for superb comfort, it fits most hard hat suspension systems and are machine washable. One size.","Properties:  Economical way for hard hat wearers to manage moisture Keeps sweat out of eyes Absorbent terry headband Fits most hard hat suspension systems Machine washable 100% cotton Applications: Construction, Trades, Maintenance, Landscaping/Grounds, Assembly/Fabrication, Material Handling, Freight/Baggage, Warehousing/Distribution, Iron/Steel Fabrication",Model Number: 12440 UOM: EA Color: Gray Size: One Size,,12440EG Logistics Supply Sweat Band,Sweat Band
421|25522,Rubber Boots|Shoe and Boot Covers,12BNSCRC,Boot Covers,1.25 oz polypropylene with serged seams and non-skid design. 150 Pair/Case.,E:\IMAGES\ITEMS\product\1\2\12BNSCRC-Logistics-Supply-Boot.jpg,Logistics Supply,1.25 oz polypropylene with serged seams and non-skid design. 150 Pair/Case.,Properties:  150 pair per case Non-skid design,Model Number: 12BNSCRC  UOM: CS  Size: Universal  Color: Blue,,12BNSCRC Logistics Supply Boot Covers,Boot Covers
157|25724,First Aid Kits|First Aid Kits,225ANF,50 Person First Aid Kit,"ANSI First Aid Kits come in multiple combinations and sizes to address different environments. These kits comply with ANSI standards and meet or exceed federal OSHA regulations, too. They also come with a handy list of kit contents for easy ordering and f",E:\IMAGES\ITEMS\product\2\2\225ANF-Logistics-Supply-50-Person-First-Aid.jpg,Logistics Supply,"ANSI First Aid Kits come in multiple combinations and sizes to address different environments. These kits comply with ANSI standards and meet or exceed federal OSHA regulations, too. They also come with a handy list of kit contents for easy ordering and feature labels in both English and Spanish. Contents subject to change without notice.","Kit Includes: (100) 1"" X 3"" Adhesive plastic bandages (3) 1.75"" X 3"" Large fingertip fabric bandages (3) 1.5"" X 3"" Knuckle fabric bandages (2) 2"" X 4"" Elbow & knee plastic bandages (6) 3"" X 3"" Gauze dressing pads, (3) 2-packs (2) 4"" X 4"" Gauze dressing pads, (1) 2-pack (1) 5"" X 9"" Trauma pad (2) 2"" Conforming gauze roll bandages (1) 40"" Triangular sling/bandage, w/2 safety pins (20) Aspirin tablets, (10) 2-packs (12) Alcohol cleansing pads (12) Antiseptic cleansing wipes (sting free) (6) Triple antibiotic ointment packs (6) First aid/burn cream, 0.9 gm. packs (6) Insect sting relief pads (1) 3"" X 5 yd. Latex free elastic bandage (1) .5"" X 5 yd. First aid tape roll (1) 4"" X 5"" Instant cold compress (2) Sterile eye pads (1) Eye wash, 4 oz (4) Exam quality vinyl gloves, 2 pair (1) 4.5"" Scissors, nickel plated (1) 4"" Tweezers, plastic (1) First aid guide","Model Number: 225AN UOM: EA Dimensions: 10.75"" X 11.25"" X 3"" Properties: This 195-piece first aid kit is ideal for contractors, fleet vehicles, worksites or small companies with up to 50 employees It meets federal OSHA recommendations and carries 20 critical products The plastic case, with slanted, spill-proof dividers is wall mountable yet has a handle for easy carrying",,225ANF Logistics Supply 50 Person First Aid Kit,50 Person First Aid Kit
880|27823,Rubber Gloves|Nitrile Gloves,40226 Medium,Medium Purple Nitrile Gloves,"KleenGuard® G40 Purple Nitrile* Foam Coated Gloves deliver a tactile sensitivity and dexterity that translates to excellent gripping power. Improved grip, in turn, translates to improved productivity. The light, seamless, knit nylon liner increases breath",E:\IMAGES\ITEMS\product\K\l\KleenGuard-G40-Purple-Nitrile-Gloves-Logistics.jpg,Logistics Supply,"Sold by the case; 5 bags, 12 pairs/bag. Black/Purple.","Properties:  60 per case Deliver a tactile sensitivity and dexterity that translates to excellent gripping power Improved grip, in turn, translates to improved productivity Light,seamless knit nylon liner for comfort and breathability Elasticized wrists improve safety and security Abrasion resistance rating of 4 out of 4 (EN 388 Standards) Excellent grip even through oil and dirt Black and purple color hides oil and dirt 25% better productivity than leather An excellent choice for any customers in small-parts assembly, materials handling, automotive industries, general maintenance and warehousing/shipping/delivery","KleenGuard® G40 Purple Nitrile* Foam Coated Gloves deliver a tactile sensitivity and dexterity that translates to excellent gripping power. Improved grip, in turn, translates to improved productivity. The light, seamless, knit nylon liner increases breathability for greater comfort and the elasticized wrists improve safety and security. Plus, the durability-boosting purple nitrile coating offers greater protection for hands - scoring four out of four to earn the highest abrasion resistance rating under EN 388. And, these gloves always look fresh on the job, thanks to the black and purple color that masks dirt and oil. Sold by the case; 5 bags, 12 pairs/bag. Black/Purple.",,Medium Purple Nitrile Gloves,Medium Purple Nitrile Gloves
157|25724,First Aid Kits|First Aid Kits,930125PF,25 Person First Aid Kit,This special collection of First Aid Kits are designed to meet the needs of several specific jobs and industries that often require a specialized mix of supplies. Each kit also features English and Spanish labels. Contents subject to change without notice,E:\IMAGES\ITEMS\product\9\3\930125PF-Logistics-Supply-25-Person-First-Aid.jpg,Logistics Supply,This special collection of First Aid Kits are designed to meet the needs of several specific jobs and industries that often require a specialized mix of supplies. Each kit also features English and Spanish labels. Contents subject to change without notice.,"Kit Includes: (100) 1"" X 3"" Adhesive plastic bandages (3) Knuckle fabric bandages (3) Fingertip fabric bandages, large (1) 3"" Conforming gauze roll bandage (1) 40"" Triangular sling/bandage, w/2 safety pins (6) 3"" X 3"" Gauze dressing pads (1) 5"" X 9"" Trauma pad (42) Antiseptic cleansing wipes (sting free) (1) First aid/burn cream pack, 0.9 gm, 10/bx (1) 4"" X 5"" Instant cold compress (1) 1/2"" X 10 yd. First aid tape roll (1) 4.5"" Scissors, nickel plated (1) 4"" Tweezers, plastic, one time use (4) Exam quality gloves, 2 pairs (1) First Aid Guide","Properties: 25 Person,176 Piece Bulk Contractors Kit Plastic Case  Model Number:930125P UOM: EA Size: 9.062"" X 6.313"" X 2.375""",,930125PF Logistics Supply 25 Person First Aid Kit,25 Person First Aid Kit
