store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"13|28084","Generators|Stationary Generators",1724,"GDP5H",,"Generator","","Generator","The industry's only generator that simultaneously produces 60Hz/180Hz power for standard tools and high-cycle vibrators. Powered by a Honda GX340 engine this unit takes the place of two generators. Ideal for the professional contractor.",/\G\D\Multiquip-GDP5H.jpg,/\G\D\Multiquip-GDP5H.jpg,http://www.48ws.com/images/product/G/D/Multiquip-GDP5H.jpg,Multiquip-GDP5H-Generator,Multiquip-GDP5H-Generator,,No layout updates.,Block after Info Column,,"Generator","Generator",Use config,"http://www.multiquip.com/multiquip/GDP5H.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Multiquip GDP5H Generator","<li>Powers up to three&nbsp;2-inch (50 mm) FXA-series&nbsp;high cycle vibrators&nbsp; </li><li>Control panel has separate 60Hz and 180Hz outlets </li><li>Folding lifting bale is standard equipment </li><li>Standard voltmeter assists in troubleshooting </li><li>Produces 3.6kW of continuous 120/240-volt 60-cycle power for standard power tools</li>","The industry's only generator that simultaneously produces 60Hz/180Hz power for standard tools and high-cycle vibrators. Powered by a Honda GX340 engine this unit takes the place of two generators. Ideal for the professional contractor.","","Multiquip GDP5H Generator","Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19|23821","Paddle Mixers - Hand Held|Concrete Mixers",1803,"CX100HF",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with the WK120HF Mixing Paddle.",/\C\X\Multiquip-CX100HF-Collomix-Hand-Held-Paddle.jpg,/\C\X\Multiquip-CX100HF-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/C/X/Multiquip-CX100HF-Collomix-Hand-Held-Paddle.jpg,Multiquip-CX100HF-Collomix-Hand-Held-Paddle-Mixer,Multiquip-CX100HF-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/CX100HF.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional Hand Mixer, 110V 7.2A ,1.1HP Universal Electric Motor","<li> Powerful 110V 7.2A 1.1HP Universal Electric Motor</li><li> Single gear design - 790 RPM</li><li> Variable Electronic RPM Speed control</li><li> Single gear design - 790 RPM</li><li> Mixing Capacity - 1.4 cuft. (10) Gallons</li><li> Optimized torque to paddle design</li><li> Standard - HEXAFIX Quick disconnect paddle coupler</li><li> Standard - (1) WK120HF Mixing Paddle</li><li> Ergonomic designed high-impact polyethylene hand grip</li><li> Safety lock start switch</li><li> Guard handle protection bars</li><li> Weight w/paddle: 8.4 lbs</li>","Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with the WK120HF Mixing Paddle.","","Multiquip CX100HF Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19|23821","Paddle Mixers - Hand Held|Concrete Mixers",1805,"CX300HF",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with WK10HF Mixing Paddle.",/\C\X\Multiquip-CX300HF-Collomix-Hand-Held-Paddle.jpg,/\C\X\Multiquip-CX300HF-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/C/X/Multiquip-CX300HF-Collomix-Hand-Held-Paddle.jpg,Multiquip-CX300HF-Collomix-Hand-Held-Paddle-Mixer,Multiquip-CX300HF-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/CX300HF.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional Hand Mixer, 2- Speed, 110V 7.2A 1.1HP Universal Electric Motor","<li>Powerful 110V 7.2A 1.1HP Universal Electric Motor</li><li>Dual gear design - 470/890 RPM</li><li>Easy gear shift toggle design</li><li>Variable Electronic RPM Speed control</li><li>Mixing Capacity - 2.3 cuft. (17) Gallons</li><li>Optimized torque to paddle design</li><li>Standard - HEXAFIX Quick disconnect paddle coupler</li><li>Standard - (1) WK120HF Mixing Paddle</li><li>Ergonomic designed high-impact polyethylene hand grip</li><li>Safety lock start switch</li><li>Guard handle protection bars</li><li>Weight w/paddle: 10.0 lbs</li>","Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with WK10HF Mixing Paddle.","","Multiquip CX300HF Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19|23821","Paddle Mixers - Hand Held|Concrete Mixers",1807,"CX600HF",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with MK160HF Mixing Paddle.",/\C\X\Multiquip-CX600HF-Collomix-Hand-Held-Paddle.jpg,/\C\X\Multiquip-CX600HF-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/C/X/Multiquip-CX600HF-Collomix-Hand-Held-Paddle.jpg,Multiquip-CX600HF-Collomix-Hand-Held-Paddle-Mixer,Multiquip-CX600HF-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/CX600HF.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Profesioanl Hand Mixer, 2-Speed, 110V 12.7A 1.9HP Universal Electric Motor","<li>Powerful 110V 12.7A 1.9HP Universal Electric Motor</li><li>Dual gear design - 490/620 RPM</li><li>Easy gear shift toggle design</li><li>Variable Electronic RPM Speed control</li><li>Mixing Capacity - 3.2 cuft. (24) Gallons</li><li>Optimized torque to paddle design</li><li>Standard - HEXAFIX Quick disconnect paddle coupler</li><li>Standard - (1) MK160HF Mixing Paddle</li><li>Ergonomic designed high-impact polyethylene hand grip</li><li>Safety lock start switch</li><li>Guard handle protection bars</li><li>Weight w/paddle: 13.5 lbs</li>","Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with MK160HF Mixing Paddle.","","Multiquip CX600HF Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19|23821","Paddle Mixers - Hand Held|Concrete Mixers",1810,"CX22DUOE",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD120HF Mixing Paddles.",/\C\X\Multiquip-CX22DUOE-Collomix-Hand-Held-Paddle.jpg,/\C\X\Multiquip-CX22DUOE-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/C/X/Multiquip-CX22DUOE-Collomix-Hand-Held-Paddle.jpg,Multiquip-CX22DUOE-Collomix-Hand-Held-Paddle-Mixer,Multiquip-CX22DUOE-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/CX22DUOE.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional Hand Mixer, 2-Speed,  230V 4.4A 1.3HP Universal Electric Motor","<li>Powerful 230V 4.4A 1.3HP Universal Electric Motor - (E)</li><li>Dual gear design - 400/520 RPM</li><li>Easy gear shift toggle design</li><li>Variable Electronic RPM Speed control</li><li>Mixing Capacity - 1.8 cuft. (13) Gallons</li><li>Highly efficient Dual counter-rotating paddle design</li><li>Optimized torque to paddle design</li><li>Standard - HEXAFIX Quick disconnect paddle coupler</li><li>Standard - (1) MKD120HF Mixing Paddle Pair</li><li>Ergonomic designed high-impact polyethylene hand grip</li><li>Safety lock start switch</li><li>Guard handle protection bars</li><li>Weight w/paddle: 16.7 lbs</li>","Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD120HF Mixing Paddles.","","Multiquip CX22DUOE Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19|23821","Paddle Mixers - Hand Held|Concrete Mixers",1811,"CX44DUO",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD140HF Mixing Paddles.",/\C\X\Multiquip-CX44DUO-Collomix-Hand-Held-Paddle.jpg,/\C\X\Multiquip-CX44DUO-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/C/X/Multiquip-CX44DUO-Collomix-Hand-Held-Paddle.jpg,Multiquip-CX44DUO-Collomix-Hand-Held-Paddle-Mixer,Multiquip-CX44DUO-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/CX44DUO.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional Hand Mixer, 2-Speed, 110V 12.7A 1.9HP Universal Electric Motor.","<li>Powerful 110V 12.7A 1.9HP Universal Electric Motor</li><li>Dual gear design - 350/500 RPM</li><li>Easy gear shift toggle design</li><li>Variable Electronic RPM Speed control</li><li>Mixing Capacity - 3.2 cuft. (24) Gallons</li><li>Highly efficient Dual counter-rotating paddle design</li><li>Optimized torque to paddle design</li><li>Standard - HEXAFIX Quick disconnect paddle coupler</li><li>Standard - (1) MKD140HF Mixing Paddle Pair</li><li>Ergonomic designed high-impact polyethylene hand grip</li><li>Safety lock start switch</li><li>Guard handle protection bars</li><li>Weight w/paddle: 21 lbs</li>","Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD140HF Mixing Paddles.","","Multiquip CX44DUO Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20|23821","Grout Mixers|Concrete Mixers",1814,"POX 600",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","Very simple automatic mixer for smaller batch through put. Rotating plate and fixed mixing tool w/scrapper bar design provides for a consistent 1.4 cuft. mix capacity. Small footprint and rolling carriage assembly permits easy mobility. ",/\P\O\Multiquip-POX-600-Collomix-Hand-Held-Paddle.jpg,/\P\O\Multiquip-POX-600-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/P/O/Multiquip-POX-600-Collomix-Hand-Held-Paddle.jpg,Multiquip-POX-600-Collomix-Hand-Held-Paddle-Mixer,Multiquip-POX-600-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/Collomix-POX-600.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional Mixing System, 110V 6A 3/4HP Electric Motor","<li>One man operation</li><li>Powerful 110V 6A 3/4HP Electric Motor</li><li>Fixed mixing tool with tub scrapper bar</li><li>Tub rotation at 50 RPM's</li><li>Consistent mixing through put</li><li>Standard 2.0 cuft polyethylene mixing tub included (Bucket17)</li><li>Mixes: Most Cement mortars, Concrete, Plaster, Repair mortar, and Screeding materials</li><li>Compact and mobile. Fits thru doorways. 105 lbs.</li><li>Dimensions: 24&quot; x 33&quot; x 31&quot;</li>\r\n","Very simple automatic mixer for smaller batch through put. Rotating plate and fixed mixing tool w/scrapper bar design provides for a consistent 1.4 cuft. mix capacity. Small footprint and rolling carriage assembly permits easy mobility. ","","Multiquip POX 600 Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"20|23821","Grout Mixers|Concrete Mixers",1816,"XM2 650",,"Collomix Hand Held Paddle Mixer","","Collomix Hand Held Paddle Mixer","The XM2 is a very high through-put ( 1 ton per hour) mixer designed for preparing a wide range of building materials. The high torque planetary gear system processes materials from liquid to heavy viscous. Compact, powerful and mobile make it the perfect ",/\X\M\Multiquip-XM2-650-Collomix-Hand-Held-Paddle.jpg,/\X\M\Multiquip-XM2-650-Collomix-Hand-Held-Paddle.jpg,http://www.48ws.com/images/product/X/M/Multiquip-XM2-650-Collomix-Hand-Held-Paddle.jpg,Multiquip-XM2-650-Collomix-Hand-Held-Paddle-Mixer,Multiquip-XM2-650-Collomix-Hand-Held-Paddle-Mixer,,No layout updates.,Block after Info Column,,"Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",Use config,"http://www.multiquip.com/multiquip/Collomix-XM2650.htm",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional Automatic Mixing System, 110V 21A 1.5HP Electric Motor","<li>Powerful 110V 21A 1.5HP Electric Motor</li><li>Multi-gear drive planetary gear design</li><li>Mixing Capacity 1.6 cu.ft</li><li>Three removable mixing tools for easy clean-up</li><li> Rim scrapper device to safeguard against material build-up</li><li> Built-in timer for consistent mixing results and repeatability</li><li>Standard 2.0 cuft polyethylene mixing tub included (Bucket17)</li><li>Mixes: Concrete, Epoxy-based mortar, Screeding, grout, Self-leveling underlayments, toppings, adhesives and all other 2-component compounds</li><li>Compact and mobile. Fits thru doorways. 300 lbs.</li><li>Dimensions: 43&quot; x 29&quot; x 34&quot;</li>","The XM2 is a very high through-put ( 1 ton per hour) mixer designed for preparing a wide range of building materials. The high torque planetary gear system processes materials from liquid to heavy viscous. Compact, powerful and mobile make it the perfect one-man operating mixer.","","Multiquip XM2 650 Collomix Hand Held Paddle Mixer","Collomix Hand Held Paddle Mixer",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|28084|28314","Generators|Stationary Generators|Rental Towable Generators",1817,"DCA10SPX",,"Generator","","Generator","Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.",/\D\C\Multiquip-DCA10SPX.jpg,/\D\C\Multiquip-DCA10SPX.jpg,http://www.48ws.com/images/product/D/C/Multiquip-DCA10SPX.jpg,Multiquip-DCA10SPX-Generator,Multiquip-DCA10SPX-Generator,,No layout updates.,Block after Info Column,,"Generator","Generator",Use config,"http://www.multiquip.com/multiquip/images/PS-Super-Silent/dca10spx4c_rdax_200x134.jpg",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Multiquip DCA10SPX Generator","WhisperWatt Super-Silent","Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.","","Multiquip DCA10SPX Generator","Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"91|28084","Generators > 10Kw|Stationary Generators",1818,"TLG12SPX",,"Generator","","Generator","Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.",/\T\L\Multiquip-TLG12SPX.jpg,/\T\L\Multiquip-TLG12SPX.jpg,http://www.48ws.com/images/product/T/L/Multiquip-TLG12SPX.jpg,Multiquip-TLG12SPX-Generator,Multiquip-TLG12SPX-Generator,,No layout updates.,Block after Info Column,,"Generator","Generator",Use config,"http://www.multiquip.com/multiquip/images/PS-Super-Silent/tlg12spx4c_rdax_200x126.jpg",0,,,0,"Multiquip",6,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Multiquip TLG12SPX Generator","WhisperWatt Super-Silent","Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.","","Multiquip TLG12SPX Generator","Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
