store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",37313,"5747",,"8000 Watt Generator","","8000 Watt Generator","Premium quality power is just one advantage of this heavy duty generator engineered for high performance using the Generac OHVI engine.",/\5\7\Generac-Power-System-INC-5747-8000-Watt.jpg,/\5\7\Generac-Power-System-INC-5747-8000-Watt.jpg,http://www.48ws.com/images/product/5/7/Generac-Power-System-INC-5747-8000-Watt.jpg,Generac-Power-System-INC-5747-8000-Watt-Generator,Generac-Power-System-INC-5747-8000-Watt-Generator,,No layout updates.,Block after Info Column,,"8000 Watt Generator","8000 Watt Generator",Use config,"http://www.generac.com/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium quality power is just one advantage of this heavy duty generator engineered for high performance using the Generac OHVI engine.","Electric start on 8000E for easy start up.
Generac's OHVI&trade; engine was designed specifically for generators.  It out runs competitive generator engines with an engine life that is three to four times longer.","<li>Compact and Durable Construction with oversize full-wrap frame tubing and one of the best power-to-size rations on the market.</li>
<li>Compact and durable construction with oversize full-wrap frame tubing and one of the best power-to-size rations on the market.</li>
<li>Comprehensive, user-friendly control panel  includes engine controls (start/stop, fuel shut-off, choke), PowerBar&trade; watt meter, and LED illumination for easy, convenient operation.</li>
<li>Low-Oil pressure protection to protect the engine from damage.</li>
<li>Circuit breaker outlet protection including dual breakers on 120/240V outlets and GFCI protection on 120V outlets.</li>
<li>Maintenance kit included.</li>
<li>Plug-In Battery Charger to keep the battery charged and ready to go is included with electric start models.</li>","","Generac Power System, INC. 5747 8000 Watt Generator","8000 Watt Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",37314,"5939",,"5500 Watt Generator","","5500 Watt Generator","The GP550 is the perfect solution for tailgating, camping, power tool use—even emergency backup power.",/\5\9\Generac-Power-System-INC-5939-5500-Watt.jpg,/\5\9\Generac-Power-System-INC-5939-5500-Watt.jpg,http://www.48ws.com/images/product/5/9/Generac-Power-System-INC-5939-5500-Watt.jpg,Generac-Power-System-INC-5939-5500-Watt-Generator,Generac-Power-System-INC-5939-5500-Watt-Generator,,No layout updates.,Block after Info Column,,"5500 Watt Generator","5500 Watt Generator",Use config,"http://www.generac.com/Portables/GP/Products/GP5500/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The GP550 is the perfect solution for tailgating, camping, power tool use-even emergency backup power.","<li>Compact Design provides unparalleled power-to-weight ratio.</li>
<li>Covered, circuit breaker protected outlets provide added protection from the environment and rugged working conditions.</li>
<li>Low oil shutdown prevents engine damage.</li>
<li>Low-tone mufflers for quiet operation.</li>
<li>Fuel gauge incorporated for at a glance fuel monitoring.</li>
<li>Hour meter to track maintenance intervals.</li>
<li>Ergonomic fold-down locking handle makes transport and storage easy.</li>","","","Generac Power System, INC. 5939 5500 Watt Generator","5500 Watt Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",37315,"5604 0",,"4000 Watt Generator","","4000 Watt Generator","This compact yet rugged unit is easy to transport to job sites while still packing power with Generac’s OHVI® engine.",/\5\6\Generac-Power-System-INC-5604-0-4000-Watt.jpg,/\5\6\Generac-Power-System-INC-5604-0-4000-Watt.jpg,http://www.48ws.com/images/product/5/6/Generac-Power-System-INC-5604-0-4000-Watt.jpg,Generac-Power-System-INC-5604-0-4000-Watt-Generator,Generac-Power-System-INC-5604-0-4000-Watt-Generator,,No layout updates.,Block after Info Column,,"4000 Watt Generator","4000 Watt Generator",Use config,"http://www.generac.com/Portables/XP/Products/XP4000_LEGACY/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This compact yet rugged unit is easy to transport to job sites while still packing power with Generac's OHVI&reg; engine.","Generac's OHVI&trade; engine was designed specifically for generators. It out runs competitive generator engines with an engine life that is three to four times longer and has a significantly longer period between scheduled maintenance checkups.
","<li>Durable construction with oversized full-wrap frame tubing and impact resistant corners minimizes damage from rough handling.</li>
<li>TruePower&trade; Technology provides clean, smooth operation of sensitive electronics and appliances.</li>
<li>Low-Oil Pressure Protection to protect engine from damage.</li>
<li>Covered Outlets for more protection from the environment.</li>
<li>Start/Stop Fuel Shut-off and Choke Controls conveniently located on outlet panel.</li>
<li>Circuit Breaker Outlet Protection including dual breakers on 120/240V outlets and GFCI protection.</li>
<li>Cord Set included: 20' 20 Amp w/ 4 outlets.</li>
<li>Maintenance Kit included.</li>","","Generac Power System, INC. 5604 0 4000 Watt Generator","4000 Watt Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",37316,"5605 0",,"6500 Watt Generator","","6500 Watt Generator","Professional grade with rugged construction and premium features. Ideal for job sites and day long events. ",/\\\Generac-Power-System-INC-5605-0-6500-Watt.jpg,/\\\Generac-Power-System-INC-5605-0-6500-Watt.jpg,http://www.48ws.com/images/product///Generac-Power-System-INC-5605-0-6500-Watt.jpg,Generac-Power-System-INC-5605-0-6500-Watt-Generator,Generac-Power-System-INC-5605-0-6500-Watt-Generator,,No layout updates.,Block after Info Column,,"6500 Watt Generator","6500 Watt Generator",Use config,"http://www.generac.com/Portables/XP/Products/XP6500E_LEGACY/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional grade with rugged construction and premium features. Ideal for job sites and day long events. ","Generac's OHVI&trade; engine was designed specifically for generators. It outruns competitive generator engines with an engine life that is three to four times longer and has a significantly longer period between scheduled maintenance checkups.","<li>Durable construction with oversized full-wrap frame tubing and impact resistant corners minimizes damage from rough handling.</li>
<li>TruePower&trade; Technology provides clean, smooth operation of sensitive electronics and appliances.</li>
<li>Low-Oil Pressure Protection to protect engine from damage.</li>
<li>Covered Outlets for more protection from the environment.</li>
<li>Start/Stop Fuel Shut-off and Choke Controls conveniently located on outlet panel.</li>
<li>External Battery Charge Jack for added convenience.</li>
<li>Circuit Breaker Outlet Protection including dual breakers on 120/240V outlets and GFCI protection.</li>
<li>Cord Set included - 20' 30 Amp w/ 4 outlets.</li>
<li>Maintenance kit included.</li>","","Generac Power System, INC. 5605 0 6500 Watt Generator","6500 Watt Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",37318,"5606 0",,"8000 Watt Generator","","8000 Watt Generator","Professional grade with rugged construction and premium features. Ideal for job sites and day long events.",/\5\6\Generac-Power-System-INC-5606-0-8000-Watt.jpg,/\5\6\Generac-Power-System-INC-5606-0-8000-Watt.jpg,http://www.48ws.com/images/product/5/6/Generac-Power-System-INC-5606-0-8000-Watt.jpg,Generac-Power-System-INC-5606-0-8000-Watt-Generator,Generac-Power-System-INC-5606-0-8000-Watt-Generator,,No layout updates.,Block after Info Column,,"8000 Watt Generator","8000 Watt Generator",Use config,"http://www.generac.com/Portables/XP/Products/XP8000E_LEGACY/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Professional grade with rugged construction and premium features. Ideal for job sites and day long events.","Generac's OHVI&trade; engine was designed specifically for generators. It outruns competitive generator engines with an engine life that is three to four times longer and has a significantly longer period between scheduled maintenance checkups.","<li>Durable construction with oversized full-wrap frame tubing and impact resistant corners minimizes damage from rough handling.</li>
<li>TruePower&trade; Technology provides clean, smooth operation of sensitive electronics and appliances.</li>
<li>Low-Oil Pressure Protection to protect engine from damage.</li>
<li>Covered Outlets for more protection from the environment.</li>
<li>Start/Stop Fuel Shut-off and Choke Controls conveniently located on outlet panel.</li>
<li>External Battery Charge Jack for added convenience.</li>
<li>Circuit Breaker Outlet Protection including dual breakers on 120/240V outlets and GFCI protection.</li>
<li>Cord Set included - 20' 30 Amp w/ 4 outlets.</li>
<li>Maintenance Kit included.</li>","","Generac Power System, INC. 5606 0 8000 Watt Generator","8000 Watt Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13|23901|28313","Generators|Portable Generators|Rental Portable Generators",37320,"5623 0",,"6500 Watt Generator with wheel kit","","6500 Watt Generator with wheel kit","An affordable solution for many different applications, the GP6500 (pull start) and GP6500E (electric start) are ideal for tailgating, camping, power tool use, and emergency home backup power.",/\5\6\Generac-Power-System-INC-5623-0-6500-Watt-Generator-with.jpg,/\5\6\Generac-Power-System-INC-5623-0-6500-Watt-Generator-with.jpg,http://www.48ws.com/images/product/5/6/Generac-Power-System-INC-5623-0-6500-Watt-Generator-with.jpg,Generac-Power-System-INC-5623-0-6500-Watt-Generator-with-wheel-kit,Generac-Power-System-INC-5623-0-6500-Watt-Generator-with-wheel-kit,,No layout updates.,Block after Info Column,,"6500 Watt Generator with wheel kit","6500 Watt Generator with wheel kit",Use config,"http://www.generac.com/Portables/GP/Products/GP6500_and_6500E/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"An affordable solution for many different applications, the GP6500 (pull start) and GP6500E (electric start) are ideal for tailgating, camping, power tool use, and emergency home backup power.","<li>Covered, circuit breaker protected outlets provide added protection from the environment and rugged working conditions.</li>
<li>Electric start on GP6500E with recoil backup. Battery included.<li>
<li>Low oil shutdown prevents engine damage.</li>
<li>Low-tone mufflers for quiet operation.</li>
<li>Fuel gauge incorporated for at a glance fuel monitoring.</li>
<li>Hour meter to track maintenance intervals.</li>
<li>Fold down handle and never-flat wheels for portability.</li>","","","Generac Power System, INC. 5623 0 6500 Watt Generator with wheel kit","6500 Watt Generator with wheel kit",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13","Generators",90001,"EcoGen",,"Ecogen 6 KW Generator","","Ecogen 6 KW Generator","	
Designed specifically to interact with off-grid renewable energy applications, the EcoGen 6 kW is the first generator intended for alternative energy system standby power. It’s engineered to easily integrate into an inverter and battery storage system,",/\E\c\Generac-Ecogen-6.jpg,/\E\c\Generac-Ecogen-6.jpg,http://www.48ws.com/images/product/E/c/Generac-Ecogen-6.jpg,Generac-Ecogen-6-kw,Generac-Ecogen-6-kw,,No layout updates.,Block after Info Column,,"Ecogen 6 KW Generator","Ecogen 6 KW Generator",Use config,"http://www.generac.com/Residential/EcoGen_Series/Product/6kW/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"	
Designed specifically to interact with off-grid renewable energy applications, the EcoGen 6 kW is the first generator intended for alternative energy system standby power. It's engineered to easily integrate into an inverter and battery storage system, providing a cleaner running, low emission solution for recharging battery banks in an off-grid application.","<li>Extended run capability & long life are gained from our exclusive premium oil recovery and circulation system that virtually halts oil degradation. Maintenance intervals are extended by an unprecedented five times the industry standard with 500 hours between oil changes.</li>
<li>Clean burning propane fuel increases efficiency, contributes to longer engine life, and produces significantly less carbon monoxide than gasoline fueled engines.</li>
<li>Weather protective steel enclosure features our RhinoCoat&trade; finish system, providing exceptional protection from the elements on not only the enclosure, but also the base frame.</li>
<li>Warranty - backed by an unprecedented 3 year/2000 hour limited warranty when used off-grid in an alternative energy system.</li>
<li>NexusTM Digital Controller features an LCD display with status indicators, monitors generator performance, and also records any issues for easy troubleshooting. Integrated smart charging system only charges the battery when necessary. Three position switch allows for automatic, off and manual functions.</li>
<li>Capable of 120V or 240V - factory wired for a full 6 kW at 120VAC, with the capability to be reconfigured for a full 6 kW output at 240VAC to accommodate larger 240V inverter systems or two systems paired together.</li>
<li>Factory equipped with two-wire start to easily connect to the inverter control wires. It enables the inverter to automatically start and stop the generator in order to charge the system batteries as necessary.</li>
<li>Ultra quiet, low rpms - only 52 dB(A) under normal load! Vertically mounted, belt-driven engine drives at 2600 RPMs, resulting in a longer life and drastically quieter operation than other systems.</li>","","","Generac Ecogen 6 kw","Ecogen 6 KW Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13","Generators",90025,"Corepower System",,"7 KW Corepower Generator","","7 KW Corepower Generator","Generac's new 7kW CorePowerTM  Series standby generator is a complete generator and transfer switch system, priced more affordably than any other system in the market. It makes choosing an automatic generator over a portable the obvious choice to manage p",/\C\o\Generac-Corepower-System-7.jpg,/\C\o\Generac-Corepower-System-7.jpg,http://www.48ws.com/images/product/C/o/Generac-Corepower-System-7.jpg,Generac-Corepower-System-7-kw,Generac-Corepower-System-7-kw,,No layout updates.,Block after Info Column,,"7 KW Corepower Generator","7 KW Corepower Generator",Use config,"http://www.generac.com/Residential/CorePower_System/Products/7kW/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Generac's new 7kW CorePowerTM  Series standby generator is a complete generator and transfer switch system, priced more affordably than any other system in the market. It makes choosing an automatic generator over a portable the obvious choice to manage power outages. The compact design is engineered for easy maintenance and serviceability, and is ideal when space is at a premium.","<li>Prepackaged system  - 7 kW standby generator is prepackaged with a 50 Amp transfer switch with eight circuit load center including breakers</li>
<li>Generac OHV engine is designed for reliability and long life</li>
<li>At least 10 dB(A) quieter than competitive units and significantly quieter than a standard portable generator </li>
<li>Easy installation and maintenance - sides are quickly removed without tools for easy accessibility during initial installation and ongoing maintenance.</li>
<li>Digital controller with LED status and fault indicators</li>
<li>All-weather composite enclosure withstands the harshest environments, including coastal areas </li>
<li>Lightweight and compact - lighter than comparable units so placement is easier and compact footprint fits in tight spaces</li>","","","Generac Corepower System 7 kw","7 KW Corepower Generator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13","Generators",90027,"Guardian Series",,"guardian Series 8 kw","","guardian Series 8 kw","Provides essential circuit power protection for your home, ensuring the necessities remain powered during an outage. The most affordable automatic standby generator on the market offers protection for half the cost of central air conditioning.",/\G\u\Generac-guardian-Series-8.jpg,/\G\u\Generac-guardian-Series-8.jpg,http://www.48ws.com/images/product/G/u/Generac-guardian-Series-8.jpg,Generac-guardian-Series-8-kw,Generac-guardian-Series-8-kw,,No layout updates.,Block after Info Column,,"guardian Series 8 kw","guardian Series 8 kw",Use config,"http://www.generac.com/Residential/Guardian/Products/Guardian_Series_8_kW/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Provides essential circuit power protection for your home, ensuring the necessities remain powered during an outage. The most affordable automatic standby generator on the market offers protection for half the cost of central air conditioning.","<li>Generac's Nexus&trade; Controller is the most comprehensive available. The dual line, tri-lingual LCD display in English, Spanish, and French allows for easy monitoring and management of generator functions.</li>
<li>Simple field conversion from natural gas to LP.</li>
<li>Generac's OHVI&reg; engine  was designed specifically for generators. It outperforms most competitive generator engines with an engine life that is three to four times longer and has a significantly longer period between scheduled maintenance checkups.</li>
<li>TruePower&trade; Technology provides clean, smooth operation of sensitive electronics and appliances.</li>
<li>Sturdy, galvanneal steel enclosure with RhinoCoat&trade; finish for superior weather protection, modeled to withstand 150 mph winds.</li>
<li>External &quot;At-a-Glance&quot; indicator lights offer an easy way to tell generator status without opening the generator enclosure.</li>
<li>Added Sound Reduction with enclosures that are lined with sound reducing foam panels for further noise reduction. </li>
<li>Hour Meter monitors run time, providing information to determine maintenance intervals.</li>
<li>Easiest installation on the market and an excellent value when purchased pre-packaged with a pre-wired transfer switch, or customize your system by purchasing the generator and transfer switch separately. Composite mounting pad is included, eliminating the need to pour a concrete base.</li>","","","Generac guardian Series 8 kw","guardian Series 8 kw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"13","Generators",90031,"Guardian Series 10 kw",,"Guardian Series 10 kw","","Guardian Series 10 kw","Provides essential circuit power protection for your home, ensuring the necessities remain powered during an outage. Has the ability to backup a 3-ton air conditioner, well pump or water heater, and the main rooms of your house.",/\G\u\Generac-Guardian-Series-10.jpg,/\G\u\Generac-Guardian-Series-10.jpg,http://www.48ws.com/images/product/G/u/Generac-Guardian-Series-10.jpg,Generac-Guardian-Series-10-kw,Generac-Guardian-Series-10-kw,,No layout updates.,Block after Info Column,,"Guardian Series 10 kw","Guardian Series 10 kw",Use config,"http://www.generac.com/",0,,,0,"Generac Power Systems, Inc.",320,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Provides essential circuit power protection for your home, ensuring the necessities remain powered during an outage. Has the ability to backup a 3-ton air conditioner, well pump or water heater, and the main rooms of your house.","<li>Generac's Nexus&trade; Controller is the most comprehensive available. The dual line, tri-lingual LCD display in English, Spanish, and French allows for easy monitoring and management of generator functions.</li>
<li>Simple field conversion from natural gas to LP.</li>
<li>Generac's OHVI&reg; engine  was designed specifically for generators. It outperforms most competitive generator engines with an engine life that is three to four times longer and has a significantly longer period between scheduled maintenance checkups.</li>
<li>TruePower&trade; Technology provides clean, smooth operation of sensitive electronics and appliances.</li>
<li>Sturdy, galvanneal steel enclosure with RhinoCoat&trade; finish for superior weather protection, modeled to withstand 150 mph winds.</li>
<li>External &quot;At-a-Glance&quot; indicator lights offer an easy way to tell generator status without opening the generator enclosure.</li>
<li>Added Sound Reduction with enclosures that are lined with sound reducing foam panels for further noise reduction.</li>
<li>Hour Meter monitors run time, providing information to determine maintenance intervals. </li>
<li>Easiest installation on the market and an excellent value when purchased pre-packaged with a pre-wired transfer switch, or customize your system by purchasing the generator and transfer switch separately.Composite mounting pad is included, eliminating the need to pour a concrete base.</li>","","","Generac Guardian Series 10 kw","Guardian Series 10 kw",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
