store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1751|26729","Epoxy Adhesive|Concrete Epoxy Adhesive",115014,"4200102",,"Epoxy Serious Strength","","Epoxy Serious Strength","Gorilla takes epoxy to a new level, the Gorilla tough level. Easy to dispense, and use, Gorilla Epoxy brings a strong, long-lasting bond for household and automotive repairs, alike. The two-part, gap-filling formula easily bonds steel, aluminum, wood, cer",/\4\2\Gorilla-4200102-Epoxy-Serious.jpg,/\4\2\Gorilla-4200102-Epoxy-Serious.jpg,http://www.48ws.com/images/product/4/2/Gorilla-4200102-Epoxy-Serious.jpg,Gorilla-4200102-Epoxy-Serious-Strength,Gorilla-4200102-Epoxy-Serious-Strength,,No layout updates.,Block after Info Column,,"Epoxy Serious Strength","Epoxy Serious Strength",Use config,"http://www.gorillatough.com/index.php?page=epoxy",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Gorilla takes epoxy to a new level, the Gorilla tough level. Easy to dispense, and use, Gorilla Epoxy brings a strong, long-lasting bond for household and automotive repairs, alike. The two-part, gap-filling formula easily bonds steel, aluminum, wood, ceramic, tile and much more.","<br><li><b>Gorilla Strong:</b> Incredible performance for the toughest jobs.</li><br>
<li><b>Dries Crystal Clear:</b> Ideal fir clean, easy finishing.</li><br>
<li><b>5-Minute Set:</b> Plenty of repositioning time for the perfect fit.</li><br>
<li><b>Gap Filling:</b> Fills voids and bonds uneven and vertical surfaces.</li><br>
<li><b>Superior Water Resistant:</b> Withstands moderate exposure to water.</li><br>
<li><b>Easy-To-Use Syringe:</b> Separate barrels of resin and hardener keep epoxy from hardening, plus syringe dispenses evenly and includes a cap for multiple uses.</li><br>
<li><b>Solvent Resistant:</b> Will not break down from exposure to common solvents.</li><br>
<li><b>Low Voc and Non-Toxic Once Cured:</b> Safe for everyday handling.</li>","","","Epoxy Serious Strength","Epoxy Serious Strength",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1804|24365","Brass Fittings|Brass Pipe Fittings",115028,"50004",,"Gorilla Glue","","Gorilla Glue","The toughest on the planet earth. The product that started it all, Gorilla Glue, is known for its industrial holding power and versatility, regardless of the substrate. Easily bonds wood, stone, metal, ceramic, foam, glass and more!",/\5\0\Gorilla.jpg,/\5\0\Gorilla.jpg,http://www.48ws.com/images/product/5/0/Gorilla.jpg,Gorilla-Glue,Gorilla-Glue,,No layout updates.,Block after Info Column,,"Gorilla Glue","Gorilla Glue",Use config,"http://www.gorillatough.com/index.php?page=gorilla-glue",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The toughest on the planet earth. The product that started it all, Gorilla Glue, is known for its industrial holding power and versatility, regardless of the substrate. Easily bonds wood, stone, metal, ceramic, foam, glass and more!","<br><li><b>100% Waterproof:</b> Does not break down when exposed to outdoor elements.</li><br>
<li><b>Versatile:</b> Ideal for most household fixes, indoors or out.</li><br>
<li><b>Temperature Resistant:</b> Once dry, Gorilla Glue is unaffected by extreme heat or cold.</li><br>
<li><b>Foam Expansion:</b> expands 3-4 times the application amount, penetrating the glued surface for a superior bond.</li><br>
<li><b>Sandable, Paintable, Stainable:</b> The invisible glue line makes for easy finishing.</li>","","","Gorilla 50004 Gorilla Glue","Gorilla Glue",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19541","Adhesives",115058,"7805002",,"Gorilla Super Glue - regular - 24pk","","Gorilla Super Glue - regular - 24pk","Its high strength and quick set time make Gorilla Super Glue the go-to for a variety of household projects. Developed for long-lasting repairs in an instant, Gorilla Super Glue is formulated with tiny rubber particles for increased impact resistance. We c",/\7\8\Gorilla-Super.jpg,/\7\8\Gorilla-Super.jpg,http://www.48ws.com/images/product/7/8/Gorilla-Super.jpg,gorilla-glue-inc-7805002-gorilla-super-glue-regular-24pk,gorilla-glue-inc-7805002-gorilla-super-glue-regular-24pk,,No layout updates.,Block after Info Column,,"Gorilla Super Glue - regular - 24pk","Gorilla Super Glue - regular - 24pk",Use config,"https://www.gorillatough.com",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Gorilla Super Glue - regular - 24pk","The product that started it all. Original Gorilla Glue built a name for itself with its incredible, industrial holding power and versatility. The water activated polyurethane formula expands into materials to form an incredibly strong bond to virtually anything making Gorilla Glue your solution for almost any project or repair.","<ul><li>100% WATERPROOF: Doesn’t break down when exposed to outdoor elements</li>
<li>VERSATILE: Easily bonds wood, stone, metal, ceramic, foam, glass, concrete and much more!</li>
<li>INCREDIBLY STRONG: Expands 3 times into the materials to form an incredibly strong bond</li>
<li>TEMPERATURE RESISTANT: Bond holds through hot and cold temperatures</li></ul>","","Gorilla 7805002 Gorilla Super Glue","Gorilla Super Glue - regular - 24pk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"565|19596","Duct Tape|Duct and Cloth Tapes",115061,"6035120",,"6035120 Gorilla Tape","","6035120 Gorilla Tape","",/\6\0\Gorilla-6035120-Gorilla.jpg,/\6\0\Gorilla-6035120-Gorilla.jpg,http://www.48ws.com/images/product/6/0/Gorilla-6035120-Gorilla.jpg,Gorilla-6035120-Gorilla-Tape,Gorilla-6035120-Gorilla-Tape,,No layout updates.,Block after Info Column,,"6035120 Gorilla Tape","6035120 Gorilla Tape",Use config,"http://www.gorillatough.com/index.php?page=products",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Gorilla Tape offers over the top results with its heavy-duty, double-thick duct tape.</li><br>
<li>It is made to stick to rough, uneven, unforgiving surfaces like wood, stone, stucco, plaster, brick and more.</li><br>
<li>It’s like duct tape on steroids.</li>","","","Gorilla 6035120 Gorilla Tape","6035120 Gorilla Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"565|19596","Duct Tape|Duct and Cloth Tapes",115084,"61001",,"Duct Tape To-Go","","Duct Tape To-Go","",/\6\1\Gorilla-Duct-Tape-To.jpg,/\6\1\Gorilla-Duct-Tape-To.jpg,http://www.48ws.com/images/product/6/1/Gorilla-Duct-Tape-To.jpg,Gorilla-61001-Gorilla-Duct-Tape-To-Go,Gorilla-61001-Gorilla-Duct-Tape-To-Go,,No layout updates.,Block after Info Column,,"Duct Tape To-Go","Duct Tape To-Go",Use config,"http://www.gorillatough.com/index.php?page=products",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Convenient for on-the-go repairs, Gorilla Duct Tape To-Go's 1 inch width packs a powerful grip in a portable size.</li><br>
<li>Ideal size for backpacks, toolboxes, glove compartments for camping, boating and more!</li>","","","Gorilla 61001 Gorilla Duct Tape To-Go","Duct Tape To-Go",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"565","Duct Tape",669104,"60124",,"Gorilla Black Duct Tape 12yd - 10pk","","Gorilla Black Duct Tape 12yd - 10pk","",/\6\0\gorilla-glue-inc-60124-gorilla-black-duct-tape-12yd-10pk.jpg,/\6\0\gorilla-glue-inc-60124-gorilla-black-duct-tape-12yd-10pk.jpg,http://www.48ws.com/images/product/6/0/gorilla-glue-inc-60124-gorilla-black-duct-tape-12yd-10pk.jpg,gorilla-glue-inc-60124-gorilla-black-duct-tape-12yd-10pk,gorilla-glue-inc-60124-gorilla-black-duct-tape-12yd-10pk,,No layout updates.,Block after Info Column,,"Gorilla Black Duct Tape 12yd - 10pk","Gorilla Black Duct Tape 12yd - 10pk",Use config,"https://www.gorillatough.com",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Gorilla Black Duct Tape 12yd - 10pk","","<div>
            <p><strong>APPLICATION TEMPERATURE</strong> – 40° to 120° F, best at room temperature</p>
<p><strong>SERVICE TEMPERATURE</strong> – continuous-up to 150° F intermittent- up to 200° F</p>
<p><strong>OUTDOOR</strong> – Yes</p>
<p><strong>MOISTURE RESISTANT –&nbsp;</strong>Yes</p>
<p><strong>STORAGE TIPS</strong> &nbsp;– Store in a cool, dry location. Keep out of direct sunlight</p>
<p>&nbsp;</p>

        </div>","","","Gorilla Black Duct Tape 12yd - 10pk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19541","Adhesives",669105,"7400202",,"GORILLA SUPER GLUE 25g XL","","GORILLA SUPER GLUE 25g XL","",/\7\4\gorilla-glue-inc-7400202-gorilla-super-glue-25g-xl.jpg,/\7\4\gorilla-glue-inc-7400202-gorilla-super-glue-25g-xl.jpg,http://www.48ws.com/images/product/7/4/gorilla-glue-inc-7400202-gorilla-super-glue-25g-xl.jpg,gorilla-glue-inc-7400202-gorilla-super-glue-25g-xl,gorilla-glue-inc-7400202-gorilla-super-glue-25g-xl,,No layout updates.,Block after Info Column,,"GORILLA SUPER GLUE 25g XL","GORILLA SUPER GLUE 25g XL",Use config,"https://www.gorillatough.com",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"GORILLA SUPER GLUE 25g XL","","","","","GORILLA SUPER GLUE 25g XL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19541","Adhesives",669106,"7820001",,"Gorilla Super Glue Gel - Two 3g tubes","","Gorilla Super Glue Gel - Two 3g tubes","",/\7\8\gorilla-glue-inc-7820001-gorilla-super-glue-gel-two-3g-tubes.jpg,/\7\8\gorilla-glue-inc-7820001-gorilla-super-glue-gel-two-3g-tubes.jpg,http://www.48ws.com/images/product/7/8/gorilla-glue-inc-7820001-gorilla-super-glue-gel-two-3g-tubes.jpg,gorilla-glue-inc-7820001-gorilla-super-glue-gel-two-3g-tubes,gorilla-glue-inc-7820001-gorilla-super-glue-gel-two-3g-tubes,,No layout updates.,Block after Info Column,,"Gorilla Super Glue Gel - Two 3g tubes","Gorilla Super Glue Gel - Two 3g tubes",Use config,"https://www.gorillatough.com",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Gorilla Super Glue Gel - Two 3g tubes - 6pk","Gorilla Super Glue Gel is an easy-to-use, thicker and more controlled formula* great for multiple surfaces and vertical applications. Developed for long-lasting repairs in an instant, the clear glue dries in 10–45 seconds. This super glue gel is specially formulated to absorb drops and impacts. Super glue, also referred to as cyanoacrylate glue, or CA glue, works on a variety of materials, including plastic**, metal, stone, ceramic, paper, rubber and more. In addition to its high performance formula, we’ve added an anti-clog cap with a metal pin inside to ensure an airtight seal for maximum reusability. It’s Gorilla tough, every time.","<div>
<ul>
<li><strong>NO RUN CONTROL GEL FORMULA</strong></li>
<li><strong>ANTI CLOG CAP:</strong> Keeps glue from drying out, its Gorilla Tough use after use.</li>
<li><strong>IMPACT TOUGH:</strong> Increase impact resistance and strength</li>
<li><strong>FAST-SETTING:</strong> Dries in 10-45 seconds, no clamping required</li>
<li><strong>VERSATILE:</strong> Bonds plastic*, wood, metal, ceramic, rubber, leather, paper and more!</li>
</ul>
<p class=&quot;disclaimer-text&quot;>*Not recommended for use on polyethylene or polypropylene plastic or similar materials.</p>

         </div>","","","Gorilla Super Glue Gel - Two 3g tubes",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19541","Adhesives",669107,"7900103",,"Gorilla Super Glue 3g","","Gorilla Super Glue 3g","",/\7\9\gorilla-glue-inc-7900103-gorilla-super-glue-3g.jpg,/\7\9\gorilla-glue-inc-7900103-gorilla-super-glue-3g.jpg,http://www.48ws.com/images/product/7/9/gorilla-glue-inc-7900103-gorilla-super-glue-3g.jpg,gorilla-glue-inc-7900103-gorilla-super-glue-3g,gorilla-glue-inc-7900103-gorilla-super-glue-3g,,No layout updates.,Block after Info Column,,"Gorilla Super Glue 3g","Gorilla Super Glue 3g",Use config,"https://www.gorillatough.com",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Gorilla Super Glue 3 g - 6pk","Its high strength and quick set time make Gorilla Super Glue the go-to adhesive for a variety of household projects. Developed for long-lasting repairs in an instant, the clear glue dries in 10-45 seconds. Our Super Glue is reinforced for increased impact resistance to handle bumps and drops. We call it Impact-Tough® because the reliable bond stands up to wear and tear. Super glue, also referred to as cyanoacrylate glue, or CA glue, works on a variety of materials, including plastic*, metal, stone, ceramic, paper, rubber and more. In addition to Gorilla Super Glue's high-performance cyanoacrylate formula, we've added an anti-clog cap with a metal pin inside ensuring an airtight seal for maximum reusability. It's Gorilla tough, every time.","","","","Gorilla Super Glue 3g",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"565","Duct Tape",669108,"6027002",,"CRYSTAL CLEAR TAPE - 9yd","","CRYSTAL CLEAR TAPE - 9yd","",/\6\0\gorilla-glue-inc-6027002-crystal-clear-tape-9yd.jpg,/\6\0\gorilla-glue-inc-6027002-crystal-clear-tape-9yd.jpg,http://www.48ws.com/images/product/6/0/gorilla-glue-inc-6027002-crystal-clear-tape-9yd.jpg,gorilla-glue-inc-6027002-crystal-clear-tape-9yd,gorilla-glue-inc-6027002-crystal-clear-tape-9yd,,No layout updates.,Block after Info Column,,"CRYSTAL CLEAR TAPE - 9yd","CRYSTAL CLEAR TAPE - 9yd",Use config,"https://www.gorillatough.com",0,,,0,"Gorilla Glue, Inc.",917,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CRYSTAL CLEAR TAPE - 9yd","Crystal Clear Gorilla Tape features the adhesive strength of Gorilla Tape†, in a crystal clear tape that does not yellow outdoors. Made with a heavy duty adhesive layer and waterproof backing for extreme durability. This tape is UV and temperature resistant - great for projects and repairs both indoors and out. Crystal Clear Gorilla Tape can be applied to wet surfaces and also works under water. ","","","","CRYSTAL CLEAR TAPE - 9yd",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
